dataset_id	source_file	field_name	field_category	n_records_checked	unique_values_summary	missing_count	missing_rate	example_values	usable_for_F_section	interpretation_risk	note
GSE183904	data/public_downloads/GEO_metadata/GSE183904_series_matrix.txt.gz	title	sample_metadata	40	sample10: Primary Gastric Tissue (Tumor):1|sample11: Primary Gastric Tissue (Normal):1|sample12: Primary Gastric Tissue (Tumor):1|sample13: Primary Gastric Tissue (Tumor):1|sample14: Primary Gastric Tissue (Tumor):1|sample15: Primary Gastric Tissue (Tumor):1|sample16: Primary Gastric Tissue (Tumor):1|sample17: Primary Gastric Tissue (Tumor):1|...plus_32_more	0	0.0	sample1: Primary Gastric Tissue (Normal)|sample2: Primary Gastric Tissue (Tumor)|sample3: Primary Gastric Tissue (Tumor)|sample4: Primary Gastric Tissue (Normal)|sample5: Primary Gastric Tissue (Tumor)	F0,F1	patient_pairing_requires_title_mapping_review	Current public matrix files do not provide cell-level metadata.
GSE183904	data/public_downloads/GEO_metadata/GSE183904_series_matrix.txt.gz	geo_accession	sample_metadata	40	GSM5573466:1|GSM5573467:1|GSM5573468:1|GSM5573469:1|GSM5573470:1|GSM5573471:1|GSM5573472:1|GSM5573473:1|...plus_32_more	0	0.0	GSM5573466|GSM5573467|GSM5573468|GSM5573469|GSM5573470	F0,F1	low	Current public matrix files do not provide cell-level metadata.
GSE183904	data/public_downloads/GEO_metadata/GSE183904_series_matrix.txt.gz	status	sample_metadata	40	Public on Oct 05 2021:40	0	0.0	Public on Oct 05 2021|Public on Oct 05 2021|Public on Oct 05 2021|Public on Oct 05 2021|Public on Oct 05 2021	F0,F1	low	Current public matrix files do not provide cell-level metadata.
GSE183904	data/public_downloads/GEO_metadata/GSE183904_series_matrix.txt.gz	submission_date	sample_metadata	40	Sep 10 2021:40	0	0.0	Sep 10 2021|Sep 10 2021|Sep 10 2021|Sep 10 2021|Sep 10 2021	F0,F1	low	Current public matrix files do not provide cell-level metadata.
GSE183904	data/public_downloads/GEO_metadata/GSE183904_series_matrix.txt.gz	last_update_date	sample_metadata	40	Aug 26 2024:39|Oct 07 2021:1	0	0.0	Aug 26 2024|Aug 26 2024|Aug 26 2024|Aug 26 2024|Aug 26 2024	F0,F1	low	Current public matrix files do not provide cell-level metadata.
GSE183904	data/public_downloads/GEO_metadata/GSE183904_series_matrix.txt.gz	type	sample_metadata	40	SRA:40	0	0.0	SRA|SRA|SRA|SRA|SRA	F0,F1	low	Current public matrix files do not provide cell-level metadata.
GSE183904	data/public_downloads/GEO_metadata/GSE183904_series_matrix.txt.gz	channel_count	sample_metadata	40	1:40	0	0.0	1|1|1|1|1	F0,F1	low	Current public matrix files do not provide cell-level metadata.
GSE183904	data/public_downloads/GEO_metadata/GSE183904_series_matrix.txt.gz	source_name_ch1	sample_metadata	40	Stomach:36|peritoneum:4	0	0.0	Stomach|Stomach|Stomach|Stomach|Stomach	F0,F1	low	Current public matrix files do not provide cell-level metadata.
GSE183904	data/public_downloads/GEO_metadata/GSE183904_series_matrix.txt.gz	organism_ch1	sample_metadata	40	Homo sapiens:40	0	0.0	Homo sapiens|Homo sapiens|Homo sapiens|Homo sapiens|Homo sapiens	F0,F1	low	Current public matrix files do not provide cell-level metadata.
GSE183904	data/public_downloads/GEO_metadata/GSE183904_series_matrix.txt.gz	characteristics_ch1	sample_metadata	40	tissue: Primary Gastric Tissue (Tumor):26|tissue: Primary Gastric Tissue (Normal):10|tissue: Peritonium tissue (Tumor):2|tissue: Peritonium tissue  (Tumor):1|tissue: Peritonium tissue (Normal):1	0	0.0	tissue: Primary Gastric Tissue (Normal)|tissue: Primary Gastric Tissue (Tumor)|tissue: Primary Gastric Tissue (Tumor)|tissue: Primary Gastric Tissue (Normal)|tissue: Primary Gastric Tissue (Tumor)	F0,F1	patient_pairing_requires_title_mapping_review	Current public matrix files do not provide cell-level metadata.
GSE183904	data/public_downloads/GEO_metadata/GSE183904_series_matrix.txt.gz	molecule_ch1	sample_metadata	40	polyA RNA:40	0	0.0	polyA RNA|polyA RNA|polyA RNA|polyA RNA|polyA RNA	F0,F1	low	Current public matrix files do not provide cell-level metadata.
GSE183904	data/public_downloads/GEO_metadata/GSE183904_series_matrix.txt.gz	extract_protocol_ch1	sample_metadata	40	10x Genomics Single Cell 5′ Library kit:40	0	0.0	10x Genomics Single Cell 5′ Library kit|10x Genomics Single Cell 5′ Library kit|10x Genomics Single Cell 5′ Library kit|10x Genomics Single Cell 5′ Library kit|10x Genomics Single Cell 5′ Library kit	F0,F1	low	Current public matrix files do not provide cell-level metadata.
GSE183904	data/public_downloads/GEO_metadata/GSE183904_series_matrix.txt.gz	taxid_ch1	sample_metadata	40	9606:40	0	0.0	9606|9606|9606|9606|9606	F0,F1	low	Current public matrix files do not provide cell-level metadata.
GSE183904	data/public_downloads/GEO_metadata/GSE183904_series_matrix.txt.gz	description	sample_metadata	40	*** Raw files were not submitted due to patient privacy concerns ***:40	0	0.0	*** Raw files were not submitted due to patient privacy concerns ***|*** Raw files were not submitted due to patient privacy concerns ***|*** Raw files were not submitted due to patient privacy concerns ***|*** Raw files were not submitted due to patient privacy concerns ***|*** Raw files were not submitted due to patient privacy concerns ***	F0,F1	low	Current public matrix files do not provide cell-level metadata.
GSE183904	data/public_downloads/GEO_metadata/GSE183904_series_matrix.txt.gz	data_processing	sample_metadata	40	Supplementary_files_format_and_content: Matrix table with raw gene counts for every gene and every cell for each sample:40	0	0.0	Supplementary_files_format_and_content: Matrix table with raw gene counts for every gene and every cell for each sample|Supplementary_files_format_and_content: Matrix table with raw gene counts for every gene and every cell for each sample|Supplementary_files_format_and_content: Matrix table with raw gene counts for every gene and every cell for each sample|Supplementary_files_format_and_content: Matrix table with raw gene counts for every gene and every cell for each sample|Supplementary_files_format_and_content: Matrix table with raw gene counts for every gene and every cell for each sample	F0,F1	low	Current public matrix files do not provide cell-level metadata.
GSE183904	data/public_downloads/GEO_metadata/GSE183904_series_matrix.txt.gz	platform_id	sample_metadata	40	GPL24676:40	0	0.0	GPL24676|GPL24676|GPL24676|GPL24676|GPL24676	F0,F1	low	Current public matrix files do not provide cell-level metadata.
GSE183904	data/public_downloads/GEO_metadata/GSE183904_series_matrix.txt.gz	contact_name	sample_metadata	40	Kie Kyon,,Huang:40	0	0.0	Kie Kyon,,Huang|Kie Kyon,,Huang|Kie Kyon,,Huang|Kie Kyon,,Huang|Kie Kyon,,Huang	F0,F1	low	Current public matrix files do not provide cell-level metadata.
GSE183904	data/public_downloads/GEO_metadata/GSE183904_series_matrix.txt.gz	contact_email	sample_metadata	40	kiekyon.huang@gmail.com:40	0	0.0	kiekyon.huang@gmail.com|kiekyon.huang@gmail.com|kiekyon.huang@gmail.com|kiekyon.huang@gmail.com|kiekyon.huang@gmail.com	F0,F1	low	Current public matrix files do not provide cell-level metadata.
GSE183904	data/public_downloads/GEO_metadata/GSE183904_series_matrix.txt.gz	contact_institute	sample_metadata	40	Duke-NUS Graduate Medical School:40	0	0.0	Duke-NUS Graduate Medical School|Duke-NUS Graduate Medical School|Duke-NUS Graduate Medical School|Duke-NUS Graduate Medical School|Duke-NUS Graduate Medical School	F0,F1	low	Current public matrix files do not provide cell-level metadata.
GSE183904	data/public_downloads/GEO_metadata/GSE183904_series_matrix.txt.gz	contact_address	sample_metadata	40	8 College Road:40	0	0.0	8 College Road|8 College Road|8 College Road|8 College Road|8 College Road	F0,F1	low	Current public matrix files do not provide cell-level metadata.
GSE183904	data/public_downloads/GEO_metadata/GSE183904_series_matrix.txt.gz	contact_city	sample_metadata	40	Singapore:40	0	0.0	Singapore|Singapore|Singapore|Singapore|Singapore	F0,F1	low	Current public matrix files do not provide cell-level metadata.
GSE183904	data/public_downloads/GEO_metadata/GSE183904_series_matrix.txt.gz	contact_state	sample_metadata	40	Select State/Province:40	0	0.0	Select State/Province|Select State/Province|Select State/Province|Select State/Province|Select State/Province	F0,F1	low	Current public matrix files do not provide cell-level metadata.
GSE183904	data/public_downloads/GEO_metadata/GSE183904_series_matrix.txt.gz	contact_zip/postal_code	sample_metadata	40	169857:40	0	0.0	169857|169857|169857|169857|169857	F0,F1	low	Current public matrix files do not provide cell-level metadata.
GSE183904	data/public_downloads/GEO_metadata/GSE183904_series_matrix.txt.gz	contact_country	sample_metadata	40	Singapore:40	0	0.0	Singapore|Singapore|Singapore|Singapore|Singapore	F0,F1	low	Current public matrix files do not provide cell-level metadata.
GSE183904	data/public_downloads/GEO_metadata/GSE183904_series_matrix.txt.gz	data_row_count	sample_metadata	40	0:40	0	0.0	0|0|0|0|0	F0,F1	low	Current public matrix files do not provide cell-level metadata.
GSE183904	data/public_downloads/GEO_metadata/GSE183904_series_matrix.txt.gz	instrument_model	sample_metadata	40	Illumina NovaSeq 6000:40	0	0.0	Illumina NovaSeq 6000|Illumina NovaSeq 6000|Illumina NovaSeq 6000|Illumina NovaSeq 6000|Illumina NovaSeq 6000	F0,F1	low	Current public matrix files do not provide cell-level metadata.
GSE183904	data/public_downloads/GEO_metadata/GSE183904_series_matrix.txt.gz	library_selection	sample_metadata	40	cDNA:40	0	0.0	cDNA|cDNA|cDNA|cDNA|cDNA	F0,F1	low	Current public matrix files do not provide cell-level metadata.
GSE183904	data/public_downloads/GEO_metadata/GSE183904_series_matrix.txt.gz	library_source	sample_metadata	40	transcriptomic:40	0	0.0	transcriptomic|transcriptomic|transcriptomic|transcriptomic|transcriptomic	F0,F1	low	Current public matrix files do not provide cell-level metadata.
GSE183904	data/public_downloads/GEO_metadata/GSE183904_series_matrix.txt.gz	library_strategy	sample_metadata	40	RNA-Seq:40	0	0.0	RNA-Seq|RNA-Seq|RNA-Seq|RNA-Seq|RNA-Seq	F0,F1	low	Current public matrix files do not provide cell-level metadata.
