evidence_id	cell_type	marker_gene	direction	confidence	reference_source	reference_type	pmid_or_doi	source_url	query_date	tissue_context	disease_context	evidence_note
CMR_001	Epithelial	EPCAM	positive	high	Hu et al. ovarian/peritoneal metastasis gastric cancer scRNA, Nature Communications 2024	gastric_cancer_primary_scRNA_paper	10.1038/s41467-024-52615-9	https://pmc.ncbi.nlm.nih.gov/articles/PMC11443007/	2026-05-30	gastric cancer tissue	gastric cancer	Nature Communications gastric cancer metastasis scRNA atlas used this gene among canonical epithelial markers.
CMR_002	Epithelial	KRT8	positive	high	Hu et al. ovarian/peritoneal metastasis gastric cancer scRNA, Nature Communications 2024	gastric_cancer_primary_scRNA_paper	10.1038/s41467-024-52615-9	https://pmc.ncbi.nlm.nih.gov/articles/PMC11443007/	2026-05-30	gastric cancer tissue	gastric cancer	Nature Communications gastric cancer metastasis scRNA atlas used this gene among canonical epithelial markers.
CMR_003	Epithelial	KRT18	positive	high	Hu et al. ovarian/peritoneal metastasis gastric cancer scRNA, Nature Communications 2024	gastric_cancer_primary_scRNA_paper	10.1038/s41467-024-52615-9	https://pmc.ncbi.nlm.nih.gov/articles/PMC11443007/	2026-05-30	gastric cancer tissue	gastric cancer	Nature Communications gastric cancer metastasis scRNA atlas used this gene among canonical epithelial markers.
CMR_004	Epithelial	KRT19	positive	high	Hu et al. ovarian/peritoneal metastasis gastric cancer scRNA, Nature Communications 2024	gastric_cancer_primary_scRNA_paper	10.1038/s41467-024-52615-9	https://pmc.ncbi.nlm.nih.gov/articles/PMC11443007/	2026-05-30	gastric cancer tissue	gastric cancer	Nature Communications gastric cancer metastasis scRNA atlas used this gene among canonical epithelial markers.
CMR_005	Epithelial	CDH1	positive	high	Wang et al. high-stemness gastric cancer scRNA, npj Precision Oncology 2025	gastric_cancer_primary_scRNA_paper	10.1038/s41698-025-01177-0	https://pmc.ncbi.nlm.nih.gov/articles/PMC12711953/	2026-05-30	gastric cancer tissue	gastric cancer	npj Precision Oncology gastric cancer scRNA states EPCAM and CDH1 marked epithelial cells.
CMR_006	Pit_mucous_epithelial	MUC5AC	positive	high	Kumar et al. gastric cancer lineage/TME atlas, Cancer Discovery 2022	gastric_cancer_primary_scRNA_paper	10.1158/2159-8290.CD-21-0683	https://pmc.ncbi.nlm.nih.gov/articles/PMC9394383/	2026-05-30	gastric cancer tissue	gastric cancer	Cancer Discovery gastric cancer atlas states EpiPit/mucous pit cells express MUC5AC and TFF1.
CMR_007	Pit_mucous_epithelial	TFF1	positive	high	Kumar et al. gastric cancer lineage/TME atlas, Cancer Discovery 2022	gastric_cancer_primary_scRNA_paper	10.1158/2159-8290.CD-21-0683	https://pmc.ncbi.nlm.nih.gov/articles/PMC9394383/	2026-05-30	gastric cancer tissue	gastric cancer	Cancer Discovery gastric cancer atlas states EpiPit/mucous pit cells express MUC5AC and TFF1.
CMR_008	Mucous_neck_epithelial	MUC6	positive	high	Single-cell transcriptomic profiling of gastric tumorigenesis associated with H. pylori, Journal of Advanced Research 2025	gastric_tumorigenesis_primary_scRNA_paper	10.1016/j.jare.2024.10.012	https://pmc.ncbi.nlm.nih.gov/articles/PMC12302424/	2026-05-30	gastric cancer tissue	gastric cancer	Journal of Advanced Research gastric tumorigenesis scRNA annotates neck mucous/SPEM cells with MUC6 and MUC6/TFF2 co-expression.
CMR_009	Mucous_neck_epithelial	TFF2	positive	high	Single-cell transcriptomic profiling of gastric tumorigenesis associated with H. pylori, Journal of Advanced Research 2025	gastric_tumorigenesis_primary_scRNA_paper	10.1016/j.jare.2024.10.012	https://pmc.ncbi.nlm.nih.gov/articles/PMC12302424/	2026-05-30	gastric cancer tissue	gastric cancer	Journal of Advanced Research gastric tumorigenesis scRNA describes SPEM cells with MUC6 and TFF2 co-expression.
CMR_010	Chief_epithelial	LIPF	positive	high	Kumar et al. gastric cancer lineage/TME atlas, Cancer Discovery 2022	gastric_cancer_primary_scRNA_paper	10.1158/2159-8290.CD-21-0683	https://pmc.ncbi.nlm.nih.gov/articles/PMC9394383/	2026-05-30	gastric cancer tissue	gastric cancer	Cancer Discovery gastric cancer atlas states EpiC/chief cells express LIPF and PGA3.
CMR_011	Chief_epithelial	PGA3	positive	high	Kumar et al. gastric cancer lineage/TME atlas, Cancer Discovery 2022	gastric_cancer_primary_scRNA_paper	10.1158/2159-8290.CD-21-0683	https://pmc.ncbi.nlm.nih.gov/articles/PMC9394383/	2026-05-30	gastric cancer tissue	gastric cancer	Cancer Discovery gastric cancer atlas states EpiC/chief cells express LIPF and PGA3.
CMR_012	Chief_epithelial	PGC	positive	high	Hu et al. ovarian/peritoneal metastasis gastric cancer scRNA, Nature Communications 2024	gastric_cancer_primary_scRNA_paper	10.1038/s41467-024-52615-9	https://pmc.ncbi.nlm.nih.gov/articles/PMC11443007/	2026-05-30	gastric cancer tissue	gastric cancer	Nature Communications gastric cancer metastasis scRNA identifies chief cells with LIPF/PGC/PGA genes.
CMR_013	Intestinal_like_epithelial	REG4	positive	high	Kumar et al. gastric cancer lineage/TME atlas, Cancer Discovery 2022	gastric_cancer_primary_scRNA_paper	10.1158/2159-8290.CD-21-0683	https://pmc.ncbi.nlm.nih.gov/articles/PMC9394383/	2026-05-30	gastric cancer tissue	gastric cancer	Cancer Discovery gastric cancer atlas states EpiInt/intestinal-type cells express REG4 and TFF3.
CMR_014	Intestinal_like_epithelial	TFF3	positive	high	Kumar et al. gastric cancer lineage/TME atlas, Cancer Discovery 2022	gastric_cancer_primary_scRNA_paper	10.1158/2159-8290.CD-21-0683	https://pmc.ncbi.nlm.nih.gov/articles/PMC9394383/	2026-05-30	gastric cancer tissue	gastric cancer	Cancer Discovery gastric cancer atlas states EpiInt/intestinal-type cells express REG4 and TFF3.
CMR_015	Enteroendocrine_epithelial	CHGA	positive	high	Single-cell transcriptomic profiling of gastric tumorigenesis associated with H. pylori, Journal of Advanced Research 2025	gastric_tumorigenesis_primary_scRNA_paper	10.1016/j.jare.2024.10.012	https://pmc.ncbi.nlm.nih.gov/articles/PMC12302424/	2026-05-30	gastric cancer tissue	gastric cancer	Journal of Advanced Research gastric tumorigenesis scRNA annotates enteroendocrine/endocrine cells with CHGA and TPH1.
