source_archive	archive_member_name	extracted_path	geo_accession	sample_id	file_size	sha256	extraction_date	file_role	expected_matrix_orientation	orientation_validation_status	note
data/public_downloads/GSE183904_RAW.tar	GSM5573466_sample1.csv.gz	data/processed_input/GSE183904/GSM5573466_sample1.csv.gz	GSM5573466	sample1	6309075	C6BB38234ACD4E7F766A916D369DFAEFBC26E107FBDFF1ED761E7CC06F6476B2	2026-07-21T23:01:33+08:00	expected_gene_by_cell_matrix_pending_validation	gene_by_cell	pending_F0_step2_full_stream_validation	Compressed csv.gz retained; no permanent plain CSV extraction. Filename and extension do not prove orientation; Step2 must validate row/column identities.
data/public_downloads/GSE183904_RAW.tar	GSM5573467_sample2.csv.gz	data/processed_input/GSE183904/GSM5573467_sample2.csv.gz	GSM5573467	sample2	7053001	B02C74EDD7ED399BEB9A7CB9FBF6234E26432D11D3FF231BCAC7ECE4B0142026	2026-07-21T23:01:33+08:00	expected_gene_by_cell_matrix_pending_validation	gene_by_cell	pending_F0_step2_full_stream_validation	Compressed csv.gz retained; no permanent plain CSV extraction. Filename and extension do not prove orientation; Step2 must validate row/column identities.
data/public_downloads/GSE183904_RAW.tar	GSM5573468_sample3.csv.gz	data/processed_input/GSE183904/GSM5573468_sample3.csv.gz	GSM5573468	sample3	9528325	94AA99A06BAB2EF733869E7959FFA3636D7F2874F20853C6DB5E8B1AD6D4EABC	2026-07-21T23:01:33+08:00	expected_gene_by_cell_matrix_pending_validation	gene_by_cell	pending_F0_step2_full_stream_validation	Compressed csv.gz retained; no permanent plain CSV extraction. Filename and extension do not prove orientation; Step2 must validate row/column identities.
data/public_downloads/GSE183904_RAW.tar	GSM5573469_sample4.csv.gz	data/processed_input/GSE183904/GSM5573469_sample4.csv.gz	GSM5573469	sample4	5163679	41287DB8CD55B7EAD640DF804B96F64DE266EAADE139A32A7931D475B1FD805C	2026-07-21T23:01:33+08:00	expected_gene_by_cell_matrix_pending_validation	gene_by_cell	pending_F0_step2_full_stream_validation	Compressed csv.gz retained; no permanent plain CSV extraction. Filename and extension do not prove orientation; Step2 must validate row/column identities.
data/public_downloads/GSE183904_RAW.tar	GSM5573470_sample5.csv.gz	data/processed_input/GSE183904/GSM5573470_sample5.csv.gz	GSM5573470	sample5	9214324	E801931515212BC60EE63FA36A34432F02A764A07E3DCBD9C060B136F974A9B5	2026-07-21T23:01:33+08:00	expected_gene_by_cell_matrix_pending_validation	gene_by_cell	pending_F0_step2_full_stream_validation	Compressed csv.gz retained; no permanent plain CSV extraction. Filename and extension do not prove orientation; Step2 must validate row/column identities.
data/public_downloads/GSE183904_RAW.tar	GSM5573471_sample6.csv.gz	data/processed_input/GSE183904/GSM5573471_sample6.csv.gz	GSM5573471	sample6	5087448	376955B688082976440AF7203D04AF95368D1327887C3C702FD6DE1C77A48BB9	2026-07-21T23:01:33+08:00	expected_gene_by_cell_matrix_pending_validation	gene_by_cell	pending_F0_step2_full_stream_validation	Compressed csv.gz retained; no permanent plain CSV extraction. Filename and extension do not prove orientation; Step2 must validate row/column identities.
data/public_downloads/GSE183904_RAW.tar	GSM5573472_sample7.csv.gz	data/processed_input/GSE183904/GSM5573472_sample7.csv.gz	GSM5573472	sample7	5477244	6914220F6AE298CD498D37FF48A3C681FD3C19FAAC64146072A930308E404011	2026-07-21T23:01:33+08:00	expected_gene_by_cell_matrix_pending_validation	gene_by_cell	pending_F0_step2_full_stream_validation	Compressed csv.gz retained; no permanent plain CSV extraction. Filename and extension do not prove orientation; Step2 must validate row/column identities.
data/public_downloads/GSE183904_RAW.tar	GSM5573473_sample8.csv.gz	data/processed_input/GSE183904/GSM5573473_sample8.csv.gz	GSM5573473	sample8	16150984	7748E2E0AA0EE1D388337FB72043695365F9E670DA6180FC93C1901D674BB96B	2026-07-21T23:01:33+08:00	expected_gene_by_cell_matrix_pending_validation	gene_by_cell	pending_F0_step2_full_stream_validation	Compressed csv.gz retained; no permanent plain CSV extraction. Filename and extension do not prove orientation; Step2 must validate row/column identities.
data/public_downloads/GSE183904_RAW.tar	GSM5573474_sample9.csv.gz	data/processed_input/GSE183904/GSM5573474_sample9.csv.gz	GSM5573474	sample9	6611275	FBFA2ADEDA0FA041BE60AD53141DA741FC027316E80BB663BBD0761149831594	2026-07-21T23:01:33+08:00	expected_gene_by_cell_matrix_pending_validation	gene_by_cell	pending_F0_step2_full_stream_validation	Compressed csv.gz retained; no permanent plain CSV extraction. Filename and extension do not prove orientation; Step2 must validate row/column identities.
data/public_downloads/GSE183904_RAW.tar	GSM5573475_sample10.csv.gz	data/processed_input/GSE183904/GSM5573475_sample10.csv.gz	GSM5573475	sample10	5659807	145A5A47B7F9971D4A63F9E1A5E7F917FEDB385426FF6D4BC3526776F40357E8	2026-07-21T23:01:33+08:00	expected_gene_by_cell_matrix_pending_validation	gene_by_cell	pending_F0_step2_full_stream_validation	Compressed csv.gz retained; no permanent plain CSV extraction. Filename and extension do not prove orientation; Step2 must validate row/column identities.
data/public_downloads/GSE183904_RAW.tar	GSM5573476_sample11.csv.gz	data/processed_input/GSE183904/GSM5573476_sample11.csv.gz	GSM5573476	sample11	2555798	EC1C5259D54BDA871E17CC43ED5C7E1E305436A76F797B242E8509FAB5633E58	2026-07-21T23:01:33+08:00	expected_gene_by_cell_matrix_pending_validation	gene_by_cell	pending_F0_step2_full_stream_validation	Compressed csv.gz retained; no permanent plain CSV extraction. Filename and extension do not prove orientation; Step2 must validate row/column identities.
