package	source	required_stage	required_or_optional	observed_version_R_4.4.3	status_2026_07_22	purpose
R	CRAN/runtime	F1.1-F1.6	required	4.4.3	available_explicit_path	Formal baseline runtime.
Seurat	CRAN	F1.1-F1.5	required	5.5.0	available	Object construction, SCTransform workflow, PCA, clustering and marker analysis.
SeuratObject	CRAN	F1.1-F1.5	required	5.4.0	available	Seurat v5 assay/layer handling.
sctransform	CRAN	F1.3,F1.5	required	0.4.3	available	SCTransform v2 normalization and variance stabilization.
glmGamPoi	Bioconductor_3.20	F1.3,F1.5	required	1.18.0	available	SCTransform v2 accelerated count-model fitting; avoids the much slower native fallback on the full dataset.
harmony	CRAN	F1.3,F1.5	required	1.2.4	available	Sample-aware correction of SCT PCA embeddings.
Matrix	CRAN	F1.1-F1.6	required	1.7-5	available	Sparse count matrices.
data.table	CRAN	F1.1-F1.6	required	1.18.2.1	available	Memory-conscious TSV/CSV reading and writing.
R.utils	CRAN	F1.1	required	2.13.0	available	Compressed CSV support used by data.table.
ggplot2	CRAN	F1.2-F1.5	required	4.0.3	available	QC and biological review figures.
patchwork	CRAN	F1.2-F1.5	required	1.3.2	available	Combining review plots.
SingleCellExperiment	Bioconductor_3.20	F1.2	required	1.28.1	available	scDblFinder and DecontX input container.
SummarizedExperiment	Bioconductor_3.20	F1.2	required	1.36.0	available	Read DecontX assays and cell metadata.
BiocParallel	Bioconductor_3.20	F1.2	required	1.40.2	available	Controlled serial doublet execution on Windows.
scDblFinder	Bioconductor_3.20	F1.2	required	1.20.2	available	Primary doublet call by sample/capture.
celda	Bioconductor_3.20	F1.2	required	1.22.1	available	DecontX retained-cell ambient RNA estimate.
DoubletFinder	GitHub_chris-mcginnis-ucsf_DoubletFinder	F1.2	required	2.0.6	available	Sensitivity method linked to the source study; installed from commit 1B244D8F0D54B4B1CB4365639931BBB16F01E1CD.
leidenbase	CRAN	F1.3,F1.5	required	0.1.36	available	Leiden clustering used by Seurat algorithm 4.
infercnv	Bioconductor_3.20	F1.6	required	1.22.0	available	Large-scale CNV pattern inference from raw counts.
copykat	GitHub_navinlabcode_copykat	F1.6	required	1.1.0	available	Per-sample aneuploid/diploid sensitivity call.
future	CRAN	F1.3,F1.5	optional	1.70.0	available	Execution control; scripts default to sequential processing for predictable memory use.
