relative_path	size_bytes	SHA256
environment/F1/required_packages.tsv	2795	5C914993A8B767DFBEF86C8C3036C6CDA7B7C8FE289546C7D80F176B300929A0
logs/F1_single_cell/analysis_log.md	1627	9C7860C8A44CE35C07A0D642A920810EABDDDAACC74C33816C0F319C2F4E2ABD
logs/F1_single_cell/DoubletFinder_fixed_parameter_smoke_test.log	13706	81590E14AB152F3D8E4CB108635A369C2FE7279FDC97831B377D7164D68B712D
logs/F1_single_cell/F1_01_import_sessionInfo.txt	3462	C2EEFF2F549943D5C8AFAC0E444B0577B4CF6B13FE2E369E9F9CB74BD3CE4373
logs/F1_single_cell/F1_02_qc_doublet_sessionInfo.txt	5869	F5429EFFD9A86C720C0E5B0CD323AA202F5ED06DA4A8693D6E4ADBE783802466
logs/F1_single_cell/F1_03_sct_harmony_cluster_sessionInfo.txt	7233	91CE2FCDA366E7EF9AE1B99B75DA05F1A5DDC5852F3AEBBFE8D3CE62ACC87E48
logs/F1_single_cell/F1_1_to_F1_3_failed_type_20260730_025434.log	2155	880A5E130B66D88E0AE5272FDCE0E9F465CF1B553E417C788FF327A982E493F4
logs/F1_single_cell/F1_1_to_F1_3_paused_DF_20260730_034530.log	527542	6DB0652A236F00EBAFEF67D95792D5011756158E422E86571D5655C1FB08E9CF
logs/F1_single_cell/F1_1_to_F1_3.pid	7	48F0CC372FDBAFB8CCA8948C8AE7DACD33058E4B4FD929DD8103AEA29331D061
logs/F1_single_cell/F1_2_doubletfinder_fixed_20260730_054007_launcher.log	552637	A31F78AA0AA83D62211AFB792AA55055BD5F5CA32060DABD5D9A24BF78964389
logs/F1_single_cell/F1_2_doubletfinder_fixed.logpath	74	4BABAE6A80636DEB4AF5ADF8A9BA25AA40A3807146AB53C5F3A1F82649F0C066
logs/F1_single_cell/F1_2_doubletfinder_fixed.pid	7	22BD3A91CB1BBAF6BD7BFFCB406C96E2DA3DD5409EB1AEF31A12148E3262C5AE
logs/F1_single_cell/F1_2_to_F1_3_launcher.log	629143	A50780A4CF5A593E69E8391793AA19947D5E312CEA15EDB3F544132BD66787C3
logs/F1_single_cell/F1_2_to_F1_3.pid	7	3D47C132B65F3EADE868EB71037CBA72231530A5089E012E2149F58C4A9D6B27
logs/F1_single_cell/F1_3_doubletfinder_metadata_sync.log	2130	E687EFB90B55C5D71055D34B5566AD93DE80C1F90445AD1423F816DD0EE1C3A7
logs/F1_single_cell/F1_3_readback_validation.log	2844	50604C85050724DA3549EF39D01C9250A22E789013068D7B7594BD449E12E39A
logs/F1_single_cell/F1_3_rerun_20260730_045631_launcher.log	129493	8AF96BAC57E12B44CA05CFB8C7A511E974B4F612DF2494C69E364326905E596B
logs/F1_single_cell/F1_3_rerun.logpath	60	937C3CBCB20B098BAEEBA3FE0B5744233BA0711AEDD99B44869CB9AC38173803
logs/F1_single_cell/F1_3_rerun.pid	7	F7429EB31D97E4F41B537EC32B1060D5067E6C016260BACE80DF4B9B26A8063B
logs/F1_single_cell/F1_4_marker_template_20260730_052746_launcher.log	1642	C82F93DE0BCEDC166137F82BF63C2660D356D15152866356CC799E7E38915C00
logs/F1_single_cell/F1_4_marker_template.logpath	70	3EB6EF8C30ECED563675604C96A55885F14ED960082657CDBC1968C811639AE0
logs/F1_single_cell/F1_4_marker_template.pid	7	8FD1BD8CFC4600CC2DC952598015DE63364C1BB14657A63150A773F63D04C1EE
logs/F1_single_cell/F1_QC_review_plot_redraw.log	782	67B0165CC42484D51318D9154494881AEBA447F1FF0B3F6CBBE2911CD0F77903
logs/F1_single_cell/.gitkeep	0	E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855
logs/F1_single_cell/presto_install.log	1525	DF74A007B3CEF3D385A48EAA6DD31D90FC434A87BE4056EA861C5923C57FD1E5
logs/F1_single_cell/server_environment_sessionInfo.txt	7295	F441C354C79265071B8745C31D46BAB095BC3059803ACA9B092363A92064F146
logs/F1_single_cell/server_environment_setup.log	553748	8B71E955B1ED03CB05DEFA515E83DBC9653BF04CD0534CF53B978F48265B3D68
logs/F1_single_cell/server_environment_setup.pid	7	19BE240EC6285FE0056A72C229DEAEE701BAE059DBD498196193B9C11B8B4347
logs/F1_single_cell/server_environment_setup_resume2.log	4968635	084D24EF4BF7BA08CB939A2039CD8CB78A9D2AE16F70A7E106CCD9E27EB4BAB6
logs/F1_single_cell/server_environment_setup_resume3.log	13751	BAB23706FA6405A813E376C94480544CC8F44921B471CD9937A3FF8CF3C2EE6E
logs/F1_single_cell/server_environment_setup_resume.log	7926316	62883F73D10573DF3FD32851B23F84DCA66C3AC841B0945B7EFCF5BBE781AF62
logs/F1_single_cell/server_environment_versions.tsv	1338	8329BB043DC081088B7D0E838F5E0DD0EF882A93B6D7F99872D1DAEDEF437C27
logs/F1_single_cell/server_F1.1_to_F1.3_20260730_024544.log	2155	880A5E130B66D88E0AE5272FDCE0E9F465CF1B553E417C788FF327A982E493F4
logs/F1_single_cell/server_F1.1_to_F1.3_20260730_025434.log	527542	6DB0652A236F00EBAFEF67D95792D5011756158E422E86571D5655C1FB08E9CF
logs/F1_single_cell/server_F1.2_to_F1.2_20260730_054007.log	552637	A31F78AA0AA83D62211AFB792AA55055BD5F5CA32060DABD5D9A24BF78964389
logs/F1_single_cell/server_F1.2_to_F1.3_20260730_034530.log	629143	A50780A4CF5A593E69E8391793AA19947D5E312CEA15EDB3F544132BD66787C3
logs/F1_single_cell/server_F1.3_to_F1.3_20260730_045631.log	129493	8AF96BAC57E12B44CA05CFB8C7A511E974B4F612DF2494C69E364326905E596B
logs/F1_single_cell/server_F1.4_to_F1.4_20260730_052746.log	1642	C82F93DE0BCEDC166137F82BF63C2660D356D15152866356CC799E7E38915C00
logs/F1_single_cell/server_preflight.log	1434	5F535C6BFE25E2C477CC154B39D8D0A2D0224A6B3317220393F91CBC4366389D
logs/F1_single_cell/server_preflight_versions.tsv	391	F5E36035A688F40DA5E0314E049EF25C7EA77B0C3A245B0C40A20B78DDE71649
results/F1_annotation/cluster_doublet_sensitivity_summary.tsv	1022	E0788E2AD62C6FD6A579AFB72A2C04D498E68381B6F007002EFF61A47EC0D9AC
results/F1_annotation/cluster_marker_genes.tsv	1554889	C02DA669253672235845CFFCD109CB8F852E72B104E8BE730036FACBF046C5F7
results/F1_annotation/F1_3_doubletfinder_metadata_sync_validation.tsv	747	4A4E679FB886C9C98268819389B0EFD3C9CC11FF36926A2BBC1BA2FE3A5579D6
results/F1_annotation/F1_3_readback_validation.tsv	753	F1E55A00A78D2B6B1619AE984900433292C68EEBF12DE7B23BFA630129E08A98
