"dataset_id"	"run_accession"	"sample_accession"	"experiment_accession"	"file_name"	"source_url"	"local_path"	"expected_bytes"	"local_size_bytes"	"size_status"	"expected_md5"	"observed_md5"	"md5_status"	"include_in_main_download"	"checked_at"
"SRP444325"	"SRR24947496"	"SAMN35767470"	"SRX20705974"	"SRR24947496_1.fastq.gz"	"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/096/SRR24947496/SRR24947496_1.fastq.gz"	"data\public_downloads\SRP444325\fastq\SRR24947496_1.fastq.gz"	"1198147091"	"1198147091"	"size_ok"	"01ef73515ed8ef671984bc0ffba922f4"	"01ef73515ed8ef671984bc0ffba922f4"	"md5_ok"	"True"	"2026-06-29 22:38:54"
"SRP444325"	"SRR24947496"	"SAMN35767470"	"SRX20705974"	"SRR24947496_2.fastq.gz"	"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/096/SRR24947496/SRR24947496_2.fastq.gz"	"data\public_downloads\SRP444325\fastq\SRR24947496_2.fastq.gz"	"1343025030"	"1343025030"	"size_ok"	"cc0d106946a48ab63cb88727b964e9ca"	"cc0d106946a48ab63cb88727b964e9ca"	"md5_ok"	"True"	"2026-06-29 22:39:01"
"SRP444325"	"SRR24947499"	"SAMN35767467"	"SRX20705971"	"SRR24947499_1.fastq.gz"	"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/099/SRR24947499/SRR24947499_1.fastq.gz"	"data\public_downloads\SRP444325\fastq\SRR24947499_1.fastq.gz"	"1503463900"	"1503463900"	"size_ok"	"a58280941fe82108192456f7b6c6ef19"	"a58280941fe82108192456f7b6c6ef19"	"md5_ok"	"True"	"2026-06-29 22:39:08"
"SRP444325"	"SRR24947499"	"SAMN35767467"	"SRX20705971"	"SRR24947499_2.fastq.gz"	"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/099/SRR24947499/SRR24947499_2.fastq.gz"	"data\public_downloads\SRP444325\fastq\SRR24947499_2.fastq.gz"	"1681255561"	"1681255561"	"size_ok"	"c995127311c22414ec6d786deafd144e"	"c995127311c22414ec6d786deafd144e"	"md5_ok"	"True"	"2026-06-29 22:39:17"
"SRP444325"	"SRR24947504"	"SAMN35767462"	"SRX20705966"	"SRR24947504_1.fastq.gz"	"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/004/SRR24947504/SRR24947504_1.fastq.gz"	"data\public_downloads\SRP444325\fastq\SRR24947504_1.fastq.gz"	"1389938355"	"1389938355"	"size_ok"	"b6f09aa61a1973f67491ed125155da62"	"b6f09aa61a1973f67491ed125155da62"	"md5_ok"	"True"	"2026-06-29 22:39:23"
"SRP444325"	"SRR24947504"	"SAMN35767462"	"SRX20705966"	"SRR24947504_2.fastq.gz"	"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/004/SRR24947504/SRR24947504_2.fastq.gz"	"data\public_downloads\SRP444325\fastq\SRR24947504_2.fastq.gz"	"1571983354"	"1571983354"	"size_ok"	"b2f31bb20e7a34690a25d962017175c8"	"b2f31bb20e7a34690a25d962017175c8"	"md5_ok"	"True"	"2026-06-29 22:39:31"
"SRP444325"	"SRR24947509"	"SAMN35767471"	"SRX20705961"	"SRR24947509_1.fastq.gz"	"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/009/SRR24947509/SRR24947509_1.fastq.gz"	"data\public_downloads\SRP444325\fastq\SRR24947509_1.fastq.gz"	"1550980120"	"1550980120"	"size_ok"	"47a4e5c7039a187299b9bf8a51f24565"	"47a4e5c7039a187299b9bf8a51f24565"	"md5_ok"	"True"	"2026-06-29 22:39:39"
"SRP444325"	"SRR24947509"	"SAMN35767471"	"SRX20705961"	"SRR24947509_2.fastq.gz"	"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/009/SRR24947509/SRR24947509_2.fastq.gz"	"data\public_downloads\SRP444325\fastq\SRR24947509_2.fastq.gz"	"1816230586"	"1816230586"	"size_ok"	"940cd4c6f64f6a617da9926c717f70d3"	"940cd4c6f64f6a617da9926c717f70d3"	"md5_ok"	"True"	"2026-06-29 22:39:48"
"SRP444325"	"SRR24947510"	"SAMN35767475"	"SRX20705960"	"SRR24947510_1.fastq.gz"	"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/010/SRR24947510/SRR24947510_1.fastq.gz"	"data\public_downloads\SRP444325\fastq\SRR24947510_1.fastq.gz"	"1623222697"	"1623222697"	"size_ok"	"2180afa60974eba2e279dbd706d6ae64"	"2180afa60974eba2e279dbd706d6ae64"	"md5_ok"	"True"	"2026-06-29 22:39:56"
"SRP444325"	"SRR24947510"	"SAMN35767475"	"SRX20705960"	"SRR24947510_2.fastq.gz"	"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/010/SRR24947510/SRR24947510_2.fastq.gz"	"data\public_downloads\SRP444325\fastq\SRR24947510_2.fastq.gz"	"1780713397"	"1780713397"	"size_ok"	"7600e5c22f248c31eef776c34e042c6c"	"7600e5c22f248c31eef776c34e042c6c"	"md5_ok"	"True"	"2026-06-29 22:40:06"
"SRP444325"	"SRR24947500"	"SAMN35767466"	"SRX20705970"	"SRR24947500_1.fastq.gz"	"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/000/SRR24947500/SRR24947500_1.fastq.gz"	"data\public_downloads\SRP444325\fastq\SRR24947500_1.fastq.gz"	"1492486285"	"1492486285"	"size_ok"	"c02fc08e5e43f229a805e30e523458fc"	"c02fc08e5e43f229a805e30e523458fc"	"md5_ok"	"True"	"2026-06-29 22:40:13"
"SRP444325"	"SRR24947500"	"SAMN35767466"	"SRX20705970"	"SRR24947500_2.fastq.gz"	"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/000/SRR24947500/SRR24947500_2.fastq.gz"	"data\public_downloads\SRP444325\fastq\SRR24947500_2.fastq.gz"	"1632532583"	"1632532583"	"size_ok"	"d438e3cd9c59c52a366e2b5de50c7bc6"	"d438e3cd9c59c52a366e2b5de50c7bc6"	"md5_ok"	"True"	"2026-06-29 22:40:21"
"SRP444325"	"SRR24947501"	"SAMN35767465"	"SRX20705969"	"SRR24947501_1.fastq.gz"	"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/001/SRR24947501/SRR24947501_1.fastq.gz"	"data\public_downloads\SRP444325\fastq\SRR24947501_1.fastq.gz"	"1371334655"	"1371334655"	"size_ok"	"50376e506fee822253bdb6a3dcbe63a0"	"50376e506fee822253bdb6a3dcbe63a0"	"md5_ok"	"True"	"2026-06-29 22:40:28"
"SRP444325"	"SRR24947501"	"SAMN35767465"	"SRX20705969"	"SRR24947501_2.fastq.gz"	"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/001/SRR24947501/SRR24947501_2.fastq.gz"	"data\public_downloads\SRP444325\fastq\SRR24947501_2.fastq.gz"	"1597357895"	"1597357895"	"size_ok"	"e42f18e13fb1e283b1ddc90a2297f4ea"	"e42f18e13fb1e283b1ddc90a2297f4ea"	"md5_ok"	"True"	"2026-06-29 22:40:36"
