dataset_or_resource_id	file_name	local_relative_path	data_domain	intended_F_sections	species	platform_or_release	data_structure	n_feature_rows	n_sample_or_value_columns	metadata_or_annotation_columns	value_type_or_expression_unit	known_groups_or_design	known_limitations	plan_stage_precheck_decision	server_executor_required_followup
GSE235046	GSE235046_Count_table.txt.gz	GSE235046/GSE235046_Count_table.txt.gz	mouse_bulk_RNAseq_expression_table	F2.1_MLMOD_signature_reconstruction	mouse	GEO GPL24247; BMDM RNA-seq	gene_rows_by_15_sample_columns; first_4_columns_geneID_geneSymbol_bioType_annotationLevel	55665	15	geneID;geneSymbol;bioType;annotationLevel; sample columns 2544278_YW001|2544279_YW002|2544280_YW003|2544281_YW004|2544282_YW005|2544283_YW006|2544284_YW007|2544285_YW008|2544286_YW009|2544287_YW010|2544288_YW011|2544289_YW012|2544293_YW016|2544294_YW017|2544295_YW018	numeric count-like table with decimals; noninteger_rate=0.0585; zero_rate=0.6520; max=1710028.0; decimal_examples=14.04|30892.19|35377.15|25943.23|17.02	5 treatments x 3 replicates: Media,LPS,CS,LPS+CS,LPS+CS+Torin	not_all_values_are_integers; do_not_assume_raw_integer_counts_for_DESeq2_without_method_review	usable_for_F2_1_after_method_adjustment_or_approval	audit expression unit and choose DE method compatible with fractional count-like values; record whether rounding/limma_voom/other method is approved
GSE235046	GSE235046_series_matrix.txt.gz	GSE235046/GSE235046_series_matrix.txt.gz	mouse_bulk_RNAseq_sample_metadata	F2.1_MLMOD_signature_reconstruction	mouse	GPL24247	GEO_series_metadata_for_15_BMDM_samples_no_expression_matrix	0	15	sample_geo_accession;sample_title;sample_source_name_ch1;sample_characteristics_ch1:cell type|genotype|treatment	metadata_only	BMDM WT; treatments Media,LPS,CS,LPS+CS,LPS+CS+Torin; n=3 each	metadata_only; expression values are in separate GSE235046_Count_table.txt.gz	required_metadata_for_F2_1_design	construct sample design table and verify count table columns match sample titles
GSE15459	GSE15459_series_matrix.txt.gz	bulk_GEO/GSE15459/GSE15459_series_matrix.txt.gz	bulk_expression_GEO_series_matrix	F2.4/F5_external_bulk_candidate	human	GPL570	GEO_series_matrix_metadata_plus_expression_table	54675	200	sample_geo_accession;sample_title;sample_source_name_ch1;sample_characteristics_ch1:tissue	series_matrix_processed_expression_values	source_examples=primary gastric tumor, GC-011LGE-T|primary gastric tumor, GC-017TPC-T|primary gastric tumor, GC-021LAH-T|primary gastric tumor, GC-024-SWM-T|primary gastric tumor, GC-025-PHW-T|primary gastric tumor, GC-026-GJK-T|primary gastric tumor, GC-028LGL-T|primary gastric tumor, GC-031KCW-T; title_examples=GC-011LGE-T [EXCLUDED]|GC-017TPC-T|GC-021LAH-T [EXCLUDED]|GC-024-SWM-T|GC-025-PHW-T	some_sample_titles_marked_EXCLUDED_must_audit_inclusion	candidate_for_later_F_section_only_not_auto_main	verify_expression_units_probe_mapping_sample_inclusion_clinical_endpoints_before_F2_F5_F6_F7_use
GSE66229	GSE66229_series_matrix.txt.gz	bulk_GEO/GSE66229/GSE66229_series_matrix.txt.gz	bulk_expression_GEO_series_matrix	F5_external_bulk_candidate	human	GPL570	GEO_series_matrix_metadata_plus_expression_table	54675	400	sample_geo_accession;sample_title;sample_source_name_ch1;sample_characteristics_ch1:patient|tissue	series_matrix_processed_expression_values	source_examples=Normal from patient 1|Normal from patient 101|Normal from patient 105|Normal from patient 106|Normal from patient 11|Normal from patient 112|Normal from patient 113|Normal from patient 114; title_examples=T107|T108|T109|N132|N133	may_be_superseries_or_mixed_series_requires_sample_role_audit	candidate_for_later_F_section_only_not_auto_main	verify_expression_units_probe_mapping_sample_inclusion_clinical_endpoints_before_F2_F5_F6_F7_use
GSE84426	GSE84426_series_matrix.txt.gz	bulk_GEO/GSE84426/GSE84426_series_matrix.txt.gz	bulk_expression_GEO_series_matrix	F5_external_bulk_candidate	human	GPL6947	GEO_series_matrix_metadata_plus_expression_table	48708	76	sample_geo_accession;sample_title;sample_source_name_ch1;sample_characteristics_ch1:Sex|age|death|duration overall survival|pnstage|ptstage|tissue	series_matrix_processed_expression_values	source_examples=Human gastric cancer; title_examples=Y10052T|Y10055T|Y10056T|Y10057T|Y10058T	requires_clinical_endpoint_and_probe_mapping_audit_before_use	candidate_for_later_F_section_only_not_auto_main	verify_expression_units_probe_mapping_sample_inclusion_clinical_endpoints_before_F2_F5_F6_F7_use
GSE26253	GSE26253_series_matrix.txt.gz	bulk_GEO/GSE26253/GSE26253_series_matrix.txt.gz	bulk_expression_GEO_series_matrix	F2.4/F5_external_bulk_candidate	human	GPL8432	GEO_series_matrix_metadata_plus_expression_table	17418	432	sample_geo_accession;sample_title;sample_source_name_ch1;sample_characteristics_ch1:pathological stage|recurrence free survival time (month)|status (0=non-recurrence, 1=recurrence)	series_matrix_processed_expression_values	source_examples=FFPE Gastric Adenocarcinoma; title_examples=5038711022_A|5038711022_B|5038711022_C|5038711022_D|5038711022_E	requires_clinical_endpoint_and_probe_mapping_audit_before_use	candidate_for_later_F_section_only_not_auto_main	verify_expression_units_probe_mapping_sample_inclusion_clinical_endpoints_before_F2_F5_F6_F7_use
GSE62254	GSE62254_series_matrix.txt.gz	bulk_GEO/GSE62254/GSE62254_series_matrix.txt.gz	bulk_expression_GEO_series_matrix	F2.4/F5_ACRG_external_bulk_candidate	human	GPL570	GEO_series_matrix_metadata_plus_expression_table	54675	300	sample_geo_accession;sample_title;sample_source_name_ch1;sample_characteristics_ch1:patient|tissue	series_matrix_processed_expression_values	source_examples=Tumor from patient 1|Tumor from patient 101|Tumor from patient 105|Tumor from patient 106|Tumor from patient 107|Tumor from patient 108|Tumor from patient 109|Tumor from patient 11; title_examples=T107|T108|T109|T160|T164	requires_clinical_endpoint_and_probe_mapping_audit_before_use	candidate_for_later_F_section_only_not_auto_main	verify_expression_units_probe_mapping_sample_inclusion_clinical_endpoints_before_F2_F5_F6_F7_use
GSE84437	GSE84437_series_matrix.txt.gz	bulk_GEO/GSE84437/GSE84437_series_matrix.txt.gz	bulk_expression_GEO_series_matrix	F2.4/F5_external_bulk_candidate	human	GPL6947	GEO_series_matrix_metadata_plus_expression_table	49576	483	sample_geo_accession;sample_title;sample_source_name_ch1;sample_characteristics_ch1:Sex|age|death|duration overall survival|pnstage|ptstage|tissue	series_matrix_processed_expression_values	source_examples=Human gastric cancer; title_examples=Y10052T|Y10055T|Y10056T|Y10057T|Y10058T	may_be_superseries_or_mixed_series_requires_sample_role_audit	candidate_for_later_F_section_only_not_auto_main	verify_expression_units_probe_mapping_sample_inclusion_clinical_endpoints_before_F2_F5_F6_F7_use
TCGA-STAD	TCGA-STAD.survival.tsv.gz	TCGA_STAD/TCGA-STAD.survival.tsv.gz	tcga_survival_table	F2.4/F5/F6/F7_TCGA_candidate	human	UCSC_Xena_survival	tabular_file	469	4	sample|OS.time|OS|_PATIENT			survival table is only one TCGA component; companion processed expression, GDC/cBioPortal clinical, GISTIC/log2 CNA, verified GDC MAF collection and 450K beta matrix are now predownloaded and separately audited in predownloaded_resource_structure_audit.tsv; cross-source sample harmonization remains required	available_as_preuploaded_resource_or_candidate	verify checksum/readability, patient/sample barcode mapping, endpoint definitions, release compatibility and section-specific applicability before use
GENCODE_GRCh38_v44	infercnv_gene_order_hg38_gencode_v44_gene_symbols_chr1_22.tsv	inferCNV/infercnv_gene_order_hg38_gencode_v44_gene_symbols_chr1_22.tsv	inferCNV_gene_order	F1.6_inferCNV	human	GENCODE v44 chr1-22	tabular_file	58189	8	gene_symbol|chromosome|start|end|gencode_gene_ids|gene_types|n_gene_records_combined|decision			derived gene order for main inferCNV autosome analysis	available_as_preuploaded_resource_or_candidate	verify checksum/readability and section-specific applicability before use
