cluster	cell_count	sample_count	top_markers	cell_type_major	cell_type_minor	cell_state	annotation_confidence	annotation_reason
1	18793	40	GZMK,CD8B,CD8A,GZMH,CCL5,GZMA,SLA2,GZMM,CST7,NKG7,TRAT1,LAG3,GZMB,APOBEC3G,LINC01871,KLRD1,TUBA4A,PRF1,CD96,CD3G,CD7,PTPN22,CD3D,SYTL3,RNF125,CTSW,CD3E,SH2D2A,RUNX3,PDE3B					
10	5821	40	CCL4,CCL4L2,IFNG,XCL1,XCL2,TNFSF9,TNF,THEMIS,CD8A,GZMH,GZMK,KLRD1,CCL5,CD8B,NKG7,SCML4,TAGAP,GZMM,SLA,APOBEC3G,GZMB,CTSW,CD69,CCL3,NR4A2,CD3G,LAG3,CD96,PTGER4,PTPN22					
11	5790	40	LILRB5,CCL18,C1QB,C1QC,C1QA,FOLR2,TREM2,SIGLEC1,MS4A4A,F13A1,PLA2G7,MSR1,VSIG4,FPR3,APOC1,MMP9,CD163,SDS,CSF1R,MS4A6A,MRC1,ADAMDEC1,GPNMB,FCGR1A,MS4A7,SPP1,CD14,CMKLR1,SLAMF8,LILRB4					
12	5088	39	VPREB3,MS4A1,BANK1,SPIB,CXCR5,RUBCNL,FCRLA,CD19,BLK,TNFRSF13C,CD22,LY9,TNFRSF13B,HVCN1,CD79A,ARHGAP24,CD83,LY86,CD79B,CCR7,IRF8,NFKBID,POU2F2,RALGPS2,GNG7,CD40,BCAS4,LYN,CD37,HLA-DQA1					
13	4841	40	S100A12,FCN1,CD300E,EREG,MCEMP1,AQP9,S100A8,S100A9,MIR3945HG,IL1A,CLEC4E,IL1B,IL1RN,LILRA5,OLR1,FPR1,G0S2,CSF3R,CXCL8,TREM1,SMIM25,SLC11A1,CCL3L1,C5AR1,CFP,NLRP3,TLR2,NCF2,BCL2A1,LILRB2					
14	4598	37	IGLV2-14,IGLV6-57,IGHA2,IGKV1-5,IGKV3-11,IGKV4-1,IGLL5,SPINK2,IGHA1,LINC02362,IGLV3-1,JSRP1,MZB1,TNFRSF17,FCRL5,DERL3,JCHAIN,TXNDC5,IGKC,LINC01480,POU2AF1,CCR10,PNOC,IGLC2,CPNE5,CD79A,SPAG4,EAF2,GNG7,SDC1					
15	3710	40	MYH11,EGFLAM,ENPEP,COX4I2,LGI4,HIGD1B,RGS5,NOTCH3,FAM162B,CNN1,ACTA2,TRPC6,FOXS1,ITGA7,CDH6,HEYL,CSPG4,FRZB,EDNRA,KCNJ8,TAGLN,LMOD1,EFHD1,STEAP4,GJC1,GUCY1A2,PDGFRB,HEY2,GUCY1B1,MYL9					
16	3443	39	PRR4,BPIFB1,C6orf58,AQP5,REG3A,LTF,MUC6,MIA,LYZ,AC020656.1,MSMB,REG1A,C16orf89,ZG16B,FUT9,FAM3D,LCN2,TFF2,PGC,WFDC2,ADH1C,SLC9A4,CXCL17,SPDEF,PIGR,FMOD,ANKRD22,GOLM1,PPP1R1B,EPHB3					
17	2703	39	CPA3,TPSAB1,GCSAML,MS4A2,TPSB2,SIGLEC6,HPGDS,AL157895.1,TPSD1,KIT,SLC18A2,GATA2,RHEX,RGS13,NTRK1,LTC4S,VWA5A,IL1RL1,MAOB,HDC,SLC45A3,GMPR,P2RX1,ARMH1,ALOX5,MITF,CNRIP1,GALC,BTK,SLC26A2					
18	2369	40	HSPA6,JUN,HSPA1B,FOS,DUSP1,FOSB,DNAJB1,NR4A1,IER2,HSPA1A,BTG2,HSP90AA1,UBC,HSPH1,PPP1R15A,UBB,HSP90AB1,JUNB,EGR1,HSPA8,GADD45B,DNAJA1,H3F3B,NFKBIA,TSC22D3,CITED2,CD69,MZB1,MALAT1,BRD2					
