epithelial_cluster	cell_count	sample_count	group_cell_counts	top_markers	include_in_malignancy	contamination_status	epithelial_subtype	review_reason
1	4206	39	Normal_Gastric=1426|Peritoneal_Metastasis=107|Primary_Tumor=2673	RPS24,RPL32,RPS14,RPLP1,RPL11,RPL29,RPS3A,RPL10,RPL35A,RPS8,RPS12,RPS15A,RPL13,RPL37,RPS4X,RPL34,RPS27A,RPL39,RPS18,RPS13,RPL19,RPL7A,RPS28,RPL30,RPL14,RPL6,RPS6,RPL18A,RPS5,RPL15				
10	1190	39	Normal_Gastric=497|Peritoneal_Metastasis=42|Primary_Tumor=651	EGR1,FOS,DNAJB1,ATF3,FOSB,CITED2,JUN,IER2,DUSP1,GADD45B,MYLIP,ADAMTS1,ID2,HSPA8,TUBB4B,JUNB,HSPA1B,HBEGF,CYR61,SNHG12,SNAI1,ARL4D,DNAJA1,TENT5C,ANKRD37,BTG2,HSP90AA1,CBX4,NR4A1,CTGF				
11	1075	39	Normal_Gastric=368|Peritoneal_Metastasis=20|Primary_Tumor=687	CXCL2,CXCL3,CXCL1,CXCL8,NFKBIA,ICAM1,CD83,EDN1,DNAJB1,CTGF,CEBPD,SOCS3,NCOA7,SOD2,MAFF,IRF1,ZFP36L1,CXCL5,IER3,IRF8,PPP1R15A,BCL3,ZFP36,FOS,AMOTL2,CYR61,BAG3,KLF10,ATF3,EGR1				
12	824	39	Normal_Gastric=212|Peritoneal_Metastasis=14|Primary_Tumor=598	RPS18,RPL36,MT-CO1,RPL35,RPS15,RPL13,MT-ND1,RPS19,RPL13A,MT-ND5,MT-ATP8,MT-ND4L,RPL28,MT-CYB,MT-CO2,MT-CO3,RPS2,RPS27,ELOB,RPS9,RPL37A,MT-ND2,RPL37,RRBP1,ATP5F1D,RPL18A,RPS21,RPL31,MT-ATP6,RPL38				
13	814	39	Normal_Gastric=191|Peritoneal_Metastasis=29|Primary_Tumor=594	SRGN,CD37,LAPTM5,VIM,SAMSN1,GYPC,SLC2A3,ALOX5AP,PTPRC,EMP3,CXCR4,LGALS1,CORO1A,LSP1,ARHGDIB,RAC2,TYROBP,IFITM2,RGS1,CCL4,B2M,LIMD2,TUBA1A,S100A4,IGFBP7,CREM,IFITM1,HLA-DPA1,HLA-B,IFI16				
14	709	37	Normal_Gastric=248|Peritoneal_Metastasis=25|Primary_Tumor=436	HSPA6,DNAJB1,HSPA1B,BAG3,HSPA1A,HSPH1,HSP90AA1,FOS,ZFAND2A,HSP90AB1,HSPA8,DUSP1,JUN,UBB,HSPB1,PDK4,DNAJA1,HBEGF,DNAJA4,ATF3,CYR61,FOSB,HSPD1,CTGF,EGR1,CLK1,DNAJB4,RHOB,UBC,ZNF217				
15	701	37	Normal_Gastric=223|Peritoneal_Metastasis=7|Primary_Tumor=471	DUOXA2,DUOX2,APOL1,IFI27,PSAPL1,DDX60,CEACAM5,HLA-A,ISG15,PHGR1,GKN1,HRASLS2,CDHR2,GSN,RSAD2,EPS8L1,SDCBP2,TFF1,TYMP,GKN2,MUC1,HLA-E,SPATS2L,MALAT1,HLA-F,COL17A1,MUCL3,S100P,LGALS9B,LAMB3				
16	371	37	Normal_Gastric=100|Peritoneal_Metastasis=6|Primary_Tumor=265	MIR155HG,MZB1,ANKRD28,IGLL5,PDE4B,RGS1,JCHAIN,JSRP1,TAGAP,CYTOR,AC016831.7,IGHA1,VIM,IGKC,PRDM1,IGHA2,IGHG3,MALAT1,DERL3,TSC22D3,IGLC3,IGLC2,HSP90AA1,TGFB1,DUSP5,UBC,PIM2,HSPA1B,MIR29B2CHG,HSPA1A				
17	298	24	Normal_Gastric=238|Peritoneal_Metastasis=1|Primary_Tumor=59	CKM,TRIM50,SULT2A1,ETNPPL,SIGLEC11,LINC00671,ATP4B,FRMD1,APOBEC2,GIF,RPRM,FABP3,AC116407.1,SMIM11A,CLIC6,ATP4A,RBPMS2,CKMT2,ESRRG,CPA2,G0S2,CHIA,TPD52L1,KCNE2,CYFIP2,ODAM,CNTD1,SLC25A4,MFSD4A,FXYD4				
18	277	35	Normal_Gastric=62|Peritoneal_Metastasis=18|Primary_Tumor=197	RNASE1,GKN2,GKN1,TFF1,TFF2,S100P,MUCL3,IFI27,PSCA,MUC5AC,VSIG2,CAPN8,SPINK1,LGALS9C,CTSE,SMIM22,GSN,CA2,FCGBP,MUC1,PHGR1,ANXA10,AKR1B10,LINC01133,TMSB4X,MSMB,CYSTM1,LGALS9B,NKX6-2,CLDN18				
19	188	35	Normal_Gastric=47|Peritoneal_Metastasis=8|Primary_Tumor=133	HLA-DPB1,CD74,HLA-DPA1,HLA-DRA,HLA-DRB5,HLA-DRB1,HLA-DMA,HLA-DQA1,HLA-DQB1,B2M,HLA-DMB,HLA-B,HLA-C,UBD,LCN2,IFITM3,MMP7,BPIFB1,PDZK1IP1,IFI6,BST2,HLA-A,CFB,MIA,LY6E,IFITM1,ITM2B,AQP5,PSMB9,SYNGR2				
