marker_group	gene
Broad_epithelial	EPCAM
Broad_epithelial	KRT8
Broad_epithelial	KRT18
Broad_epithelial	KRT19
Broad_epithelial	CDH1
Pit_surface_mucous	MUC5AC
Pit_surface_mucous	TFF1
Pit_surface_mucous	GKN1
Pit_surface_mucous	GKN2
Mucous_neck	MUC6
Mucous_neck	TFF2
Chief	LIPF
Chief	PGA3
Chief	PGA4
Chief	PGA5
Chief	PGC
Parietal	ATP4A
Parietal	ATP4B
Parietal	GIF
Enteroendocrine	CHGA
Enteroendocrine	CHGB
Enteroendocrine	TPH1
Enteroendocrine	GHRL
Enteroendocrine	NEUROD1
Intestinal_or_tumor_like	REG4
Intestinal_or_tumor_like	TFF3
Intestinal_or_tumor_like	CEACAM5
Intestinal_or_tumor_like	CEACAM6
Intestinal_or_tumor_like	MMP7
Intestinal_or_tumor_like	S100P
Intestinal_or_tumor_like	OLFM4
Intestinal_or_tumor_like	SOX9
Intestinal_or_tumor_like	KRT17
Intestinal_or_tumor_like	CLDN4
Cell_state	MKI67
Cell_state	TOP2A
Cell_state	MT1G
Cell_state	MT2A
Cell_state	HSPA1A
Cell_state	FOS
Cell_state	CXCL8
Cell_state	HLA-DRA
Non_epithelial_conflict	PTPRC
Non_epithelial_conflict	TYROBP
Non_epithelial_conflict	LST1
Non_epithelial_conflict	CD3D
Non_epithelial_conflict	MS4A1
Non_epithelial_conflict	CD79A
Non_epithelial_conflict	MZB1
Non_epithelial_conflict	JCHAIN
Non_epithelial_conflict	COL1A1
Non_epithelial_conflict	PECAM1
