cluster	cell_count	sample_count	n_patients	dominant_sample_id	dominant_sample_fraction	dominant_patient_id	dominant_patient_fraction	Normal_Gastric_count	Normal_Gastric_fraction	Primary_Tumor_count	Primary_Tumor_fraction	Peritoneal_Metastasis_count	Peritoneal_Metastasis_fraction	Normal_Peritoneum_count	Normal_Peritoneum_fraction	top_markers	annotation_review_status	downstream_handling_before_full_approval	cell_type_major	cell_type_minor	cell_state	annotation_confidence	annotation_reason
1	18793	40	29	sample15	0.141169584419731	NGCII511	0.141169584419731	2568	0.136646623742883	15144	0.80583195870803	1052	0.0559782897887511	29	0.0015431277603363	GZMK,CD8B,CD8A,GZMH,CCL5,GZMA,SLA2,GZMM,CST7,NKG7,TRAT1,LAG3,GZMB,APOBEC3G,LINC01871,KLRD1,TUBA4A,PRF1,CD96,CD3G,CD7,PTPN22,CD3D,SYTL3,RNF125,CTSW,CD3E,SH2D2A,RUNX3,PDE3B	researcher_approved_annotation	保留在全细胞对象；不进入F1.5上皮主对象；不得仅凭单一状态或DoubletFinder-only标签自动删除。	T/NK	CD8_GZMK_cytotoxic_T	GZMK_high_cytotoxic_memory_like	high	CD3D/CD3E/CD3G与CD8A/CD8B成套表达，GZMK/CCL5/NKG7/GZMB提示细胞毒和效应记忆样程序；无上皮、B细胞或基质谱系冲突。
2	17539	40	29	sample34	0.152118136723873	NGCII541	0.152118136723873	2110	0.120303324020754	14464	0.824676435372598	960	0.0547351616397742	5	0.000285078966873824	TNFRSF4,CCR6,CTLA4,ICOS,BATF,CD28,LTB,TNFRSF25,IL7R,SPOCK2,CD5,TNFRSF18,TIGIT,RORA,ITK,FLT3LG,PBX4,KLRB1,CD6,PBXIP1,CD2,AQP3,TTC39C,SATB1,CAMK4,PIK3IP1,FCMR,GPRIN3,CD3D,CLEC2D	researcher_approved_annotation	保留在全细胞对象；不进入F1.5上皮主对象；不得仅凭单一状态或DoubletFinder-only标签自动删除。	T/NK	CCR6_IL7R_CD4_like_T	activated_costimulatory_checkpoint_high	medium	CD3D/CD3E/CD3G支持T细胞，IL7R/CCR6/KLRB1及CTLA4/TNFRSF4/TIGIT提示活化CD4样程序；FOXP3和IL2RA未形成marker证据，因此不命名为Treg。
3	13819	40	29	sample33	0.0810478326941168	NGCII538	0.0911064476445474	4391	0.317750922642738	9096	0.658224184094363	329	0.0238078008538968	3	0.000217092409002099	GKN2,TFF1,GKN1,TFF3,S100P,S100A14,AKR1B10,CEACAM5,REG4,GPX2,LGALS4,PLA2G10,TSPAN8,AGR3,PHGR1,ALDH3A1,PRSS3,GSTA1,AKR7A3,FXYD3,AGR2,RAB25,SPINK1,MAL2,CTSE,KRT8,TMEM45B,TSPAN1,C19orf33,KRT19	researcher_approved_annotation	保留为F1.5上皮候选；恶性身份等待F1.6；不得作为inferCNV或CopyKAT正常reference。	Epithelial	Gastric_or_intestinal_like_epithelial_malignancy_pending_CNV	mixed_gastric_and_intestinal_program	medium	GKN1/GKN2/TFF1胃表面-小凹程序与S100P/AKR1B10/CEACAM5/REG4/GPX2肠型或肿瘤候选程序并存；该cluster同时含正常胃和原发肿瘤来源细胞。组织来源和这些marker均不能单独证明恶性，需在F1.5细分并由F1.6 CNV联合判断。
4	10994	39	29	sample35	0.141713661997453	NGCII538	0.172730580316536	3277	0.298071675459341	7693	0.699745315626706	23	0.00209205020920502	1	9.09587047480444e-05	JCHAIN,IGKV4-1,TNFRSF17,IGKV1-5,IGLV3-1,DERL3,LINC02362,IGLV6-57,TXNDC5,AC104699.1,IGLL5,MZB1,IGKV3-20,CCR10,SPINK2,FCRL5,JSRP1,AC012236.1,IGLC2,IGLC3,IGHM,PNOC,IGKC,POU2AF1,IGHA2,LINC01480,IGHA1,SPAG4,CD79A,EAF2	researcher_approved_annotation	保留在全细胞对象；不进入F1.5上皮主对象；不得仅凭单一状态或DoubletFinder-only标签自动删除。	B/Plasma	JCHAIN_TNFRSF17_plasma	antibody_secreting	high	JCHAIN/TNFRSF17/MZB1/DERL3/IGKC及大量免疫球蛋白共同支持浆细胞；IGHM和IGHA并存，暂不按单一抗体亚型进一步细分。
5	8946	40	29	sample17	0.126760563380282	NGCII509	0.126760563380282	2308	0.257992398837469	5987	0.669237648110888	621	0.0694164989939638	30	0.00335345405767941	CCL11,AGT,DPT,TRPA1,APOD,CXCL14,PDGFRA,MFAP4,TCF21,POSTN,FENDRR,LUM,ADH1B,FIBIN,NEGR1,TMEM119,GFRA1,ABCA8,DCN,IGFBP5,TMEM100,SGCD,FBLN1,EMILIN1,SRPX2,MMP2,PLAT,PODN,ALDH1A3,CTSK	researcher_approved_annotation	保留在全细胞对象；不进入F1.5上皮主对象；不得仅凭单一状态或DoubletFinder-only标签自动删除。	Fibroblast/CAF	LUM_DCN_PDGFRA_fibroblast	CCL11_CXCL14_stromal_program	high	LUM/DCN/PDGFRA/DPT/MFAP4/TCF21为连贯成纤维细胞程序，CCL11/CXCL14/POSTN提示状态差异；缺少足够FAP/INHBA/CTHRC1证据，因此不直接命名为CAF亚型。
6	7482	40	29	sample40	0.101042502004812	NGCII545	0.101042502004812	1817	0.242849505479818	4845	0.647554129911788	818	0.109329056402032	2	0.000267308206361935	PLVAP,EMCN,TM4SF18,SOX18,VWF,CDH5,RAMP3,EXOC3L2,PCAT19,ECSCR,ARHGEF15,ACKR1,MYCT1,CXorf36,CLEC14A,MMRN2,ROBO4,CLDN5,CCL14,NOVA2,SOX17,APLNR,ADGRL4,FAM167B,F2RL3,SHANK3,CYYR1,BCL6B,RAMP2,TEK	researcher_approved_annotation	保留在全细胞对象；不进入F1.5上皮主对象；不得仅凭单一状态或DoubletFinder-only标签自动删除。	Endothelial/Pericyte	Vascular_endothelial	PLVAP_EMCN_high	high	VWF/CDH5/ENG/PLVAP/EMCN/CLDN5/TEK成套支持血管内皮细胞；即使DoubletFinder-only比例偏高，谱系marker仍连贯且跨样本存在。
7	6808	40	29	sample15	0.157608695652174	NGCII511	0.157608695652174	767	0.112661574618096	5594	0.821680376028202	440	0.0646298472385429	7	0.00102820211515864	GNLY,PRF1,KLRD1,GZMB,KLRC1,NKG7,CTSW,GZMA,HOPX,CLIC3,GZMH,MATK,CD247,IL2RB,SLA2,CST7,CCL5,CD7,LINC01871,SH2D2A,SYTL3,AOAH,SPN,TNFRSF18,APOBEC3G,TRBC1,BIN2,DOK2,GPR65,ARHGAP9	researcher_approved_annotation	保留在全细胞对象；不进入F1.5上皮主对象；不得仅凭单一状态或DoubletFinder-only标签自动删除。	T/NK	GNLY_NK_like_cytotoxic_lymphocyte	GNLY_GZMB_high_cytotoxic	medium	GNLY/NKG7/KLRD1/PRF1/GZMB强烈支持NK样细胞毒程序；同时CD3D/E及TRBC在部分细胞中表达，因此保留T/NK粗谱系，不把整个cluster写成纯NK。
8	6210	39	29	sample35	0.124476650563607	NGCII538	0.165056360708535	1952	0.314331723027375	4042	0.650885668276973	216	0.0347826086956522	0	0	IGHG4,IGHG1,IGHG3,IGLC3,IGKC,IGHA1,IGLC2,IGHA2,JSRP1,FCRL5,MZB1,IGLL5,DERL3,SPAG4,POU2AF1,TNFRSF17,SSR4,COBLL1,SDC1,CD79A,RAB30,FKBP11,PRDX4,ANKRD28,XBP1,SLAMF7,SEC11C,FKBP2,JCHAIN,PLPP5	researcher_approved_annotation	保留在全细胞对象；不进入F1.5上皮主对象；不得仅凭单一状态或DoubletFinder-only标签自动删除。	B/Plasma	IGHG_high_plasma	IGHG_high_antibody_secreting	high	IGHG1/IGHG3/IGHG4与MZB1/DERL3/JCHAIN/TNFRSF17/XBP1共同支持IGHG-high抗体分泌浆细胞。
9	6007	40	29	sample33	0.0767437989012819	NGCII538	0.11952721824538	1733	0.288496753787248	4126	0.686865323788913	145	0.0241385050774097	3	0.000499417346429166	HIST1H2AM,RASEF,ANKRD36C,CAPN8,CYP3A5,AC023157.3,ELF3,TMC5,ERN2,ABCC3,MICALL2,LIPH,EPS8L3,LAMA3,ARL14,EPS8L1,KLF5,SULT1C2,TRPM4,RND3,MUC5AC,LAMB3,FOXA3,SEMA3B,BAIAP2L1,LMO7,MLPH,EPS8L2,CLDN4,EPHA2	researcher_approved_annotation	保留为F1.5上皮候选；恶性身份等待F1.6；不得仅凭组织来源或亚型marker判定恶性。	Epithelial	Pit_surface_mucous_like_epithelial	MUC5AC_CYP3A5_CLDN4_high	high	EPCAM/KRT8/KRT18/KRT19/CDH1支持上皮，MUC5AC/TFF1/GKN1/GKN2支持胃表面-小凹样分化；CYP3A5/CLDN4升高作为状态记录，不能据此直接判断恶性。
10	5821	40	29	sample8	0.0828036419859131	NGCII520	0.0881291874248411	1224	0.210273148943481	4239	0.728225390826319	354	0.0608142930767909	4	0.000687167153410067	CCL4,CCL4L2,IFNG,XCL1,XCL2,TNFSF9,TNF,THEMIS,CD8A,GZMH,GZMK,KLRD1,CCL5,CD8B,NKG7,SCML4,TAGAP,GZMM,SLA,APOBEC3G,GZMB,CTSW,CD69,CCL3,NR4A2,CD3G,LAG3,CD96,PTGER4,PTPN22	researcher_approved_annotation	保留在全细胞对象；不进入F1.5上皮主对象；不得仅凭单一状态或DoubletFinder-only标签自动删除。	T/NK	IFNG_CCL4_CD8_cytotoxic_T	IFNG_CCL4_TNF_high_activated	high	CD3D/CD3E/CD3G与CD8A/CD8B支持CD8 T细胞，IFNG/CCL4/TNF/GZMB/NKG7提示活化细胞毒状态。
