cluster	retained_cells	DoubletFinder_evaluable_cells	DoubletFinder_doublets	DoubletFinder_only_fraction	sample_count
1	18793	18764	128	0.00682157322532509	40
2	17539	17534	165	0.00941028858218319	40
3	13819	13816	597	0.0432107701215981	40
4	10994	10993	123	0.0111889384153552	39
5	8946	8916	896	0.100493494840736	40
6	7482	7480	904	0.120855614973262	40
7	6808	6801	100	0.0147037200411704	40
8	6210	6210	148	0.0238325281803543	39
9	6007	6004	193	0.032145236508994	40
10	5821	5817	76	0.0130651538593777	40
11	5790	5782	249	0.0430646835005189	40
12	5088	5088	105	0.0206367924528302	39
13	4841	4791	149	0.0310999791275308	40
14	4598	4595	99	0.0215451577801959	37
15	3710	3708	510	0.137540453074434	40
16	3443	3442	207	0.0601394538059268	39
17	2703	2700	54	0.02	39
18	2369	2368	53	0.0223817567567568	40
19	2117	2117	86	0.0406235238545111	39
20	1754	1752	82	0.0468036529680365	40
21	1442	1442	65	0.0450762829403606	35
22	1273	1259	207	0.164416203335981	37
23	628	628	3	0.00477707006369427	39
24	475	475	10	0.0210526315789474	38
