p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	2.88349116731447	0.973	0.214	0	1	CCL5
0	2.52526604451072	0.822	0.141	0	1	NKG7
0	2.1227866735436	0.865	0.223	0	1	CD3E
0	2.77344815847055	0.72	0.115	0	1	GZMA
0	2.54828164989411	0.762	0.166	0	1	CST7
0	3.27405597968291	0.673	0.084	0	1	CD8A
0	2.18501700054737	0.774	0.225	0	1	CD7
0	2.16114052236478	0.726	0.185	0	1	CD3D
0	2.04366553643298	0.867	0.362	0	1	CXCR4
0	2.01557607254095	0.759	0.261	0	1	HCST
0	1.74193715933089	0.849	0.372	0	1	PTPRC
0	1.60886606745005	0.923	0.455	0	1	IL32
0	1.92605074220863	0.778	0.314	0	1	PTPRCAP
0	1.68085656894079	0.764	0.304	0	1	CD52
0	1.7136329428211	0.798	0.356	0	1	CORO1A
0	1.8547491086653	0.585	0.16	0	1	CD2
0	2.35922338591603	0.503	0.09	0	1	GZMB
0	2.03654602959529	0.551	0.144	0	1	LCK
0	1.91325439588856	0.649	0.243	0	1	EVL
0	1.88137102766169	0.854	0.451	0	1	DUSP2
0	3.40430596877282	0.45	0.05	0	1	CD8B
0	1.06968526777412	0.709	0.314	0	1	CD69
0	1.66607349463839	0.654	0.261	0	1	LCP1
0	1.98445880548971	0.542	0.156	0	1	TRBC2
0	1.5761441751955	0.607	0.222	0	1	FYB1
0	3.50150679127792	0.433	0.053	0	1	GZMK
0	2.02676967157142	0.579	0.199	0	1	FYN
0	2.1496175946485	0.527	0.157	0	1	SYTL3
0	2.89990570421678	0.43	0.061	0	1	GZMH
0	2.23761245201997	0.477	0.11	0	1	CD3G
0	2.59103320707571	0.455	0.088	0	1	GZMM
0	1.4198317407189	0.867	0.505	0	1	ARHGDIB
0	1.59050165671644	0.561	0.205	0	1	ALOX5AP
0	2.26093601009361	0.436	0.081	0	1	PRF1
0	1.50824976438472	0.752	0.399	0	1	RAC2
0	2.10028508211419	0.488	0.136	0	1	SH2D2A
0	1.52647764710782	0.764	0.413	0	1	CREM
0	2.07960667607842	0.503	0.157	0	1	RUNX3
0	2.24169734134791	0.443	0.1	0	1	CD96
0	0.996564742478554	0.965	0.625	0	1	SRGN
0	1.02226846270673	0.811	0.48	0	1	IFITM1
0	2.26492614316894	0.658	0.331	0	1	TUBA4A
0	2.16823191876759	0.452	0.129	0	1	PTPN22
0	1.68663432747647	0.551	0.229	0	1	GNG2
0	0.607676587053546	0.696	0.374	0	1	LAPTM5
0	1.85166365812748	0.522	0.204	0	1	SEPT1
0	1.51523857740589	0.621	0.304	0	1	ZNF331
0	1.39520239943754	0.596	0.28	0	1	SAMSN1
0	1.27676103395332	0.826	0.511	0	1	TNFAIP3
0	2.72228617399287	0.367	0.063	0	1	SLA2
0	1.7294082944501	0.642	0.342	0	1	LEPROTL1
0	2.031441079675	0.437	0.137	0	1	ARHGAP9
0	1.49027596874827	0.691	0.391	0	1	RGCC
0	1.78265476969522	0.418	0.12	0	1	CD247
0	1.73354312594671	0.588	0.29	0	1	CLEC2B
0	1.27187203660214	0.697	0.402	0	1	LSP1
0	1.43923612616003	0.649	0.358	0	1	STK17B
0	0.859585183601251	0.632	0.342	0	1	CD37
0	1.5374093227619	0.608	0.319	0	1	STK17A
0	2.06970372443197	0.432	0.152	0	1	PARP8
0	1.69463850353115	0.627	0.347	0	1	RARRES3
0	1.15249590838904	0.646	0.367	0	1	RGS1
0	1.84867937284467	0.422	0.15	0	1	DOK2
0	1.17596067180777	0.757	0.488	0	1	NR4A2
0	1.99814420360034	0.369	0.1	0	1	TRBC1
0	1.70654633242485	0.446	0.178	0	1	ACAP1
0	2.41129053931063	0.35	0.082	0	1	LAG3
0	1.29061679628467	0.437	0.172	0	1	SPOCK2
0	2.27561184055412	0.325	0.06	0	1	KLRD1
0	2.1290893879437	0.341	0.079	0	1	CTSW
0	1.28091915914648	0.618	0.358	0	1	CYTIP
0	1.71167905524164	0.408	0.149	0	1	GPR65
0	1.87775250495575	0.354	0.096	0	1	ZAP70
0	1.58528117088717	0.531	0.275	0	1	WIPF1
0	1.4628397800633	0.517	0.264	0	1	AC016831.7
0	2.33798409096241	0.375	0.126	0	1	APOBEC3G
0	1.97409114700674	0.481	0.232	0	1	PIK3R1
0	1.87068223670492	0.345	0.096	0	1	CD6
0	1.96445504274314	0.335	0.087	0	1	IL2RB
0	1.8766448362517	0.363	0.116	0	1	STAT4
0	1.94063747934294	0.474	0.227	0	1	DUSP4
0	1.56631075184859	0.552	0.307	0	1	ADGRE5
0	1.75844032006274	0.452	0.209	0	1	CNOT6L
0	2.0047493983789	0.396	0.156	0	1	LDLRAD4
0	1.47510946592953	0.742	0.51	0	1	YPEL5
0	1.83278387211609	0.357	0.125	0	1	PRKCH
0	1.21198526071961	0.516	0.285	0	1	CD53
0	2.14379488282788	0.33	0.099	0	1	RNF125
0	1.61985136357257	0.359	0.128	0	1	LAT
0	1.8173237794478	0.397	0.167	0	1	EMB
0	1.66008928548678	0.495	0.266	0	1	SLC7A5
0	1.7803199335398	0.353	0.124	0	1	SKAP1
0	1.62751880414181	0.346	0.118	0	1	KLRB1
0	1.84704651589304	0.376	0.153	0	1	AKNA
0	0.636168288382752	0.701	0.479	0	1	S100A4
0	1.26132236058451	0.69	0.469	0	1	COTL1
0	0.928804545093854	0.784	0.566	0	1	CRIP1
0	1.76970922946121	0.339	0.122	0	1	TBC1D10C
0	1.74897969925085	0.346	0.129	0	1	SLA
0	1.75390149053236	0.387	0.171	0	1	CBLB
0	1.08276292366685	0.409	0.196	0	1	ITGB2
0	2.01003966229153	0.264	0.053	0	1	IFNG
0	1.29083798519694	0.486	0.275	0	1	LIMD2
0	1.37055553311985	0.651	0.441	0	1	ELF1
0	1.46264913265134	0.494	0.285	0	1	ARHGEF1
0	1.13606053453587	0.529	0.322	0	1	PDE4B
0	1.77467954489001	0.308	0.101	0	1	CLEC2D
0	1.79098466398378	0.427	0.222	0	1	PDCL3
0	0.946870665517215	0.413	0.208	0	1	IL7R
0	1.16108792359124	0.468	0.264	0	1	RHOH
0	1.17117688801287	0.468	0.264	0	1	TAGAP
0	1.19944568654989	0.517	0.315	0	1	HCLS1
0	1.15997571418762	0.407	0.206	0	1	TNFRSF1B
0	2.32315990821509	0.251	0.051	0	1	LINC01871
0	1.19151824453124	0.642	0.442	0	1	ANXA1
0	2.48000187047097	0.25	0.051	0	1	TRAT1
0	1.42742255895344	0.374	0.175	0	1	APBB1IP
0	1.80298800430065	0.316	0.118	0	1	RASAL3
0	1.4459204637148	0.414	0.216	0	1	ITM2A
0	1.43531776883924	0.577	0.379	0	1	PDCD4
0	1.86690150318475	0.282	0.084	0	1	TRAC
0	2.07380851961498	0.28	0.083	0	1	PDE3B
0	1.90199734904972	0.281	0.086	0	1	CAMK4
0	1.32896137459803	0.401	0.207	0	1	LBH
0	1.70235699439856	0.303	0.109	0	1	HOPX
0	2.02772248331804	0.271	0.078	0	1	PSTPIP1
0	1.31229915486617	0.464	0.271	0	1	SOCS1
0	1.1459513777091	0.447	0.255	0	1	CD48
0	1.28824704906099	0.444	0.253	0	1	CELF2
0	1.25487410659136	0.513	0.322	0	1	STK4
0	0.484653978082819	0.736	0.547	0	1	IFITM2
0	1.28127035701933	0.915	0.727	0	1	SARAF
0	1.29749137110557	0.393	0.205	0	1	ETS1
0	1.62976575658728	0.257	0.069	0	1	TIGIT
0	1.59983122919004	0.363	0.175	0	1	PDE4D
0	1.40640820223512	0.371	0.184	0	1	PTGER4
0	1.60045745050942	0.269	0.085	0	1	ITK
0	1.41907394356205	0.555	0.372	0	1	G3BP2
0	1.01685663309785	0.389	0.213	0	1	LCP2
0	1.6275802134966	0.443	0.27	0	1	JMJD6
0	1.48991772805307	0.929	0.757	0	1	ZFP36L2
0	1.54142592793397	0.377	0.205	0	1	SLC38A1
0	1.57934297919338	0.298	0.128	0	1	PTPN7
0	1.09066765074919	0.425	0.255	0	1	NR4A3
0	1.10078883450314	0.63	0.461	0	1	ISG20
0	1.58647543939008	0.4	0.232	0	1	GABARAPL1
0	1.92301045911882	0.259	0.091	0	1	PPP1R16B
0	1.41206144294185	0.338	0.172	0	1	WAS
0	1.17949002059252	0.496	0.33	0	1	TENT5C
0	1.26257783890069	0.416	0.252	0	1	ARID5A
0	1.37262734254338	0.973	0.809	0	1	BTG1
0	1.07981677899891	0.813	0.65	0	1	TSC22D3
0	1.48514522911106	0.406	0.244	0	1	KIAA1551
0	1.39152517791718	0.422	0.261	0	1	PPP2R5C
0	1.77414029793122	0.265	0.106	0	1	ARAP2
0	1.34464640633777	0.472	0.313	0	1	TSPYL2
0	1.32726269073125	0.284	0.126	0	1	GIMAP7
0	1.18455916049678	0.805	0.649	0	1	SRSF7
0	0.796569968838258	0.54	0.384	0	1	REL
0	1.74133072965128	0.257	0.101	0	1	IKZF3
0	1.16096616392767	0.58	0.425	0	1	MBNL1
0	0.715826782377553	0.496	0.341	0	1	SLC2A3
0	1.36771147683982	0.31	0.156	0	1	IKZF1
0	1.24760299421539	0.579	0.425	0	1	PSMB9
0	1.66272943142704	0.255	0.102	0	1	CYFIP2
0	1.68205263748028	0.265	0.112	0	1	OASL
0	1.42808409186753	0.357	0.207	0	1	RALGAPA1
0	1.35566760020388	0.388	0.239	0	1	CDC42SE2
0	0.992260733612616	0.74	0.591	0	1	LDHA
0	1.00478619357706	0.487	0.338	0	1	MSN
0	1.256347525329	0.466	0.318	0	1	VPS37B
0	1.50387452205852	0.287	0.139	0	1	CRYBG1
0	1.50361005184677	0.262	0.115	0	1	ITGA1
0	0.738388759452992	0.713	0.568	0	1	CD99
0	1.20383053905623	0.398	0.253	0	1	SEPT6
0	0.876963402812523	0.693	0.548	0	1	DDIT4
0	1.19624864991794	0.464	0.32	0	1	NR3C1
0	1.22899900038664	0.519	0.375	0	1	PAXX
0	1.29289534073099	0.397	0.254	0	1	CEMIP2
0	1.63193429466263	0.293	0.15	0	1	TNFSF9
0	0.752192229971743	0.503	0.361	0	1	RPS4Y1
0	0.563522934772534	0.535	0.394	0	1	TUBA1A
0	1.25381914366961	0.481	0.343	0	1	SLC9A3R1
0	1.2467414479418	0.354	0.217	0	1	IL2RG
0	1.16551686089318	0.493	0.357	0	1	GTF2B
0	1.4382999969794	0.322	0.188	0	1	SUN2
0	1.21268481625048	0.292	0.158	0	1	ARL4C
0	0.960713977720643	0.93	0.797	0	1	SH3BGRL3
0	1.38200481422601	0.273	0.14	0	1	PIK3IP1
0	1.22678499370768	0.529	0.398	0	1	PPP1R2
0	1.03516343255391	0.466	0.335	0	1	ZC3HAV1
0	1.06138015941859	0.702	0.571	0	1	DNAJB6
0	1.32083180800921	0.305	0.174	0	1	DOCK8
0	0.959762050632177	0.421	0.291	0	1	GPSM3
0	1.22089425293898	0.341	0.212	0	1	MBP
0	1.27144530246332	0.392	0.264	0	1	HMGB2
0	0.912475574871894	0.916	0.788	0	1	HLA-E
0	0.774965986701525	0.725	0.597	0	1	EZR
0	1.10521693528736	0.459	0.332	0	1	EML4
0	1.45222424735507	0.253	0.126	0	1	BIN2
0	1.18388262941415	0.287	0.16	0	1	RASSF5
0	1.3088454445474	0.294	0.167	0	1	ITGA4
0	0.851419571915619	0.558	0.432	0	1	MYH9
0	1.39829472340699	0.407	0.281	0	1	BUB3
0	1.26537833787246	0.331	0.206	0	1	PFKFB3
0	1.70094946479672	0.343	0.219	0	1	ITGAE
0	1.13613497085566	0.374	0.25	0	1	GLIPR1
0	1.21380489329349	0.476	0.353	0	1	CNN2
0	1.20373910124688	0.287	0.164	0	1	RHOF
0	1.42495326148846	0.347	0.224	0	1	KPNA2
0	1.27914890454185	0.272	0.151	0	1	ANKRD44
0	0.909855452612124	0.667	0.546	0	1	PGK1
0	1.39399144948291	0.516	0.395	0	1	FAM177A1
