epithelial_cluster	n_cells	contamination_median	contamination_p90	fraction_ge_0_10	fraction_ge_0_20	raw_panel_winner	corrected_panel_winner	panel_winner_unchanged	top_marker_count_retention	top_marker_detection_retention	targeted_review_flag	interpretation
1	4206	0.00441771624989134	0.682224365831906	0.202567760342368	0.181169757489301	Chief_epithelial	Chief_epithelial	TRUE	0.969120850922861	1	TRUE	marker_direction_stable_but_high_ambient_tail_review
2	3191	0.010224443445264	0.269289147594966	0.183641491695393	0.12378564713256	Pit_mucous_epithelial	Pit_mucous_epithelial	TRUE	0.961440707709386	1	FALSE	raw_marker_direction_supported
3	2733	0.00198111008090308	0.0555281086610658	0.0684229784120015	0.048664471276985	Pit_mucous_epithelial	Pit_mucous_epithelial	TRUE	0.995096661961334	1	FALSE	raw_marker_direction_supported
4	2180	0.00194311177070056	0.0448523412078072	0.063302752293578	0.0357798165137615	Epithelial	Epithelial	TRUE	0.993794968437522	1	FALSE	raw_marker_direction_supported
5	2017	0.00593724089766925	0.153182033471414	0.126921170054536	0.0862667327714427	Pit_mucous_epithelial	Pit_mucous_epithelial	TRUE	0.980952620141073	1	FALSE	raw_marker_direction_supported
6	1607	0.00319466556010032	0.239084885931716	0.163658991910392	0.117610454262601	Chief_epithelial	Chief_epithelial	TRUE	0.986098267818619	1	FALSE	raw_marker_direction_supported
7	1607	0.00291932656496717	0.410902281933067	0.160547604231487	0.13627878033603	Chief_epithelial	Chief_epithelial	TRUE	0.939304014438402	1	FALSE	raw_marker_direction_supported
8	1437	0.00198260195146282	0.0498051923606192	0.0633263743910926	0.0396659707724426	Pit_mucous_epithelial	Pit_mucous_epithelial	TRUE	0.993318237927305	1	FALSE	raw_marker_direction_supported
9	1396	0.00448856864971225	0.250940617120969	0.160458452722063	0.114613180515759	Enteroendocrine_epithelial	Enteroendocrine_epithelial	TRUE	0.990840790606484	1	FALSE	raw_marker_direction_supported
10	1190	0.00488886716253894	0.373762637200669	0.18655462184874	0.140336134453782	Chief_epithelial	Chief_epithelial	TRUE	0.940334397312783	1	FALSE	raw_marker_direction_supported
11	1075	0.00252506096433009	0.11915611838001	0.109767441860465	0.0762790697674419	Chief_epithelial	Chief_epithelial	TRUE	0.983804023098544	1	FALSE	raw_marker_direction_supported
12	824	0.00752165968625538	0.216387936881794	0.138349514563107	0.105582524271845	Chief_epithelial	Chief_epithelial	TRUE	0.964121413728386	1	FALSE	raw_marker_direction_supported
13	814	0.276754770812877	0.90921977535915	0.685503685503686	0.57002457002457	Chief_epithelial	Chief_epithelial	TRUE	0.55992014992271	1	TRUE	review_raw_corrected_before_subtype_approval
14	709	0.00484639350722146	0.291339403449252	0.169252468265162	0.126939351198872	Chief_epithelial	Chief_epithelial	TRUE	0.924772328821315	1	FALSE	raw_marker_direction_supported
15	701	0.00319763854505418	0.117991611677671	0.112696148359486	0.0770328102710414	Pit_mucous_epithelial	Pit_mucous_epithelial	TRUE	0.984768491677866	1	FALSE	raw_marker_direction_supported
16	371	0.489958102275319	0.958868312770292	0.789757412398922	0.722371967654987	Chief_epithelial	Chief_epithelial	TRUE	0.462926599663643	1	TRUE	review_raw_corrected_before_subtype_approval
17	298	0.00487193781548244	0.0580511478559847	0.0838926174496644	0.0604026845637584	Chief_epithelial	Chief_epithelial	TRUE	0.977465325089458	1	FALSE	raw_marker_direction_supported
18	277	0.00498827996654274	0.0587367121894663	0.075812274368231	0.0433212996389892	Pit_mucous_epithelial	Pit_mucous_epithelial	TRUE	0.987704148969204	1	FALSE	raw_marker_direction_supported
19	188	0.0069356349023598	0.321974490354193	0.207446808510638	0.148936170212766	Chief_epithelial	Chief_epithelial	TRUE	0.955112558343238	1	FALSE	raw_marker_direction_supported
