sample_id	epithelial_cluster	n_cells	contamination_median	contamination_p90	fraction_ge_0_10	fraction_ge_0_20
sample1	2	169	0.00316569791389997	0.0258538378834153	0.029585798816568	0.00591715976331361
sample1	1	107	0.00129945886802582	0.00863849345713635	0.00934579439252336	0
sample1	5	88	0.00309042615888626	0.0164535728716864	0	0
sample1	9	84	0.000603495023471013	0.232317629751029	0.154761904761905	0.119047619047619
sample1	12	36	0.00610015158724849	0.0284066299601335	0	0
sample1	10	33	0.00155824396778051	0.241823764362724	0.212121212121212	0.121212121212121
sample1	11	17	0.0191565354584601	0.048305568150565	0.0588235294117647	0.0588235294117647
sample1	3	83	0.000419804484027269	0.00616562652859056	0	0
sample1	4	60	0.00301292724239175	0.0127854205346839	0	0
sample1	15	23	0.00149186782284984	0.00871398305104107	0	0
sample1	8	21	0.00155497899084183	0.0183417860854192	0	0
sample1	6	33	0.000548798060618824	0.00989758121827819	0	0
sample1	7	18	0.00056541069710289	0.0850312575116525	0.111111111111111	0.111111111111111
sample1	14	22	0.00143142671560215	0.021874801568214	0	0
sample1	18	6	0.000722101946619993	0.00386543852289174	0	0
sample1	17	1	0.0130833669371455	0.0130833669371455	0	0
sample1	13	6	0.104649266210883	0.259294344161253	0.5	0.333333333333333
sample1	19	2	0.00301345384390371	0.00535640969771325	0	0
sample1	16	3	0.0133193380734037	0.478606504289216	0.333333333333333	0.333333333333333
sample10	6	17	7.84523831467287e-05	0.00423997643444648	0	0
sample10	5	30	0.0013273232304674	0.00752473778439435	0.0333333333333333	0.0333333333333333
sample10	3	50	0.000263653740796824	0.00201650698067314	0	0
sample10	1	63	0.000496483133536367	0.00420083889947932	0.0476190476190476	0.0476190476190476
sample10	4	39	0.000305826138783547	0.00829855397796699	0.0512820512820513	0.0256410256410256
sample10	13	8	0.0773474493000503	0.301359781603429	0.375	0.25
sample10	12	13	0.000607569692819217	0.0015773411201429	0.0769230769230769	0.0769230769230769
sample10	9	38	0.000315118335686799	0.00279504571113232	0	0
sample10	14	7	2.73171598456544e-05	0.39407909250457	0.142857142857143	0.142857142857143
sample10	2	25	0.00032129234230604	0.0298780863519767	0.04	0.04
sample10	15	18	0.000665243297318372	0.00434917428365803	0	0
sample10	10	12	0.00045347687355695	0.0017061220419795	0.0833333333333333	0.0833333333333333
sample10	8	10	0.000286823229729581	0.00221476776094349	0	0
sample10	11	15	0.000141107084059139	0.0585049115093559	0.0666666666666667	0.0666666666666667
sample10	16	9	0.592355129991233	0.998024400469267	0.555555555555556	0.555555555555556
sample10	7	8	0.000121000313182478	0.00154555843787053	0	0
sample10	17	1	0.000230352308497882	0.000230352308497882	0	0
sample10	19	3	0.00161935916024525	0.00206979206475023	0	0
sample10	18	3	0.000306405343452113	0.000545139956753999	0	0
sample11	6	6	0.00122224894953426	0.00651145637433566	0	0
sample11	1	10	0.00171128894251908	0.00549596426784896	0	0
sample11	11	5	0.00947815526937241	0.0144561780572873	0	0
sample11	8	3	0.000337453370818169	0.00295770194052434	0	0
sample11	13	5	0.599038300082315	0.607201483063662	0.8	0.6
sample11	3	7	0.00291201836158843	0.0224646028853616	0	0
sample11	2	7	0.0954666881312727	0.268885350994318	0.428571428571429	0.285714285714286
sample11	4	6	0.00445402321744565	0.0179022766787876	0	0
sample11	7	3	0.00186726709651834	0.00314109500806701	0	0
sample11	10	2	0.441712946106915	0.741467473947767	0.5	0.5
sample11	5	2	0.000146564908682728	0.000227282407223226	0	0
sample11	12	2	0.00139349059674264	0.0015689642265253	0	0
sample11	16	1	0.572719123154449	0.572719123154449	1	1
sample12	4	7	0.00180482887056959	0.2100080745147	0.142857142857143	0.142857142857143
sample12	10	1	9.30365575603394e-05	9.30365575603394e-05	0	0
sample12	1	9	0.00133421215256072	0.00838089037054465	0	0
sample12	13	3	0.0643932910279125	0.257151572546374	0.333333333333333	0.333333333333333
sample12	15	2	0.000703883056301826	0.000895719523421075	0	0
sample12	3	5	0.00175508478327585	0.00964819526770407	0	0
sample12	12	2	0.00217986606694024	0.00302259336956117	0	0
sample12	8	4	0.0016775970881445	0.00272864340395541	0	0
sample12	7	3	0.000698654978049663	0.0437832468963222	0	0
sample12	5	2	0.00351060960456132	0.00627216700477434	0	0
sample12	6	3	0.0159634490709219	0.609575805039592	0.333333333333333	0.333333333333333
sample12	2	3	0.000824784244224534	0.245193411741794	0.333333333333333	0.333333333333333
sample12	16	2	0.129727932395061	0.222039821197347	0.5	0.5
sample12	11	1	0.000483096946198742	0.000483096946198742	0	0
sample13	4	40	0.00778536357128686	0.0519944585118819	0.05	0.025
sample13	9	11	0.490152050278089	0.799098728314528	0.636363636363636	0.636363636363636
sample13	2	45	0.00815650100715792	0.0768557279310094	0.0888888888888889	0.0222222222222222
sample13	10	26	0.00916893554690771	0.652856453394465	0.269230769230769	0.269230769230769
sample13	8	34	0.0272411551226706	0.071007550529119	0.0882352941176471	0.0294117647058824
sample13	3	63	0.00204910990604121	0.0273504113315262	0	0
sample13	13	11	0.463651250863917	0.783893261532908	0.818181818181818	0.727272727272727
sample13	5	55	0.000857207419463035	0.00759582499071302	0.0363636363636364	0
sample13	11	27	0.00524688273276514	0.272671489198712	0.111111111111111	0.111111111111111
sample13	1	67	0.00137592152272105	0.018627395769093	0.0149253731343284	0
sample13	15	13	0.00150546900676366	0.00341113778381171	0.0769230769230769	0.0769230769230769
sample13	16	2	0.0332286501608286	0.0584777325018447	0	0
sample13	14	11	0.00731089150611223	0.0747604387556203	0.0909090909090909	0.0909090909090909
sample13	7	45	0.00445175269693723	0.848537598784618	0.222222222222222	0.2
sample13	12	19	0.00370347350704121	0.00921794329469482	0	0
sample13	6	8	0.00281695233506879	0.0166492392744125	0	0
sample13	18	5	0.000277797918461351	0.0175443126502968	0	0
sample13	19	3	0.148036721598389	0.240836402633455	0.666666666666667	0.333333333333333
sample14	1	212	0.00806987098596883	0.041423153214204	0.0566037735849057	0.0235849056603774
sample14	5	111	0.0106913481670616	0.154049949036246	0.144144144144144	0.0720720720720721
sample14	7	49	0.00857303020811191	0.104741054812062	0.122448979591837	0.0612244897959184
sample14	2	187	0.0456539071287656	0.24479116158602	0.310160427807487	0.144385026737968
sample14	6	83	0.00713799027676411	0.0561761832813172	0.0602409638554217	0.036144578313253
sample14	18	12	0.00282634093243383	0.0188695133073451	0	0
sample14	3	114	0.00494036585890515	0.0333186748930455	0.0263157894736842	0.0175438596491228
sample14	4	86	0.0089374530799596	0.0603084366072614	0.0465116279069768	0.0232558139534884
sample14	19	9	0.00605079263223544	0.0127724229195254	0	0
sample14	11	30	0.00271902971373916	0.0453509857524389	0.0333333333333333	0
sample14	8	63	0.00247930034668342	0.0345091739595526	0.0317460317460317	0.0158730158730159
sample14	12	63	0.015382919623229	0.320080952255538	0.253968253968254	0.158730158730159
sample14	13	37	0.466882692208511	0.888928170611509	0.918918918918919	0.72972972972973
sample14	14	27	0.0398142782993408	0.49804318075525	0.185185185185185	0.148148148148148
sample14	10	30	0.0427585731158751	0.309084174486343	0.366666666666667	0.233333333333333
sample14	15	22	0.0120374479621474	0.0632475305908223	0.0909090909090909	0.0454545454545455
sample14	9	15	0.00292418328484954	0.0795146000384894	0.133333333333333	0.0666666666666667
sample14	16	5	0.496509051344503	0.752047910959016	1	0.8
sample14	17	1	0.0635884223242203	0.0635884223242203	0	0
sample15	2	90	0.0372905750119149	0.354582753867581	0.277777777777778	0.133333333333333
