cluster	cell_count	sample_count	n_patients	dominant_sample_id	dominant_sample_fraction	dominant_patient_id	dominant_patient_fraction	Normal_Gastric_count	Normal_Gastric_fraction	Primary_Tumor_count	Primary_Tumor_fraction	Peritoneal_Metastasis_count	Peritoneal_Metastasis_fraction	Normal_Peritoneum_count	Normal_Peritoneum_fraction
1	4206	39	29	sample35	0.103423680456491	NGCII538	0.135282929148835	1426	0.339039467427485	2673	0.635520684736091	107	0.0254398478364242	0	0
2	3191	39	29	sample33	0.11062362895644	NGCII540	0.11062362895644	906	0.283923534942024	2246	0.703854591037293	39	0.0122218740206832	0	0
3	2733	39	29	sample33	0.0746432491767289	NGCII540	0.0746432491767289	746	0.27296011708745	1927	0.705085986095865	60	0.021953896816685	0	0
4	2180	39	29	sample29	0.109174311926606	NGCII522	0.109174311926606	417	0.191284403669725	1735	0.795871559633028	28	0.0128440366972477	0	0
5	2017	39	29	sample4	0.0723847297967278	NGCII538	0.108081308874566	615	0.304908279623203	1377	0.682697074863659	25	0.0123946455131383	0	0
6	1607	39	29	sample35	0.140012445550716	NGCII538	0.153080273802116	726	0.451773490976976	830	0.516490354698195	51	0.0317361543248289	0	0
7	1607	39	29	sample34	0.0983198506533914	NGCII541	0.0983198506533914	545	0.339141257000622	1017	0.632856253889235	45	0.0280024891101431	0	0
8	1437	38	29	sample33	0.070285316631872	NGCII538	0.093249826026444	440	0.306193458594294	957	0.665970772442589	40	0.0278357689631176	0	0
9	1396	35	26	sample25	0.151862464183381	NGCII512	0.158309455587393	735	0.526504297994269	646	0.462750716332378	15	0.0107449856733524	0	0
10	1190	39	29	sample23	0.105882352941176	NGCII538	0.133613445378151	497	0.417647058823529	651	0.547058823529412	42	0.0352941176470588	0	0
11	1075	39	29	sample34	0.108837209302326	NGCII538	0.117209302325581	368	0.342325581395349	687	0.639069767441861	20	0.0186046511627907	0	0
12	824	39	29	sample33	0.116504854368932	NGCII540	0.116504854368932	212	0.257281553398058	598	0.725728155339806	14	0.0169902912621359	0	0
13	814	39	29	sample15	0.138820638820639	NGCII538	0.14004914004914	191	0.234643734643735	594	0.72972972972973	29	0.0356265356265356	0	0
14	709	37	28	sample34	0.0902679830747532	NGCII520	0.0902679830747532	248	0.349788434414669	436	0.614950634696756	25	0.0352609308885755	0	0
15	701	37	28	sample4	0.0841654778887304	NGCII538	0.0970042796005706	223	0.31811697574893	471	0.671897289586305	7	0.00998573466476462	0	0
16	371	37	28	sample35	0.16711590296496	NGCII538	0.202156334231806	100	0.269541778975741	265	0.714285714285714	6	0.0161725067385445	0	0
17	298	24	20	sample25	0.258389261744966	NGCII512	0.278523489932886	238	0.798657718120805	59	0.197986577181208	1	0.00335570469798658	0	0
18	277	35	27	sample33	0.0902527075812274	NGCII538	0.0938628158844765	62	0.223826714801444	197	0.711191335740072	18	0.0649819494584838	0	0
19	188	35	28	sample16	0.0957446808510638	NGCII499	0.0957446808510638	47	0.25	133	0.707446808510638	8	0.0425531914893617	0	0
