epithelial_cluster	n_cells	scDblFinder_score_median	scDblFinder_score_p90	retained_scDblFinder_doublet_fraction	DoubletFinder_evaluable_cells	DoubletFinder_doublet_fraction
1	4206	0.104124341839294	0.246828307097206	0	4206	0.0254398478364242
2	3191	0.0497630866643276	0.198153833278888	0	3191	0.0153556878721404
3	2733	0.13283646229956	0.264328952988913	0	2733	0.0607391145261617
4	2180	0.126361974929725	0.261960224238951	0	2180	0.0655963302752294
5	2017	0.0342708692415183	0.158072143522712	0	2017	0.0133862171541894
6	1607	0.121956404631058	0.268021309286045	0	1607	0.0367143746110765
7	1607	0.138482473486266	0.266983272137563	0	1607	0.0541381456129434
8	1437	0.169826588463039	0.296887721652337	0	1437	0.0668058455114822
9	1396	0.167971863831446	0.306072365997264	0	1396	0.0522922636103152
10	1190	0.131411604264832	0.257775236601497	0	1190	0.0487394957983193
11	1075	0.162567967383406	0.295444512245649	0	1075	0.067906976744186
12	824	0.0961132110318619	0.209461102642635	0	824	0.0327669902912621
13	814	0.203144061440333	0.361873755221867	0	814	0.105651105651106
14	709	0.168532932860078	0.305515069938323	0	709	0.0564174894217207
15	701	0.0730971385452945	0.222640008501511	0	701	0.0228245363766049
16	371	0.110485301135655	0.330307964600159	0	371	0.0592991913746631
17	298	0.0867030810575332	0.239818834039398	0	298	0.00671140939597315
18	277	0.070985267100674	0.207386107763931	0	277	0.0144404332129964
19	188	0.177980748235756	0.310564064066416	0	188	0.0691489361702128
