p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	3.51435476008722	0.427	0.1	0	2	HIST1H2AM
0	3.12887381437655	0.479	0.18	0	2	CSKMT
0	3.25345540485045	0.427	0.146	0	2	PIK3R3
0	2.99219932482388	0.383	0.107	0	2	Z93241.1
0	3.40508056730942	0.421	0.192	0	2	TNFRSF10D
0	3.63137867723949	0.272	0.047	0	2	HIST1H2BB
0	3.38033250124178	0.309	0.085	0	2	HIST1H2AG
0	1.8260175677625	0.676	0.509	0	2	NFKBIZ
0	1.38696332690482	0.821	0.659	0	2	PPP1R15A
0	1.862802368558	0.965	0.831	0	2	NEAT1
0	1.26973488147421	0.857	0.732	0	2	HSPA1B
0	2.2425227056603	0.886	0.767	0	2	SQSTM1
0	1.1480499454897	0.964	0.849	0	2	JUN
0	1.91058380609171	0.878	0.767	0	2	ELF3
0	1.60053482430425	0.769	0.685	0	2	ZFP36L2
0	1.62336586632293	0.769	0.694	0	2	LMNA
0	1.6161265759754	1	0.957	0	2	MALAT1
1.61056472540209e-300	1.76636780548005	0.688	0.599	4.10758427566548e-296	2	BRD2
4.12576830200275e-299	2.96174081023734	0.38	0.15	1.05223594774278e-294	2	AC023157.3
2.46679866660104e-292	2.81765427224106	0.489	0.275	6.2913233192993e-288	2	PLK3
2.03162364135485e-277	2.04757792290771	0.611	0.449	5.18145293491142e-273	2	SNHG12
1.32554877322243e-275	1.04319248849457	0.872	0.8	3.38067959122648e-271	2	IER2
3.41047219188789e-262	2.28560672790425	0.63	0.504	8.69806827819089e-258	2	HIST1H4C
2.16442487901286e-258	2.65066723200305	0.533	0.361	5.5201492114344e-254	2	POLR2A
2.52042044313065e-249	0.865374008205378	0.851	0.692	6.42808029816041e-245	2	FOSB
1.8367307136105e-248	2.28284988608979	0.533	0.353	4.68439801199221e-244	2	HEXIM1
3.87770145959301e-245	1.27314063109623	0.767	0.683	9.88968980254601e-241	2	IER3
1.0716927371064e-244	2.98220828241821	0.254	0.078	2.73324515671616e-240	2	AC087623.3
3.77990607288019e-238	1.89523770673106	0.638	0.555	9.64027244827363e-234	2	KLF5
2.65629029491636e-236	1.80910189260995	0.65	0.535	6.77460276815469e-232	2	AHNAK
1.14788029263669e-234	0.687730720832279	0.946	0.934	2.92755389834062e-230	2	UBC
2.06915819951312e-233	1.85150795245983	0.616	0.507	5.27718107203825e-229	2	RSRP1
8.22262292720281e-230	2.83356655362679	0.467	0.291	2.0970977513538e-225	2	MED29
2.46190264438092e-229	1.55847725833206	0.673	0.637	6.27883650422909e-225	2	SON
4.41831428858731e-229	0.852532386404046	0.85	0.775	1.12684687616131e-224	2	JUNB
7.77894591341259e-228	1.23989503094567	0.697	0.543	1.98394236575675e-223	2	GADD45B
3.77616153036346e-226	1.32755157109285	0.725	0.688	9.63072236703898e-222	2	BTG1
8.12528352765956e-226	2.6024578986471	0.487	0.312	2.0722723108943e-221	2	RND3
1.09244026880685e-224	0.991936966831289	0.852	0.846	2.78615966156498e-220	2	SAT1
1.18868626293419e-221	1.60932752286827	0.662	0.606	3.03162544498737e-217	2	SRSF7
2.92795842107311e-218	2.28470987559998	0.588	0.463	7.46746515710487e-214	2	SOX4
2.80969378951267e-198	2.33598918279726	0.475	0.313	7.1658430407731e-194	2	PLK2
3.43030417462548e-196	3.32676281628283	0.27	0.106	8.74864776696482e-192	2	TAF4B
3.17700737815419e-193	2.05616837004299	0.489	0.325	8.10263961724444e-189	2	MICALL2
2.34759763280674e-191	1.56115640511772	0.58	0.444	5.9873130027103e-187	2	CYP3A5
8.24455404463405e-191	1.88245784497961	0.575	0.446	2.10269106354347e-186	2	PLEC
1.34900068923197e-190	2.65157740921348	0.363	0.181	3.44049135781721e-186	2	MAFB
2.24182281561703e-190	2.28787347130193	0.453	0.286	5.71754490894968e-186	2	AC015912.3
1.41592537305285e-187	1.96867914560349	0.557	0.455	3.611176071434e-183	2	IFRD1
3.06610350017511e-187	1.19880351997578	0.671	0.54	7.81979036684661e-183	2	NR4A1
1.27855150092843e-183	2.75027143429406	0.268	0.106	3.26081774796787e-179	2	HIST1H2BG
1.99325802764376e-179	2.89807859123086	0.254	0.098	5.08360527370264e-175	2	AL135925.1
1.61584305071361e-173	0.955608653225625	0.737	0.672	4.12104611653999e-169	2	NFKBIA
7.88022993433704e-171	1.96755588917127	0.525	0.386	2.00977384245332e-166	2	KCNQ1OT1
7.14253896829199e-168	1.49734362869884	0.615	0.518	1.82163313847319e-163	2	ID2
1.81016936441759e-164	0.745415462383479	0.755	0.63	4.61665594701062e-160	2	EGR1
7.81793494999107e-162	1.29409189553972	0.655	0.657	1.99388612964572e-157	2	ACADVL
6.58805979059253e-155	2.0272330384162	0.481	0.35	1.68021876899272e-150	2	PMAIP1
1.73775621083171e-153	2.61592621867326	0.323	0.169	4.43197344010519e-149	2	HSPA2
4.28043382517215e-143	1.60278588180643	0.566	0.512	1.0916818427719e-138	2	SLC38A2
5.71802790584378e-143	1.1703200380464	0.665	0.672	1.4583258371064e-138	2	RRBP1
