epithelial_cluster	source_all_cell_cluster	cell_count	fraction_within_epithelial_cluster
1	16	644	0.153114598193058
10	16	237	0.199159663865546
11	16	846	0.786976744186046
12	16	47	0.0570388349514563
13	16	84	0.103194103194103
14	16	161	0.227080394922426
15	16	7	0.00998573466476462
16	16	10	0.0269541778975741
17	16	3	0.0100671140939597
18	16	20	0.072202166064982
19	16	80	0.425531914893617
2	16	123	0.0385459103729239
3	16	96	0.0351262349066959
4	16	229	0.105045871559633
5	16	40	0.0198314328210213
6	16	39	0.0242688238954574
7	16	611	0.380211574362166
8	16	127	0.0883785664578984
9	16	38	0.0272206303724928
1	19	197	0.0468378506894912
10	19	20	0.0168067226890756
11	19	8	0.00744186046511628
12	19	27	0.0327669902912621
13	19	163	0.2002457002457
14	19	34	0.0479548660084626
15	19	3	0.00427960057061341
16	19	14	0.0377358490566038
17	19	3	0.0100671140939597
18	19	8	0.0288808664259928
19	19	6	0.0319148936170213
2	19	36	0.011281729865246
3	19	35	0.0128064398097329
4	19	115	0.0527522935779817
5	19	17	0.00842835894893406
6	19	1356	0.84380833851898
7	19	33	0.0205351586807716
8	19	23	0.0160055671537926
9	19	19	0.0136103151862464
1	21	76	0.0180694246314788
10	21	85	0.0714285714285714
11	21	4	0.00372093023255814
12	21	4	0.00485436893203884
13	21	37	0.0454545454545455
14	21	27	0.0380818053596615
15	21	7	0.00998573466476462
16	21	5	0.0134770889487871
17	21	7	0.023489932885906
18	21	1	0.0036101083032491
19	21	3	0.0159574468085106
2	21	20	0.00626762770291445
3	21	5	0.00182949140139041
4	21	9	0.00412844036697248
5	21	11	0.00545364402578086
6	21	25	0.015556938394524
7	21	49	0.030491599253267
8	21	2	0.00139178844815588
9	21	1065	0.762893982808023
1	3	3264	0.776034236804565
10	3	265	0.222689075630252
11	3	199	0.185116279069767
12	3	589	0.714805825242718
13	3	316	0.388206388206388
14	3	324	0.456981664315938
15	3	551	0.78601997146933
16	3	50	0.134770889487871
17	3	280	0.939597315436242
18	3	229	0.826714801444043
19	3	98	0.521276595744681
2	3	379	0.118771544970229
3	3	2568	0.939626783754116
4	3	1811	0.830733944954129
5	3	485	0.240456122954884
6	3	185	0.115121344119477
7	3	847	0.527069072806472
8	3	1234	0.858733472512178
9	3	142	0.101719197707736
1	9	25	0.00594388968140751
10	9	583	0.489915966386555
11	9	18	0.0167441860465116
12	9	157	0.190533980582524
13	9	214	0.262899262899263
14	9	163	0.229901269393512
15	9	133	0.189728958630528
16	9	292	0.787061994609164
17	9	5	0.0167785234899329
18	9	19	0.0685920577617329
19	9	1	0.00531914893617021
2	9	2633	0.825133187088687
3	9	29	0.0106110501280644
4	9	16	0.0073394495412844
5	9	1464	0.72583044124938
6	9	2	0.00124455507156192
7	9	67	0.0416925948973242
8	9	51	0.035490605427975
9	9	132	0.0945558739255014
