source_all_cell_cluster	source_cell_type_major	source_annotation_confidence	total_cells	initial_eligible_epithelial_cells	included_epithelial_cells	technical_excluded_cells	inclusion_rule
1	T/NK	high	18793	0	0	0	cell_type_major=Epithelial_and_confidence_high_or_medium;sample_SCT_usable_features>=500_with_min_cells_per_gene=5
10	T/NK	high	5821	0	0	0	cell_type_major=Epithelial_and_confidence_high_or_medium;sample_SCT_usable_features>=500_with_min_cells_per_gene=5
11	Myeloid	high	5790	0	0	0	cell_type_major=Epithelial_and_confidence_high_or_medium;sample_SCT_usable_features>=500_with_min_cells_per_gene=5
12	B/Plasma	high	5088	0	0	0	cell_type_major=Epithelial_and_confidence_high_or_medium;sample_SCT_usable_features>=500_with_min_cells_per_gene=5
13	Myeloid	high	4841	0	0	0	cell_type_major=Epithelial_and_confidence_high_or_medium;sample_SCT_usable_features>=500_with_min_cells_per_gene=5
14	B/Plasma	high	4598	0	0	0	cell_type_major=Epithelial_and_confidence_high_or_medium;sample_SCT_usable_features>=500_with_min_cells_per_gene=5
15	Endothelial/Pericyte	high	3710	0	0	0	cell_type_major=Epithelial_and_confidence_high_or_medium;sample_SCT_usable_features>=500_with_min_cells_per_gene=5
16	Epithelial	medium	3443	3443	3442	1	cell_type_major=Epithelial_and_confidence_high_or_medium;sample_SCT_usable_features>=500_with_min_cells_per_gene=5
17	Mast	high	2703	0	0	0	cell_type_major=Epithelial_and_confidence_high_or_medium;sample_SCT_usable_features>=500_with_min_cells_per_gene=5
18	B/Plasma	medium	2369	0	0	0	cell_type_major=Epithelial_and_confidence_high_or_medium;sample_SCT_usable_features>=500_with_min_cells_per_gene=5
19	Epithelial	medium	2117	2117	2117	0	cell_type_major=Epithelial_and_confidence_high_or_medium;sample_SCT_usable_features>=500_with_min_cells_per_gene=5
2	T/NK	medium	17539	0	0	0	cell_type_major=Epithelial_and_confidence_high_or_medium;sample_SCT_usable_features>=500_with_min_cells_per_gene=5
20	Myeloid	high	1754	0	0	0	cell_type_major=Epithelial_and_confidence_high_or_medium;sample_SCT_usable_features>=500_with_min_cells_per_gene=5
21	Epithelial	high	1442	1442	1442	0	cell_type_major=Epithelial_and_confidence_high_or_medium;sample_SCT_usable_features>=500_with_min_cells_per_gene=5
22	Mesothelial	medium	1273	0	0	0	cell_type_major=Epithelial_and_confidence_high_or_medium;sample_SCT_usable_features>=500_with_min_cells_per_gene=5
23	T/NK	medium	628	0	0	0	cell_type_major=Epithelial_and_confidence_high_or_medium;sample_SCT_usable_features>=500_with_min_cells_per_gene=5
24	T/NK	medium	475	0	0	0	cell_type_major=Epithelial_and_confidence_high_or_medium;sample_SCT_usable_features>=500_with_min_cells_per_gene=5
3	Epithelial	medium	13819	13819	13816	3	cell_type_major=Epithelial_and_confidence_high_or_medium;sample_SCT_usable_features>=500_with_min_cells_per_gene=5
4	B/Plasma	high	10994	0	0	0	cell_type_major=Epithelial_and_confidence_high_or_medium;sample_SCT_usable_features>=500_with_min_cells_per_gene=5
5	Fibroblast/CAF	high	8946	0	0	0	cell_type_major=Epithelial_and_confidence_high_or_medium;sample_SCT_usable_features>=500_with_min_cells_per_gene=5
6	Endothelial/Pericyte	high	7482	0	0	0	cell_type_major=Epithelial_and_confidence_high_or_medium;sample_SCT_usable_features>=500_with_min_cells_per_gene=5
7	T/NK	medium	6808	0	0	0	cell_type_major=Epithelial_and_confidence_high_or_medium;sample_SCT_usable_features>=500_with_min_cells_per_gene=5
8	B/Plasma	high	6210	0	0	0	cell_type_major=Epithelial_and_confidence_high_or_medium;sample_SCT_usable_features>=500_with_min_cells_per_gene=5
9	Epithelial	high	6007	6007	6004	3	cell_type_major=Epithelial_and_confidence_high_or_medium;sample_SCT_usable_features>=500_with_min_cells_per_gene=5
