epithelial_cluster	panel	raw_panel_counts	corrected_panel_counts	raw_total_counts	corrected_total_counts	raw_panel_fraction	corrected_panel_fraction	panel_count_retention
1	Epithelial	269944	268082.033226417	39409148	36850580.266642	0.00684978015764259	0.00727483885699058	0.993102396150377
1	Intestinal_like_epithelial	122980	122709.549319042	39409148	36850580.266642	0.00312059524859558	0.00332992176598428	0.997800856391625
1	Chief_epithelial	3085207	2208266.44606188	39409148	36850580.266642	0.0782865694026169	0.0599248758115448	0.715759573364732
1	Pit_mucous_epithelial	385675	383812.71461077	39409148	36850580.266642	0.00978643334283705	0.0104153777724419	0.995171360888753
1	Enteroendocrine_epithelial	3599	3082.71746469278	39409148	36850580.266642	9.13239738144047e-05	8.36545162216437e-05	0.856548336952705
1	Parietal_epithelial	1803	1599.67465482252	39409148	36850580.266642	4.57507987739294e-05	4.34097548328317e-05	0.8872294258583
1	Mucous_neck_epithelial	296309	284582.589326978	39409148	36850580.266642	0.00751878726228743	0.00772260809104786	0.96042506075407
2	Epithelial	52757	51598.7654039312	7409465	6846901.10052283	0.00712021718167236	0.00753607575841734	0.978045859391761
2	Intestinal_like_epithelial	5994	5864.85082949694	7409465	6846901.10052283	0.000808965289666663	0.000856570110096829	0.978453591841331
2	Chief_epithelial	93580	60961.6179852738	7409465	6846901.10052283	0.012629791759594	0.00890353418141512	0.651438533717395
2	Pit_mucous_epithelial	135138	132992.009760616	7409465	6846901.10052283	0.0182385637829452	0.0194236790933727	0.984120008884367
2	Enteroendocrine_epithelial	679	355.243549169116	7409465	6846901.10052283	9.16395448254361e-05	5.18838440856096e-05	0.523186375801349
2	Parietal_epithelial	671	575.50551965423	7409465	6846901.10052283	9.05598447391276e-05	8.40534296033989e-05	0.857683337785738
2	Mucous_neck_epithelial	24577	23135.1717318658	7409465	6846901.10052283	0.00331697362765058	0.00337892593922514	0.941334244694869
3	Mucous_neck_epithelial	115160	115023.174456376	32492382	32039164.1641188	0.00354421537946956	0.00359008037373187	0.998811865720531
3	Epithelial	520018	518634.277349096	32492382	32039164.1641188	0.0160043052553057	0.0161875095958316	0.997339087010635
3	Chief_epithelial	102062	96181.3492907747	32492382	32039164.1641188	0.00314110550589981	0.00300199308565265	0.942381584632622
3	Pit_mucous_epithelial	902554	902082.184664985	32492382	32039164.1641188	0.0277774033310331	0.0281556091801934	0.999477244203655
3	Intestinal_like_epithelial	107944	107555.232589722	32492382	32039164.1641188	0.00332213255402451	0.00335699246206224	0.996398434278158
3	Enteroendocrine_epithelial	917	874.465165482093	32492382	32039164.1641188	2.822199985215e-05	2.72936322871188e-05	0.953615229533362
3	Parietal_epithelial	161	143.947388192275	32492382	32039164.1641188	4.95500760762938e-06	4.49285716240639e-06	0.89408315647376
4	Intestinal_like_epithelial	60486	60400.9198604866	33251700	32935026.4887529	0.00181903481626503	0.00183394174226983	0.998593391206007
4	Enteroendocrine_epithelial	545	531.801985638338	33251700	32935026.4887529	1.63901394515168e-05	1.61470034287036e-05	0.975783459886859
4	Parietal_epithelial	177	170.312290453617	33251700	32935026.4887529	5.32303611544673e-06	5.17115996587335e-06	0.962216330246424
4	Epithelial	258289	257594.13484875	33251700	32935026.4887529	0.00776769308035379	0.00782128215189737	0.997309737730798
4	Pit_mucous_epithelial	219761	218014.176270605	33251700	32935026.4887529	0.00660901547890785	0.00661952333164375	0.992051256913668
4	Mucous_neck_epithelial	89188	88689.828499537	33251700	32935026.4887529	0.00268220872917776	0.0026928725419372	0.994414366277269
4	Chief_epithelial	153144	147646.220188167	33251700	32935026.4887529	0.00460559911222584	0.0044829543476635	0.964100586298955
5	Epithelial	28625	28224.3117169539	4349995	4090256.82511297	0.0065804673338705	0.00690037641246997	0.98600215605079
5	Pit_mucous_epithelial	159858	158748.175830987	4349995	4090256.82511297	0.0367490077574802	0.0388112978276375	0.993057437419375
5	Mucous_neck_epithelial	20405	19783.4693000598	4349995	4090256.82511297	0.00469080998943677	0.00483673034382466	0.96954027444547
5	Chief_epithelial	64895	33408.432842608	4349995	4090256.82511297	0.0149184079521931	0.00816780810375771	0.5148075020049
5	Enteroendocrine_epithelial	933	843.651741193655	4349995	4090256.82511297	0.000214483005152879	0.000206258867661777	0.904235521107883
5	Parietal_epithelial	554	492.810085317269	4349995	4090256.82511297	0.000127356468225826	0.000120483897806016	0.889548890464385
5	Intestinal_like_epithelial	4212	4137.17160914115	4349995	4090256.82511297	0.000968276975031006	0.00101146988710834	0.982234475104737
