sample_id	group_analysis	initial_epithelial_cells	sct_min_cells_per_gene	sct_usable_features	minimum_sct_usable_features_required	include_in_epithelial_recluster	exclusion_reason
sample1	Normal_Gastric	812	5	14541	500	TRUE	
sample10	Primary_Tumor	369	5	13096	500	TRUE	
sample11	Normal_Gastric	59	5	8611	500	TRUE	
sample12	Primary_Tumor	47	5	7936	500	TRUE	
sample13	Primary_Tumor	485	5	10691	500	TRUE	
sample14	Primary_Tumor	1156	5	14722	500	TRUE	
sample15	Primary_Tumor	1415	5	15950	500	TRUE	
sample16	Primary_Tumor	355	5	12133	500	TRUE	
sample17	Primary_Tumor	705	5	14285	500	TRUE	
sample18	Primary_Tumor	1260	5	14269	500	TRUE	
sample19	Peritoneal_Metastasis	70	5	9398	500	TRUE	
sample2	Primary_Tumor	367	5	13472	500	TRUE	
sample20	Peritoneal_Metastasis	181	5	13084	500	TRUE	
sample21	Normal_Gastric	705	5	14604	500	TRUE	
sample22	Primary_Tumor	91	5	7821	500	TRUE	
sample23	Normal_Gastric	1024	5	13934	500	TRUE	
sample24	Primary_Tumor	610	5	12708	500	TRUE	
sample25	Normal_Gastric	1237	5	15155	500	TRUE	
sample26	Primary_Tumor	419	5	12972	500	TRUE	
sample27	Primary_Tumor	390	5	12306	500	TRUE	
sample28	Primary_Tumor	614	5	14326	500	TRUE	
sample29	Primary_Tumor	1277	5	14644	500	TRUE	
sample3	Primary_Tumor	352	5	12057	500	TRUE	
sample30	Primary_Tumor	618	5	13490	500	TRUE	
sample31	Normal_Gastric	696	5	13555	500	TRUE	
sample32	Primary_Tumor	734	5	13733	500	TRUE	
sample33	Primary_Tumor	1756	5	15087	500	TRUE	
sample34	Primary_Tumor	1536	5	16704	500	TRUE	
sample35	Normal_Gastric	1989	5	14596	500	TRUE	
sample36	Primary_Tumor	510	5	13145	500	TRUE	
sample37	Normal_Peritoneum	7	5	283	500	FALSE	fewer_than_500_SCT_usable_features_cannot_support_independent_sample_SCT_model
sample38	Peritoneal_Metastasis	329	5	13805	500	TRUE	
sample39	Primary_Tumor	666	5	13876	500	TRUE	
sample4	Normal_Gastric	740	5	13509	500	TRUE	
sample40	Primary_Tumor	122	5	9725	500	TRUE	
sample5	Primary_Tumor	619	5	14129	500	TRUE	
sample6	Normal_Gastric	356	5	13293	500	TRUE	
sample7	Primary_Tumor	577	5	14214	500	TRUE	
sample8	Primary_Tumor	449	5	13991	500	TRUE	
sample9	Normal_Gastric	1124	5	14250	500	TRUE	
