resolution_field	cluster	cell_count
SCT_harmony_res.0.2	1	24003
SCT_harmony_res.0.2	2	19381
SCT_harmony_res.0.2	3	18711
SCT_harmony_res.0.2	4	15587
SCT_harmony_res.0.2	5	12658
SCT_harmony_res.0.2	6	12388
SCT_harmony_res.0.2	7	7484
SCT_harmony_res.0.2	8	6694
SCT_harmony_res.0.2	9	6205
SCT_harmony_res.0.2	10	5983
SCT_harmony_res.0.2	11	5089
SCT_harmony_res.0.2	12	2703
SCT_harmony_res.0.2	13	2352
SCT_harmony_res.0.2	14	2102
SCT_harmony_res.0.2	15	1310
SCT_harmony_res.0.4	1	21318
SCT_harmony_res.0.4	2	18610
SCT_harmony_res.0.4	3	15583
SCT_harmony_res.0.4	4	14002
SCT_harmony_res.0.4	5	10636
SCT_harmony_res.0.4	6	8952
SCT_harmony_res.0.4	7	7482
SCT_harmony_res.0.4	8	6840
SCT_harmony_res.0.4	9	6729
SCT_harmony_res.0.4	10	6211
SCT_harmony_res.0.4	11	5997
SCT_harmony_res.0.4	12	3704
SCT_harmony_res.0.4	13	3303
SCT_harmony_res.0.4	14	2943
SCT_harmony_res.0.4	15	2705
SCT_harmony_res.0.4	16	2362
SCT_harmony_res.0.4	17	2112
SCT_harmony_res.0.4	18	1425
SCT_harmony_res.0.4	19	1268
SCT_harmony_res.0.4	20	468
SCT_harmony_res.0.6	1	18793
SCT_harmony_res.0.6	2	17539
SCT_harmony_res.0.6	3	13819
SCT_harmony_res.0.6	4	10994
SCT_harmony_res.0.6	5	8946
SCT_harmony_res.0.6	6	7482
SCT_harmony_res.0.6	7	6808
SCT_harmony_res.0.6	8	6210
SCT_harmony_res.0.6	9	6007
SCT_harmony_res.0.6	10	5821
SCT_harmony_res.0.6	11	5790
SCT_harmony_res.0.6	12	5088
SCT_harmony_res.0.6	13	4841
SCT_harmony_res.0.6	14	4598
SCT_harmony_res.0.6	15	3710
SCT_harmony_res.0.6	16	3443
SCT_harmony_res.0.6	17	2703
SCT_harmony_res.0.6	18	2369
SCT_harmony_res.0.6	19	2117
SCT_harmony_res.0.6	20	1754
SCT_harmony_res.0.6	21	1442
SCT_harmony_res.0.6	22	1273
SCT_harmony_res.0.6	23	628
SCT_harmony_res.0.6	24	475
SCT_harmony_res.0.8	1	16890
SCT_harmony_res.0.8	2	15816
SCT_harmony_res.0.8	3	10363
SCT_harmony_res.0.8	4	9801
SCT_harmony_res.0.8	5	8944
SCT_harmony_res.0.8	6	8798
SCT_harmony_res.0.8	7	7482
SCT_harmony_res.0.8	8	6746
SCT_harmony_res.0.8	9	6199
SCT_harmony_res.0.8	10	6036
SCT_harmony_res.0.8	11	5788
SCT_harmony_res.0.8	12	5088
SCT_harmony_res.0.8	13	4913
SCT_harmony_res.0.8	14	4609
SCT_harmony_res.0.8	15	4092
SCT_harmony_res.0.8	16	3712
SCT_harmony_res.0.8	17	2703
SCT_harmony_res.0.8	18	2375
SCT_harmony_res.0.8	19	2120
SCT_harmony_res.0.8	20	2056
SCT_harmony_res.0.8	21	1757
SCT_harmony_res.0.8	22	1485
SCT_harmony_res.0.8	23	1372
SCT_harmony_res.0.8	24	1153
SCT_harmony_res.0.8	25	931
SCT_harmony_res.0.8	26	799
SCT_harmony_res.0.8	27	622
SCT_harmony_res.1	1	10772
SCT_harmony_res.1	2	10348
SCT_harmony_res.1	3	10168
SCT_harmony_res.1	4	9682
SCT_harmony_res.1	5	9196
SCT_harmony_res.1	6	8936
SCT_harmony_res.1	7	7584
SCT_harmony_res.1	8	7482
SCT_harmony_res.1	9	6796
SCT_harmony_res.1	10	6176
SCT_harmony_res.1	11	5782
SCT_harmony_res.1	12	5080
SCT_harmony_res.1	13	5027
SCT_harmony_res.1	14	4912
SCT_harmony_res.1	15	4662
SCT_harmony_res.1	16	4623
SCT_harmony_res.1	17	4209
SCT_harmony_res.1	18	3715
SCT_harmony_res.1	19	2704
SCT_harmony_res.1	20	2370
SCT_harmony_res.1	21	2122
SCT_harmony_res.1	22	2053
SCT_harmony_res.1	23	1766
SCT_harmony_res.1	24	1485
SCT_harmony_res.1	25	1383
SCT_harmony_res.1	26	1156
SCT_harmony_res.1	27	1016
SCT_harmony_res.1	28	819
SCT_harmony_res.1	29	626
