cluster	cell_type_major	cell_type_minor	cell_state	n_cells	n_samples	raw_top_marker_detection	corrected_top_marker_detection	top_marker_count_retention	total_count_retention	contamination_median	contamination_P90	top_marker_detection_retention	expected_panel	raw_expected_panel_detection	corrected_expected_panel_detection	expected_panel_detection_retention	expected_panel_count_retention	raw_panel_winner	corrected_panel_winner	raw_expected_panel_is_winner	corrected_expected_panel_is_winner	panel_winner_changed
1	T/NK	CD8_GZMK_cytotoxic_T	GZMK_high_cytotoxic_memory_like	18793	40	0.514574575639866	0.514574575639866	0.997505859505439	0.977491315021498	0.010853548393412	0.0568145249876126	1	T/NK	0.55275013746253	0.55275013746253	1	0.995534844328488	T/NK	T/NK	TRUE	TRUE	FALSE
2	T/NK	CCR6_IL7R_CD4_like_T	activated_costimulatory_checkpoint_high	17539	40	0.383520535188247	0.383520535188247	0.996397612237152	0.964976839617434	0.0121753158063671	0.0668460614370302	1	T/NK	0.3718189938613	0.3718189938613	1	0.987142555417052	T/NK	T/NK	TRUE	TRUE	FALSE
3	Epithelial	Gastric_or_intestinal_like_epithelial_malignancy_pending_CNV	mixed_gastric_and_intestinal_program	13819	40	0.561191113684058	0.561191113684058	0.99717479034055	0.960755733909721	0.00365321733371707	0.211934602004795	1	Epithelial	0.785642955351328	0.785642955351328	1	0.995825330541784	Epithelial	Epithelial	TRUE	TRUE	FALSE
4	B/Plasma	JCHAIN_TNFRSF17_plasma	antibody_secreting	10994	39	0.55420835607301	0.55420835607301	0.93917502657715	0.893743653783699	0.0348556895661405	0.487260731795304	1	B/Plasma	0.625886847371293	0.625886847371293	1	0.947348211204403	B/Plasma	B/Plasma	TRUE	TRUE	FALSE
5	Fibroblast/CAF	LUM_DCN_PDGFRA_fibroblast	CCL11_CXCL14_stromal_program	8946	40	0.528653401892839	0.528653401892839	0.997789905582938	0.948278352876373	0.00811096010208631	0.173882739385729	1	Fibroblast/CAF	0.627048002299511	0.627048002299511	1	0.997010329472682	Fibroblast/CAF	Fibroblast/CAF	TRUE	TRUE	FALSE
6	Endothelial/Pericyte	Vascular_endothelial	PLVAP_EMCN_high	7482	40	0.568609106299563	0.568609106299563	0.999906504809596	0.973405000802152	0.00761677698552663	0.1174480014778	1	Endothelial/Pericyte	0.458605414900523	0.458605414900523	1	0.993653551634859	Endothelial/Pericyte	Endothelial/Pericyte	TRUE	TRUE	FALSE
7	T/NK	GNLY_NK_like_cytotoxic_lymphocyte	GNLY_GZMB_high_cytotoxic	6808	40	0.541950646298472	0.541950646298472	0.998243462716971	0.976354094819433	0.0100055790622706	0.0557045085148996	1	T/NK	0.662333529181355	0.662333529181355	1	0.998825129652808	T/NK	T/NK	TRUE	TRUE	FALSE
8	B/Plasma	IGHG_high_plasma	IGHG_high_antibody_secreting	6210	39	0.477589908749329	0.477589908749329	0.925909501397673	0.845336768255076	0.0406863572844949	0.94670713084993	1	B/Plasma	0.394444444444444	0.394444444444444	1	0.941977159619055	B/Plasma	B/Plasma	TRUE	TRUE	FALSE
9	Epithelial	Pit_surface_mucous_like_epithelial	MUC5AC_CYP3A5_CLDN4_high	6007	40	0.391121469396815	0.391121469396815	0.989255743791268	0.866798706470101	0.0099359887878873	0.465611347356782	1	Epithelial	0.589645413684035	0.589645413684035	1	0.94780907026137	Epithelial	Epithelial	TRUE	TRUE	FALSE
10	T/NK	IFNG_CCL4_CD8_cytotoxic_T	IFNG_CCL4_TNF_high_activated	5821	40	0.494010192979442	0.494010192979442	0.995935428795041	0.963744049209579	0.00711491881013584	0.0826775085061508	1	T/NK	0.537135658248869	0.537135658248869	1	0.994147854254252	T/NK	T/NK	TRUE	TRUE	FALSE
11	Myeloid	C1Q_FOLR2_TREM2_macrophage	C1Q_FOLR2_TREM2_TAM_like	5790	40	0.540241796200345	0.540241796200345	0.998832763433971	0.96359504924245	0.00796483573250965	0.223535011785503	1	Myeloid	0.433977076464123	0.433977076464123	1	0.995189202514498	Myeloid	Myeloid	TRUE	TRUE	FALSE
12	B/Plasma	Conventional_B_cell	B_cell	5088	39	0.451290618448637	0.451290618448637	0.996315972280755	0.955326536106876	0.0194986778480414	0.0819440431698358	1	B/Plasma	0.447392557651992	0.447392557651992	1	0.66778239586861	B/Plasma	B/Plasma	TRUE	TRUE	FALSE
13	Myeloid	FCN1_S100A8_A9_inflammatory_monocyte	inflammatory	4841	40	0.531963093024857	0.531963093024857	0.994973302929781	0.940940398437801	0.00770516419585407	0.231983061630263	1	Myeloid	0.363298341815177	0.363298341815177	1	0.986136700369152	Myeloid	Myeloid	TRUE	TRUE	FALSE
14	B/Plasma	IGHA_high_plasma	IGHA_high_antibody_secreting	4598	37	0.521407858489198	0.521407858489198	0.915327352064218	0.799900408096469	0.0715136203208856	0.940249171588355	1	B/Plasma	0.597759895606786	0.597759895606786	1	0.937361112008983	B/Plasma	B/Plasma	TRUE	TRUE	FALSE
15	Endothelial/Pericyte	Pericyte_smooth_muscle_like	contractile	3710	40	0.473360287511231	0.473360287511231	0.998675209971342	0.963582949820544	0.00904230162062667	0.175766921000684	1	Endothelial/Pericyte	0.456642279553331	0.456642279553331	1	0.997872551427164	Fibroblast/CAF	Fibroblast/CAF	FALSE	FALSE	FALSE
16	Epithelial	Mucous_neck_chief_like_epithelial	MUC6_TFF2_glandular_secretory	3443	39	0.491693290734824	0.491693290734824	0.984559106270377	0.971004444381056	0.00250877611132642	0.241917238838442	1	Epithelial	0.790531513215219	0.790531513215219	1	0.98027253221733	Epithelial	Epithelial	TRUE	TRUE	FALSE
17	Mast	Mast_cell	mast_cell	2703	39	0.556727093353065	0.556727093353065	0.999907210299591	0.980434644721437	0.00382075979518275	0.0335752072414597	1	Mast	0.970403255641879	0.970403255641879	1	0.999984393619887	Mast	Mast	TRUE	TRUE	FALSE
18	B/Plasma	B_or_plasma_like_stress_high	stress_high_likely_dissociation_associated	2369	40	0.865583227803574	0.865583227803574	0.890636533245519	0.829724869989688	0.0213427757571947	0.711154161641613	1	B/Plasma	0.261573096946672	0.261573096946672	1	0.693529535744712	B/Plasma	B/Plasma	TRUE	TRUE	FALSE
19	Epithelial	Chief_like_epithelial	metallothionein_high	2117	39	0.498661628090065	0.498661628090065	0.988722955364891	0.952440314521938	0.00445781293181637	0.382741017397746	1	Epithelial	0.556636750118092	0.556636750118092	1	0.981457322875596	Epithelial	Epithelial	TRUE	TRUE	FALSE
20	Myeloid	CD1C_FCER1A_dendritic_cell	antigen_presentation_LAMP3_IDO1	1754	40	0.51925123527176	0.51925123527176	0.997912991320449	0.970257176513394	0.00643767365594746	0.164205893385635	1	Myeloid	0.273971182751114	0.273971182751114	1	0.990069064430653	Myeloid	Myeloid	TRUE	TRUE	FALSE
21	Epithelial	Enteroendocrine_epithelial	neuroendocrine_secretory	1442	35	0.445746648173833	0.445746648173833	0.99974578160378	0.936818165972703	0.00451233820030427	0.352711458831226	1	Epithelial	0.758668515950069	0.758668515950069	1	0.96391423704	Epithelial	Epithelial	TRUE	TRUE	FALSE
22	Mesothelial	Mesothelial	mesothelial_ECM_program	1273	37	0.420162346163917	0.420162346163917	0.996889142274761	0.975128758025345	0.00707471891208798	0.0619657710616637	1	Mesothelial	0.458309953989451	0.458309953989451	1	0.996476447632656	Epithelial	Epithelial	FALSE	FALSE	FALSE
23	T/NK	CCR6_KLRB1_CCL20_CD4_like_T	Th17_like_CCL20_high	628	39	0.720329087048832	0.720329087048832	0.991046525554018	0.979540364565493	0.000957461953206466	0.0169692666153164	1	T/NK	0.373142250530786	0.373142250530786	1	0.993639679306867	T/NK	T/NK	TRUE	TRUE	FALSE
24	T/NK	Cycling_T_cell	cycling	475	38	0.375017543859649	0.375017543859649	0.997258843507774	0.977889055700406	0.00244390380740931	0.089770343903041	1	T/NK	0.333684210526316	0.333684210526316	1	0.988510657730693	T/NK	T/NK	TRUE	TRUE	FALSE
