cluster	panel_name	is_expected_panel	cell_type_major	n_cells	marker_genes_expected	raw_marker_detection	corrected_marker_detection	raw_marker_count_fraction	corrected_marker_count_fraction	marker_count_retention	marker_detection_retention
1	Epithelial	FALSE	T/NK	18793	5	0.0668653221944341	0.0668653221944341	0.000138944722092012	7.35719258000099e-05	0.517586543886795	1
1	T/NK	TRUE	T/NK	18793	6	0.55275013746253	0.55275013746253	0.00379083485496169	0.00386080994195461	0.995534844328488	1
1	B/Plasma	FALSE	T/NK	18793	6	0.053096010926054	0.053096010926054	0.000420955028439951	4.89407532627868e-05	0.113644351612273	1
1	Myeloid	FALSE	T/NK	18793	11	0.0179854201032299	0.0179854201032299	8.53555971690967e-05	5.64523119719593e-05	0.646491226066344	1
1	Fibroblast/CAF	FALSE	T/NK	18793	7	0.0260659364048924	0.0260659364048924	8.85268693561097e-05	2.60800845705246e-06	0.0287969701720335	1
1	Endothelial/Pericyte	FALSE	T/NK	18793	7	0.0325045039566404	0.0325045039566404	9.12323049506802e-05	6.62378985396219e-05	0.709693464203907	1
1	Mast	FALSE	T/NK	18793	3	0.00542755281221731	0.00542755281221731	7.66838698328577e-06	2.89262709156252e-06	0.368723939696992	1
1	Mesothelial	FALSE	T/NK	18793	7	0.00290381677068209	0.00290381677068209	7.11296643075806e-06	2.50058468177632e-06	0.343640003465003	1
2	Epithelial	FALSE	T/NK	17539	5	0.0668567193112492	0.0668567193112492	0.000139289752958177	6.85956827823576e-05	0.475219775876797	1
2	T/NK	TRUE	T/NK	17539	6	0.3718189938613	0.3718189938613	0.00192726122652441	0.001971530811933	0.987142555417052	1
2	B/Plasma	FALSE	T/NK	17539	6	0.0582511355645514	0.0582511355645514	0.00228660457153697	6.34840489295088e-05	0.026791093512482	1
2	Myeloid	FALSE	T/NK	17539	11	0.0179236921354488	0.0179236921354488	8.81828876186171e-05	5.47128140702908e-05	0.598717050823579	1
2	Fibroblast/CAF	FALSE	T/NK	17539	7	0.0228877684832984	0.0228877684832984	7.82844161444262e-05	3.54773944528063e-06	0.0437313908221152	1
2	Endothelial/Pericyte	FALSE	T/NK	17539	7	0.0254046085051274	0.0254046085051274	7.16726216063259e-05	4.19000226790388e-05	0.564128262069167	1
2	Mast	FALSE	T/NK	17539	3	0.00608168462664158	0.00608168462664158	1.43768090537763e-05	4.741596890244e-06	0.318257769493411	1
2	Mesothelial	FALSE	T/NK	17539	7	0.00206071367483079	0.00206071367483079	5.28559156388834e-06	2.27321268033544e-06	0.415014584750596	1
3	Epithelial	TRUE	Epithelial	13819	5	0.785642955351328	0.785642955351328	0.00975550624819813	0.0101116026595863	0.995825330541784	1
3	T/NK	FALSE	Epithelial	13819	6	0.0120848107677835	0.0120848107677835	1.01351757063344e-05	1.71047634736502e-06	0.162143213503523	1
3	B/Plasma	FALSE	Epithelial	13819	6	0.0630894661938876	0.0630894661938876	0.000971647003798924	1.12792460714912e-05	0.0111528160895832	1
3	Myeloid	FALSE	Epithelial	13819	11	0.0944023051266701	0.0944023051266701	0.00160431301495458	0.00161315103318695	0.966048452109971	1
3	Fibroblast/CAF	FALSE	Epithelial	13819	7	0.032967032967033	0.032967032967033	9.42389995596941e-05	4.77287947936447e-05	0.486589559363351	1
3	Endothelial/Pericyte	FALSE	Epithelial	13819	7	0.0207891825953914	0.0207891825953914	2.5871899814977e-05	1.55463173617069e-05	0.577314138244834	1
3	Mast	FALSE	Epithelial	13819	3	0.00718817087584726	0.00718817087584726	5.27915712735511e-06	1.74168980708614e-06	0.316970764173575	1
3	Mesothelial	FALSE	Epithelial	13819	7	0.0478740450518437	0.0478740450518437	0.000267927298940614	0.00026299619281653	0.943073368200951	1
4	Epithelial	FALSE	B/Plasma	10994	5	0.085301073312716	0.085301073312716	5.34987820577126e-05	9.01236852709878e-06	0.150559449521025	1
4	T/NK	FALSE	B/Plasma	10994	6	0.0130070947789703	0.0130070947789703	9.45338794504497e-06	1.38094090819438e-06	0.130557127256789	1
4	B/Plasma	TRUE	B/Plasma	10994	6	0.625886847371293	0.625886847371293	0.0376767417160925	0.0399365004916599	0.947348211204403	1
4	Myeloid	FALSE	B/Plasma	10994	11	0.0281806605255759	0.0281806605255759	3.68629317633597e-05	9.15148477207439e-06	0.221878213329449	1
4	Fibroblast/CAF	FALSE	B/Plasma	10994	7	0.0303282309831337	0.0303282309831337	3.06508940145557e-05	1.81301592844545e-05	0.528653904674815	1
4	Endothelial/Pericyte	FALSE	B/Plasma	10994	7	0.0460770810052236	0.0460770810052236	3.70411730165135e-05	2.93870438612337e-05	0.709061884804018	1
4	Mast	FALSE	B/Plasma	10994	3	0.0081256442908253	0.0081256442908253	6.39688052985236e-06	8.46025438897654e-07	0.118202905842263	1
4	Mesothelial	FALSE	B/Plasma	10994	7	0.00171522128953455	0.00171522128953455	1.32690710681148e-06	6.46993551466981e-07	0.435785125947589	1
5	Epithelial	FALSE	Fibroblast/CAF	8946	5	0.232237871674491	0.232237871674491	0.000771779767062004	0.000677590115015887	0.83254843624445	1
