sample_id	input_cells	input_genes	status	corrected_counts_path	corrected_matrix_class	raw_total_counts	corrected_total_counts	removed_count_fraction	corrected_noninteger_fraction
sample1	2510	19292	completed_with_researcher_approved_seurat_clusters	/root/gc-mlmod-project/objects/F1_single_cell/decontX_corrected_by_sample/sample1_decontX_corrected_counts.rds	dgCMatrix	17324460	16981168.0602733	0.0198154482002145	0.997860741660443
sample10	2486	18229	completed_with_researcher_approved_seurat_clusters	/root/gc-mlmod-project/objects/F1_single_cell/decontX_corrected_by_sample/sample10_decontX_corrected_counts.rds	dgCMatrix	16548162	15633037.1873245	0.0553006921660237	0.997561451779583
sample11	796	16734	completed_with_researcher_approved_seurat_clusters	/root/gc-mlmod-project/objects/F1_single_cell/decontX_corrected_by_sample/sample11_decontX_corrected_counts.rds	dgCMatrix	6838596	6611469.15392784	0.0332124965522398	0.996884219636785
sample12	542	16147	completed_with_researcher_approved_seurat_clusters	/root/gc-mlmod-project/objects/F1_single_cell/decontX_corrected_by_sample/sample12_decontX_corrected_counts.rds	dgCMatrix	4682649	4548209.09004668	0.0287102257618122	0.996200285642563
sample13	1806	15950	completed_with_researcher_approved_seurat_clusters	/root/gc-mlmod-project/objects/F1_single_cell/decontX_corrected_by_sample/sample13_decontX_corrected_counts.rds	dgCMatrix	3687113	3546325.33081259	0.038183714246731	0.994222485813803
sample14	6471	20015	completed_with_researcher_approved_seurat_clusters	/root/gc-mlmod-project/objects/F1_single_cell/decontX_corrected_by_sample/sample14_decontX_corrected_counts.rds	dgCMatrix	27891098	26709887.8262737	0.0423507950001223	0.995266587718362
sample15	11598	21524	completed_with_researcher_approved_seurat_clusters	/root/gc-mlmod-project/objects/F1_single_cell/decontX_corrected_by_sample/sample15_decontX_corrected_counts.rds	dgCMatrix	77527200	72778174.5096489	0.0612562492951008	0.994422391852235
sample16	1537	17169	completed_with_researcher_approved_seurat_clusters	/root/gc-mlmod-project/objects/F1_single_cell/decontX_corrected_by_sample/sample16_decontX_corrected_counts.rds	dgCMatrix	14480123	14097849.5105773	0.0263998786075684	0.99611583796059
sample17	6729	20136	completed_with_researcher_approved_seurat_clusters	/root/gc-mlmod-project/objects/F1_single_cell/decontX_corrected_by_sample/sample17_decontX_corrected_counts.rds	dgCMatrix	55432275	52488290.629331	0.053109571466605	0.996244869214234
sample18	6035	20370	completed_with_researcher_approved_seurat_clusters	/root/gc-mlmod-project/objects/F1_single_cell/decontX_corrected_by_sample/sample18_decontX_corrected_counts.rds	dgCMatrix	25949256	24241961.7365154	0.0657935727900868	0.996228985774004
sample19	1125	17603	completed_with_researcher_approved_seurat_clusters	/root/gc-mlmod-project/objects/F1_single_cell/decontX_corrected_by_sample/sample19_decontX_corrected_counts.rds	dgCMatrix	13925941	13422242.7380173	0.036169782852213	0.996689193582805
sample2	2591	18959	completed_with_researcher_approved_seurat_clusters	/root/gc-mlmod-project/objects/F1_single_cell/decontX_corrected_by_sample/sample2_decontX_corrected_counts.rds	dgCMatrix	23168616	22362438.3419356	0.0347961077202197	0.997175550245586
sample20	4028	19445	completed_with_researcher_approved_seurat_clusters	/root/gc-mlmod-project/objects/F1_single_cell/decontX_corrected_by_sample/sample20_decontX_corrected_counts.rds	dgCMatrix	25557321	24156423.5634978	0.0548139390862697	0.995300524929018
sample21	1777	18262	completed_with_researcher_approved_seurat_clusters	/root/gc-mlmod-project/objects/F1_single_cell/decontX_corrected_by_sample/sample21_decontX_corrected_counts.rds	dgCMatrix	16594446	16174224.2251557	0.0253230372887587	0.997500919399059
sample22	385	12982	completed_with_researcher_approved_seurat_clusters	/root/gc-mlmod-project/objects/F1_single_cell/decontX_corrected_by_sample/sample22_decontX_corrected_counts.rds	dgCMatrix	2088689	1717615.24592706	0.177658691204358	0.97172334078149
sample23	3485	18965	completed_with_researcher_approved_seurat_clusters	/root/gc-mlmod-project/objects/F1_single_cell/decontX_corrected_by_sample/sample23_decontX_corrected_counts.rds	dgCMatrix	18783359	18082931.7091726	0.0372897781928902	0.995623194483404
sample24	2461	17885	completed_with_researcher_approved_seurat_clusters	/root/gc-mlmod-project/objects/F1_single_cell/decontX_corrected_by_sample/sample24_decontX_corrected_counts.rds	dgCMatrix	11794999	11316805.432122	0.0405420609088611	0.995029527587601
sample25	3863	19746	completed_with_researcher_approved_seurat_clusters	/root/gc-mlmod-project/objects/F1_single_cell/decontX_corrected_by_sample/sample25_decontX_corrected_counts.rds	dgCMatrix	33686193	31915042.1673112	0.0525779458868732	0.997547164290548
sample26	2482	18231	completed_with_researcher_approved_seurat_clusters	/root/gc-mlmod-project/objects/F1_single_cell/decontX_corrected_by_sample/sample26_decontX_corrected_counts.rds	dgCMatrix	19215472	18288752.3279443	0.0482277860286598	0.99715027760161
sample27	3795	18329	completed_with_researcher_approved_seurat_clusters	/root/gc-mlmod-project/objects/F1_single_cell/decontX_corrected_by_sample/sample27_decontX_corrected_counts.rds	dgCMatrix	12355685	11727695.9620883	0.0508259184263509	0.989176769562881
