seurat_cluster	coarse_lineage_label	cell_type_minor	cell_state	n_cells	n_samples	contamination_mean	contamination_median	contamination_P90	contamination_P95	fraction_ge_0_10	fraction_ge_0_20
1	T/NK	CD8_GZMK_cytotoxic_T	GZMK_high_cytotoxic_memory_like	18793	40	0.0261512527716387	0.010853548393412	0.0568145249876127	0.0930147488285123	0.0449635502580748	0.0145266854679934
2	T/NK	CCR6_IL7R_CD4_like_T	activated_costimulatory_checkpoint_high	17539	40	0.0377233134016671	0.0121753158063671	0.0668460614370301	0.119841246087945	0.0612919778778722	0.0291350704145048
3	Epithelial	Gastric_or_intestinal_like_epithelial_malignancy_pending_CNV	mixed_gastric_and_intestinal_program	13819	40	0.0759545654943129	0.00365321733371707	0.211934602004795	0.667379510592995	0.130617266082929	0.102684709457993
4	B/Plasma	JCHAIN_TNFRSF17_plasma	antibody_secreting	10994	39	0.146145404197344	0.0348556895661405	0.487260731795304	0.702756332310977	0.346643623794797	0.237129343278152
5	Fibroblast/CAF	LUM_DCN_PDGFRA_fibroblast	CCL11_CXCL14_stromal_program	8946	40	0.0632742389306839	0.0081109601020863	0.173882739385729	0.397484113707921	0.142521797451375	0.0902079141515761
6	Endothelial/Pericyte	Vascular_endothelial	PLVAP_EMCN_high	7482	40	0.0545070705965879	0.00761677698552663	0.1174480014778	0.365614167726926	0.108794439989308	0.0740443731622561
7	T/NK	GNLY_NK_like_cytotoxic_lymphocyte	GNLY_GZMB_high_cytotoxic	6808	40	0.0271997295996238	0.0100055790622706	0.0557045085148996	0.0866429950446778	0.0399529964747356	0.0167450058754407
8	B/Plasma	IGHG_high_plasma	IGHG_high_antibody_secreting	6210	39	0.217207340612582	0.0406863572844949	0.94670713084993	0.99971022120462	0.389694041867955	0.297101449275362
9	Epithelial	Pit_surface_mucous_like_epithelial	MUC5AC_CYP3A5_CLDN4_high	6007	40	0.11907387396674	0.0099359887878873	0.465611347356782	0.706959701138307	0.244548027301482	0.187281504910937
10	T/NK	IFNG_CCL4_CD8_cytotoxic_T	IFNG_CCL4_TNF_high_activated	5821	40	0.042438667346482	0.00711491881013584	0.0826775085061508	0.18711847230537	0.0848651434461433	0.0472427417969421
11	Myeloid	C1Q_FOLR2_TREM2_macrophage	C1Q_FOLR2_TREM2_TAM_like	5790	40	0.074310497946464	0.00796483573250964	0.223535011785503	0.500160885189585	0.172711571675302	0.106217616580311
12	B/Plasma	Conventional_B_cell	B_cell	5088	39	0.0458436435616835	0.0194986778480414	0.0819440431698358	0.14741293277091	0.078812893081761	0.0377358490566038
13	Myeloid	FCN1_S100A8_A9_inflammatory_monocyte	inflammatory	4841	40	0.0694969729009342	0.00770516419585407	0.231983061630263	0.419231792769043	0.169386490394547	0.113406321008056
14	B/Plasma	IGHA_high_plasma	IGHA_high_antibody_secreting	4598	37	0.245589961884858	0.0715136203208856	0.940249171588355	0.999766170395917	0.451718138321009	0.342322749021314
15	Endothelial/Pericyte	Pericyte_smooth_muscle_like	contractile	3710	40	0.0616467725970422	0.00904230162062667	0.175766921000684	0.352345325745675	0.147978436657682	0.0892183288409703
16	Epithelial	Mucous_neck_chief_like_epithelial	MUC6_TFF2_glandular_secretory	3443	39	0.073059191332632	0.00250877611132642	0.241917238838442	0.582451326104792	0.142898634911414	0.109497531222771
17	Mast	Mast_cell	mast_cell	2703	39	0.0223509812146025	0.00382075979518275	0.0335752072414597	0.0754306640527466	0.0403255641879393	0.0236773954864965
18	B/Plasma	B_or_plasma_like_stress_high	stress_high_likely_dissociation_associated	2369	40	0.16473869436763	0.0213427757571947	0.711154161641613	0.969578380079097	0.289573659772056	0.217391304347826
19	Epithelial	Chief_like_epithelial	metallothionein_high	2117	39	0.0958779501811295	0.00445781293181637	0.382741017397746	0.605137862254018	0.21067548417572	0.159659896079358
20	Myeloid	CD1C_FCER1A_dendritic_cell	antigen_presentation_LAMP3_IDO1	1754	40	0.0564678728719297	0.00643767365594746	0.164205893385635	0.367362428611243	0.12884834663626	0.0838084378563284
21	Epithelial	Enteroendocrine_epithelial	neuroendocrine_secretory	1442	35	0.0895115961254811	0.00451233820030427	0.352711458831226	0.690845322807497	0.160887656033287	0.123439667128988
22	Mesothelial	Mesothelial	mesothelial_ECM_program	1273	37	0.0264180458648489	0.00707471891208798	0.0619657710616637	0.116073859090368	0.0620581304006284	0.0227808326787117
23	T/NK	CCR6_KLRB1_CCL20_CD4_like_T	Th17_like_CCL20_high	628	39	0.0168374659771383	0.000957461953206467	0.0169692666153164	0.0419267523439243	0.0270700636942675	0.0191082802547771
24	T/NK	Cycling_T_cell	cycling	475	38	0.0503874190760421	0.00244390380740931	0.089770343903041	0.254083563192935	0.0926315789473684	0.0631578947368421
