sample_id	input_cells	input_genes	input_matrix	method	celda_version	status	cluster_label_source	model_cluster_counts	coarse_label_counts	reliable_model_clusters	background_input	corrected_counts_path	corrected_matrix_class	raw_total_counts	corrected_total_counts	removed_count_fraction	corrected_noninteger_fraction	raw_counts_remain_main	deletion_based_on_contamination	interpretation	error	seed	contamination_min	contamination_Q1	contamination_median	contamination_Q3	contamination_max	contamination_P90	contamination_P95
sample1	2510	19292	fixed_QC_scDblFinder_singlet_raw_integer_counts	DecontX	1.22.1	completed_with_researcher_approved_seurat_clusters	researcher_approved_seurat_cluster_partition	1=438|10=121|11=23|12=96|13=9|14=26|15=39|16=57|17=65|18=37|19=36|2=279|20=19|21=105|22=5|23=19|24=1|3=395|4=236|5=146|6=35|7=67|8=37|9=219	B/Plasma=432|Endothelial/Pericyte=74|Epithelial=812|Fibroblast/CAF=146|Mast=65|Mesothelial=5|Myeloid=51|T/NK=925	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24	not_available_public_filtered_cells	/root/gc-mlmod-project/objects/F1_single_cell/decontX_corrected_by_sample/sample1_decontX_corrected_counts.rds	dgCMatrix	17324460	16981168.0602733	0.0198154482002145	0.997860741660443	TRUE	FALSE	retained_cell_ambient_estimate_and_conditional_sensitivity_only	NA	42	1.03271713849572e-05	0.000544056644235637	0.00199440478077186	0.00593101674904086	0.993873271550047	0.0277471956305644	0.0748654979427064
sample10	2486	18229	fixed_QC_scDblFinder_singlet_raw_integer_counts	DecontX	1.22.1	completed_with_researcher_approved_seurat_clusters	researcher_approved_seurat_cluster_partition	1=516|10=178|11=47|12=8|13=26|14=128|15=15|16=67|17=119|18=21|19=33|2=279|20=18|21=40|22=21|23=7|24=7|3=161|4=359|5=108|6=40|7=98|8=122|9=68	B/Plasma=638|Endothelial/Pericyte=55|Epithelial=369|Fibroblast/CAF=108|Mast=119|Mesothelial=21|Myeloid=91|T/NK=1085	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24	not_available_public_filtered_cells	/root/gc-mlmod-project/objects/F1_single_cell/decontX_corrected_by_sample/sample10_decontX_corrected_counts.rds	dgCMatrix	16548162	15633037.1873245	0.0553006921660237	0.997561451779583	TRUE	FALSE	retained_cell_ambient_estimate_and_conditional_sensitivity_only	NA	42	4.24976351808095e-06	0.000157518672443657	0.00096955034583437	0.00430981096836832	0.999785170462573	0.0949307253058916	0.245694313400346
sample11	796	16734	fixed_QC_scDblFinder_singlet_raw_integer_counts	DecontX	1.22.1	completed_with_researcher_approved_seurat_clusters	researcher_approved_seurat_cluster_partition	1=126|10=68|11=100|12=40|13=68|14=2|15=31|16=1|18=24|19=6|2=103|20=12|22=18|23=1|24=1|3=40|4=1|5=74|6=31|7=26|8=11|9=12	B/Plasma=78|Endothelial/Pericyte=62|Epithelial=59|Fibroblast/CAF=74|Mesothelial=18|Myeloid=180|T/NK=325	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|18|19|20|22|23|24	not_available_public_filtered_cells	/root/gc-mlmod-project/objects/F1_single_cell/decontX_corrected_by_sample/sample11_decontX_corrected_counts.rds	dgCMatrix	6838596	6611469.15392784	0.0332124965522398	0.996884219636785	TRUE	FALSE	retained_cell_ambient_estimate_and_conditional_sensitivity_only	NA	42	1.79346646310765e-05	0.00158046284229752	0.00509336115459656	0.019111761096716	0.965556299384022	0.0948004323841197	0.210948740634944
sample12	542	16147	fixed_QC_scDblFinder_singlet_raw_integer_counts	DecontX	1.22.1	completed_with_researcher_approved_seurat_clusters	researcher_approved_seurat_cluster_partition	1=74|10=50|11=65|12=32|13=48|14=2|15=28|17=1|18=14|19=5|2=58|20=8|22=11|23=1|3=34|5=27|6=39|7=32|8=5|9=8	B/Plasma=53|Endothelial/Pericyte=67|Epithelial=47|Fibroblast/CAF=27|Mast=1|Mesothelial=11|Myeloid=121|T/NK=215	1|2|3|5|6|7|8|9|10|11|12|13|14|15|17|18|19|20|22|23	not_available_public_filtered_cells	/root/gc-mlmod-project/objects/F1_single_cell/decontX_corrected_by_sample/sample12_decontX_corrected_counts.rds	dgCMatrix	4682649	4548209.09004668	0.0287102257618122	0.996200285642563	TRUE	FALSE	retained_cell_ambient_estimate_and_conditional_sensitivity_only	NA	42	3.89944102850956e-05	0.000734037313349428	0.00325269439927401	0.0160767959937888	0.75797889403176	0.0827616220134012	0.172383826326865
sample13	1806	15950	fixed_QC_scDblFinder_singlet_raw_integer_counts	DecontX	1.22.1	completed_with_researcher_approved_seurat_clusters	researcher_approved_seurat_cluster_partition	1=338|10=109|11=30|12=7|13=20|14=5|15=64|16=85|17=2|18=23|19=5|2=214|20=15|21=11|22=15|23=7|24=4|3=317|4=54|5=230|6=77|7=103|8=4|9=67	B/Plasma=93|Endothelial/Pericyte=141|Epithelial=485|Fibroblast/CAF=230|Mast=2|Mesothelial=15|Myeloid=65|T/NK=775	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24	not_available_public_filtered_cells	/root/gc-mlmod-project/objects/F1_single_cell/decontX_corrected_by_sample/sample13_decontX_corrected_counts.rds	dgCMatrix	3687113	3546325.33081259	0.038183714246731	0.994222485813803	TRUE	FALSE	retained_cell_ambient_estimate_and_conditional_sensitivity_only	NA	42	1.11727054273483e-05	0.000720024608708997	0.0038453316992998	0.0112449210369045	0.895755325447567	0.0546782042926565	0.142548239313183
sample14	6471	20015	fixed_QC_scDblFinder_singlet_raw_integer_counts	DecontX	1.22.1	completed_with_researcher_approved_seurat_clusters	researcher_approved_seurat_cluster_partition	1=1267|10=258|11=145|12=576|13=54|14=64|15=129|16=158|17=62|18=180|19=109|2=1383|20=96|21=15|22=10|23=48|24=20|3=560|4=189|5=249|6=137|7=365|8=83|9=314	B/Plasma=1092|Endothelial/Pericyte=266|Epithelial=1156|Fibroblast/CAF=249|Mast=62|Mesothelial=10|Myeloid=295|T/NK=3341	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24	not_available_public_filtered_cells	/root/gc-mlmod-project/objects/F1_single_cell/decontX_corrected_by_sample/sample14_decontX_corrected_counts.rds	dgCMatrix	27891098	26709887.8262737	0.0423507950001223	0.995266587718362	TRUE	FALSE	retained_cell_ambient_estimate_and_conditional_sensitivity_only	NA	42	1.62161246792799e-05	0.00554052019254699	0.0132433881521229	0.0335479582646318	0.99991411064309	0.111011435332576	0.234505779076844
sample15	11598	21524	fixed_QC_scDblFinder_singlet_raw_integer_counts	DecontX	1.22.1	completed_with_researcher_approved_seurat_clusters	researcher_approved_seurat_cluster_partition	1=2653|10=453|11=390|12=615|13=253|14=223|15=250|16=252|17=350|18=42|19=63|2=1859|20=85|21=21|22=11|23=28|24=68|3=793|4=716|5=306|6=469|7=1073|8=339|9=286	B/Plasma=1935|Endothelial/Pericyte=719|Epithelial=1415|Fibroblast/CAF=306|Mast=350|Mesothelial=11|Myeloid=728|T/NK=6134	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24	not_available_public_filtered_cells	/root/gc-mlmod-project/objects/F1_single_cell/decontX_corrected_by_sample/sample15_decontX_corrected_counts.rds	dgCMatrix	77527200	72778174.5096489	0.0612562492951008	0.994422391852235	TRUE	FALSE	retained_cell_ambient_estimate_and_conditional_sensitivity_only	NA	42	1.71533410519532e-05	0.0075712525426434	0.017209780860826	0.0412779065434211	0.999938510668064	0.146831916863752	0.318770998352042
sample16	1537	17169	fixed_QC_scDblFinder_singlet_raw_integer_counts	DecontX	1.22.1	completed_with_researcher_approved_seurat_clusters	researcher_approved_seurat_cluster_partition	1=174|10=66|11=106|12=9|13=262|15=60|16=7|17=6|18=20|19=4|2=110|20=11|21=1|22=12|23=8|24=7|3=288|4=8|5=36|6=88|7=169|8=30|9=55	B/Plasma=67|Endothelial/Pericyte=148|Epithelial=355|Fibroblast/CAF=36|Mast=6|Mesothelial=12|Myeloid=379|T/NK=534	1|2|3|4|5|6|7|8|9|10|11|12|13|15|16|17|18|19|20|21|22|23|24	not_available_public_filtered_cells	/root/gc-mlmod-project/objects/F1_single_cell/decontX_corrected_by_sample/sample16_decontX_corrected_counts.rds	dgCMatrix	14480123	14097849.5105773	0.0263998786075684	0.99611583796059	TRUE	FALSE	retained_cell_ambient_estimate_and_conditional_sensitivity_only	NA	42	3.87348313683458e-05	0.00452894847738016	0.0115363278928744	0.0305816956154059	0.993048936172642	0.0971224199469783	0.173944091455162
sample17	6729	20136	fixed_QC_scDblFinder_singlet_raw_integer_counts	DecontX	1.22.1	completed_with_researcher_approved_seurat_clusters	researcher_approved_seurat_cluster_partition	1=625|10=192|11=1157|12=219|13=821|14=27|15=382|16=40|17=11|18=54|19=49|2=400|20=140|21=3|22=293|23=38|24=18|3=421|4=30|5=1134|6=65|7=87|8=331|9=192	B/Plasma=661|Endothelial/Pericyte=447|Epithelial=705|Fibroblast/CAF=1134|Mast=11|Mesothelial=293|Myeloid=2118|T/NK=1360	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24	not_available_public_filtered_cells	/root/gc-mlmod-project/objects/F1_single_cell/decontX_corrected_by_sample/sample17_decontX_corrected_counts.rds	dgCMatrix	55432275	52488290.629331	0.053109571466605	0.996244869214234	TRUE	FALSE	retained_cell_ambient_estimate_and_conditional_sensitivity_only	NA	42	1.31551004431043e-05	0.00436784219405133	0.0146660570573077	0.0501223323395137	0.999866450720817	0.170936388661509	0.301896492071977
sample18	6035	20370	fixed_QC_scDblFinder_singlet_raw_integer_counts	DecontX	1.22.1	completed_with_researcher_approved_seurat_clusters	researcher_approved_seurat_cluster_partition	1=521|10=148|11=84|12=318|13=28|14=495|15=104|16=216|17=357|18=146|19=65|2=561|20=65|21=67|22=8|23=40|24=9|3=649|4=577|5=511|6=232|7=273|8=298|9=263	B/Plasma=1834|Endothelial/Pericyte=336|Epithelial=1260|Fibroblast/CAF=511|Mast=357|Mesothelial=8|Myeloid=177|T/NK=1552	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24	not_available_public_filtered_cells	/root/gc-mlmod-project/objects/F1_single_cell/decontX_corrected_by_sample/sample18_decontX_corrected_counts.rds	dgCMatrix	25949256	24241961.7365154	0.0657935727900868	0.996228985774004	TRUE	FALSE	retained_cell_ambient_estimate_and_conditional_sensitivity_only	NA	42	1.95407323001995e-05	0.00330861879822006	0.00837034090353282	0.0322854146167868	0.999810515796404	0.204753442489467	0.371918679885617
