sample_id	cluster	cell_type_major	cell_type_minor	cell_state	n_cells	contamination_median	contamination_P90	raw_total_counts	corrected_total_counts	top_marker_genes_expected	raw_top_marker_detected_pairs	corrected_top_marker_detected_pairs	top_marker_cell_pairs	raw_top_marker_count_sum	corrected_top_marker_count_sum	top_marker_detection_retention	top_marker_count_retention	total_count_retention
sample27	8	B/Plasma	IGHG_high_plasma	IGHG_high_antibody_secreting	87	0.999942447402894	0.999988171504715	579245	229141.916560732	30	574	574	2610	16866	16243.9227462997	1	0.963116491539174	0.395587215359187
sample22	5	Fibroblast/CAF	LUM_DCN_PDGFRA_fibroblast	CCL11_CXCL14_stromal_program	10	0.999480993202432	0.999842659061103	42720	17553.4441995916	30	7	7	300	267	266.996650286316	1	0.999987454255863	0.41089522939119
sample34	8	B/Plasma	IGHG_high_plasma	IGHG_high_antibody_secreting	157	0.999353402227882	0.999913344256254	759032	190768.24299955	30	1251	1251	4710	74254	71585.3963500975	1	0.964061146202191	0.251330962330376
sample22	3	Epithelial	Gastric_or_intestinal_like_epithelial_malignancy_pending_CNV	mixed_gastric_and_intestinal_program	25	0.999013520723998	0.999811061036228	136129	54841.5313520169	30	48	48	750	1245	1234.03217996648	1	0.991190505997171	0.402864425302595
sample14	8	B/Plasma	IGHG_high_plasma	IGHG_high_antibody_secreting	83	0.996944456358333	0.999798600045701	271701	142060.877229069	30	653	653	2490	69152	68916.3979309558	1	0.996592982573979	0.522857395552719
sample16	16	Epithelial	Mucous_neck_chief_like_epithelial	MUC6_TFF2_glandular_secretory	7	0.981080928802085	0.991109211300865	67223	57793.7727090028	30	18	18	210	204	96.8755464189811	1	0.474880129504809	0.859732126043211
sample24	18	B/Plasma	B_or_plasma_like_stress_high	stress_high_likely_dissociation_associated	32	0.946565102245672	0.998925967500853	73068	37897.0516371431	30	802	802	960	10256	5159.37828285603	1	0.503059504958662	0.518654563381277
sample20	4	B/Plasma	JCHAIN_TNFRSF17_plasma	antibody_secreting	11	0.868744602002755	0.885757289373044	126440	52285.8316887276	30	76	76	330	5213	5200.65832144981	1	0.997632518981357	0.413522870046881
sample35	24	T/NK	Cycling_T_cell	cycling	18	0.753191970444425	0.996160821375513	58185	36704.94155757	30	92	92	540	159	133.012810622553	1	0.83655855737455	0.630831684412994
sample22	12	B/Plasma	Conventional_B_cell	B_cell	18	0.730606527787709	0.940307136710304	102389	63478.4209820406	30	108	108	540	848	797.655241723212	1	0.940631181277372	0.619973053570605
sample35	11	Myeloid	C1Q_FOLR2_TREM2_macrophage	C1Q_FOLR2_TREM2_TAM_like	244	0.592792295114156	0.901806292763428	572702	331560.762636837	30	1578	1578	7320	5929	5901.38356673859	1	0.995342143150378	0.578941164229978
sample35	13	Myeloid	FCN1_S100A8_A9_inflammatory_monocyte	inflammatory	102	0.566437128223126	0.954549943923925	229173	131047.957727745	30	649	649	3060	2025	1989.8956909617	1	0.982664538746517	0.571829830423935
sample35	12	B/Plasma	Conventional_B_cell	B_cell	76	0.539005778615801	0.938391442621628	151808	74582.8124171726	30	397	397	2280	591	508.880714800578	1	0.861050278850385	0.491296983144318
sample35	20	Myeloid	CD1C_FCER1A_dendritic_cell	antigen_presentation_LAMP3_IDO1	72	0.520069353663936	0.797632375855242	159570	107654.986985432	30	653	653	2160	3313	3243.29407978202	1	0.978959879197711	0.67465680883269
sample23	14	B/Plasma	IGHA_high_plasma	IGHA_high_antibody_secreting	70	0.517734815743575	0.573929585788633	199707	153080.526327922	30	587	587	2100	61247	60358.7186120807	1	0.985496736363915	0.766525591631349
sample9	3	Epithelial	Gastric_or_intestinal_like_epithelial_malignancy_pending_CNV	mixed_gastric_and_intestinal_program	615	0.499414100423327	0.899859365608529	3831009	1934135.06418576	30	7168	7168	18450	117425	110620.688679719	1	0.942053980666121	0.504863095906526
sample13	21	Epithelial	Enteroendocrine_epithelial	neuroendocrine_secretory	11	0.490152050278089	0.799098728314528	80129	63044.5430571465	30	144	144	330	1641	1638.69421932764	1	0.998594892947982	0.786788092415312
sample28	14	B/Plasma	IGHA_high_plasma	IGHA_high_antibody_secreting	507	0.487986482804462	0.999948705075254	6585765	3755078.18764753	30	9341	9341	15210	1032253	706106.72480863	1	0.684044245750441	0.570181017337778
sample22	16	Epithelial	Mucous_neck_chief_like_epithelial	MUC6_TFF2_glandular_secretory	16	0.461828953796077	0.998948190980834	71327	48185.6751179141	30	14	14	480	135	2.0161513942523	1	0.0149344547722393	0.67556009811031
