sample_id	evaluable_fixed_qc_cells	scDblFinder_doublets	DoubletFinder_doublets	both_doublet	scDblFinder_only	DoubletFinder_only	both_singlet	doublet_union	doublet_jaccard	overlap_fraction_of_scDblFinder	overlap_fraction_of_DoubletFinder	final_deletion_rule
ALL_EVALUABLE_SAMPLES	153148	10666	7269	2060	8606	5209	137273	15875	0.129763779527559	0.193137071066942	0.283395240060531	scDblFinder_doublet_only
sample1	2631	121	55	26	95	29	2481	150	0.173333333333333	0.214876033057851	0.472727272727273	scDblFinder_doublet_only
sample10	2604	118	54	1	117	53	2433	171	0.00584795321637427	0.00847457627118644	0.0185185185185185	scDblFinder_doublet_only
sample11	819	23	5	0	23	5	791	28	0	0	0	scDblFinder_doublet_only
sample12	557	15	2	0	15	2	540	17	0	0	0	scDblFinder_doublet_only
sample13	1897	91	29	25	66	4	1802	95	0.263157894736842	0.274725274725275	0.862068965517241	scDblFinder_doublet_only
sample14	7069	598	400	23	575	377	6094	975	0.0235897435897436	0.0384615384615385	0.0575	scDblFinder_doublet_only
sample15	13170	1572	1388	485	1087	903	10695	2475	0.195959595959596	0.30852417302799	0.349423631123919	scDblFinder_doublet_only
sample16	1589	52	20	0	52	20	1517	72	0	0	0	scDblFinder_doublet_only
sample17	7253	524	421	126	398	295	6434	819	0.153846153846154	0.240458015267176	0.299287410926366	scDblFinder_doublet_only
sample18	6566	531	345	180	351	165	5870	696	0.258620689655172	0.338983050847458	0.521739130434783	scDblFinder_doublet_only
sample19	1165	40	11	0	40	11	1114	51	0	0	0	scDblFinder_doublet_only
sample2	2717	126	59	0	126	59	2532	185	0	0	0	scDblFinder_doublet_only
sample20	4265	237	146	2	235	144	3884	381	0.005249343832021	0.00843881856540084	0.0136986301369863	scDblFinder_doublet_only
sample21	1848	71	27	1	70	26	1751	97	0.0103092783505155	0.0140845070422535	0.037037037037037	scDblFinder_doublet_only
sample22	396	11	1	0	11	1	384	12	0	0	0	scDblFinder_doublet_only
sample23	3668	183	108	12	171	96	3389	279	0.0430107526881721	0.0655737704918033	0.111111111111111	scDblFinder_doublet_only
sample24	2487	26	49	9	17	40	2421	66	0.136363636363636	0.346153846153846	0.183673469387755	scDblFinder_doublet_only
sample25	4094	231	134	32	199	102	3761	333	0.0960960960960961	0.138528138528139	0.238805970149254	scDblFinder_doublet_only
sample26	2597	115	54	3	112	51	2431	166	0.0180722891566265	0.0260869565217391	0.0555555555555556	scDblFinder_doublet_only
sample27	4041	246	131	15	231	116	3679	362	0.0414364640883978	0.0609756097560976	0.114503816793893	scDblFinder_doublet_only
sample28	6121	440	300	21	419	279	5402	719	0.0292072322670376	0.0477272727272727	0.07	scDblFinder_doublet_only
sample29	3478	168	97	26	142	71	3239	239	0.108786610878661	0.154761904761905	0.268041237113402	scDblFinder_doublet_only
sample3	3451	172	95	33	139	62	3217	234	0.141025641025641	0.191860465116279	0.347368421052632	scDblFinder_doublet_only
sample30	3730	229	111	56	173	55	3446	284	0.197183098591549	0.244541484716157	0.504504504504505	scDblFinder_doublet_only
sample31	1858	72	28	15	57	13	1773	85	0.176470588235294	0.208333333333333	0.535714285714286	scDblFinder_doublet_only
sample32	2131	82	36	16	66	20	2029	102	0.156862745098039	0.195121951219512	0.444444444444444	scDblFinder_doublet_only
sample33	5615	374	252	96	278	156	5085	530	0.181132075471698	0.25668449197861	0.380952380952381	scDblFinder_doublet_only
sample34	12065	1431	1165	413	1018	752	9882	2183	0.189189189189189	0.288609364081062	0.35450643776824	scDblFinder_doublet_only
sample35	8382	798	562	66	732	496	7088	1294	0.0510046367851623	0.0827067669172932	0.117437722419929	scDblFinder_doublet_only
sample36	3304	165	87	21	144	66	3073	231	0.0909090909090909	0.127272727272727	0.241379310344828	scDblFinder_doublet_only
sample38	1617	53	21	10	43	11	1553	64	0.15625	0.188679245283019	0.476190476190476	scDblFinder_doublet_only
sample39	5128	335	210	71	264	139	4654	474	0.149789029535865	0.211940298507463	0.338095238095238	scDblFinder_doublet_only
sample4	2020	67	33	15	52	18	1935	85	0.176470588235294	0.223880597014925	0.454545454545455	scDblFinder_doublet_only
sample40	4960	294	197	112	182	85	4581	379	0.295514511873351	0.380952380952381	0.568527918781726	scDblFinder_doublet_only
sample5	3644	188	106	19	169	87	3369	275	0.0690909090909091	0.101063829787234	0.179245283018868	scDblFinder_doublet_only
sample6	2014	80	32	8	72	24	1910	104	0.0769230769230769	0.1	0.25	scDblFinder_doublet_only
sample7	2048	86	34	15	71	19	1943	105	0.142857142857143	0.174418604651163	0.441176470588235	scDblFinder_doublet_only
sample8	6881	526	379	48	478	331	6024	857	0.0560093348891482	0.091254752851711	0.12664907651715	scDblFinder_doublet_only
sample9	3268	175	85	59	116	26	3067	201	0.293532338308458	0.337142857142857	0.694117647058824	scDblFinder_doublet_only
