sample_id	input_cells	scDblFinder_version	scDblFinder_workers	scDblFinder_expected_rate_source	scDblFinder_doublets	DoubletFinder_version	DoubletFinder_status	DoubletFinder_pN	DoubletFinder_pK	DoubletFinder_nExp	DoubletFinder_expected_rate	DoubletFinder_only_doublets	DoubletFinder_error	final_deletion_rule	seed
sample1	2631	1.20.2	8	automatic_10x_rate_dbr_per1k_0.008	121	2.0.6	completed_sensitivity_only	0.25	0.01	55	0.021048	29	NA	scDblFinder_doublet_only	42
sample10	2604	1.20.2	8	automatic_10x_rate_dbr_per1k_0.008	118	2.0.6	completed_sensitivity_only	0.25	0.3	54	0.020832	53	NA	scDblFinder_doublet_only	42
sample11	819	1.20.2	8	automatic_10x_rate_dbr_per1k_0.008	23	2.0.6	completed_sensitivity_only	0.25	0.21	5	0.006552	5	NA	scDblFinder_doublet_only	42
sample12	557	1.20.2	8	automatic_10x_rate_dbr_per1k_0.008	15	2.0.6	completed_sensitivity_only	0.25	0.02	2	0.004456	2	NA	scDblFinder_doublet_only	42
sample13	1897	1.20.2	8	automatic_10x_rate_dbr_per1k_0.008	91	2.0.6	completed_sensitivity_only	0.25	0.02	29	0.015176	4	NA	scDblFinder_doublet_only	42
sample14	7069	1.20.2	8	automatic_10x_rate_dbr_per1k_0.008	598	2.0.6	completed_sensitivity_only	0.25	0.3	400	0.056552	377	NA	scDblFinder_doublet_only	42
sample15	13170	1.20.2	8	automatic_10x_rate_dbr_per1k_0.008	1572	2.0.6	completed_sensitivity_only	0.25	0.001	1388	0.10536	903	NA	scDblFinder_doublet_only	42
sample16	1589	1.20.2	8	automatic_10x_rate_dbr_per1k_0.008	52	2.0.6	completed_sensitivity_only	0.25	0.26	20	0.012712	20	NA	scDblFinder_doublet_only	42
sample17	7253	1.20.2	8	automatic_10x_rate_dbr_per1k_0.008	524	2.0.6	completed_sensitivity_only	0.25	0.3	421	0.058024	295	NA	scDblFinder_doublet_only	42
sample18	6566	1.20.2	8	automatic_10x_rate_dbr_per1k_0.008	531	2.0.6	completed_sensitivity_only	0.25	0.005	345	0.052528	165	NA	scDblFinder_doublet_only	42
sample19	1165	1.20.2	8	automatic_10x_rate_dbr_per1k_0.008	40	2.0.6	completed_sensitivity_only	0.25	0.02	11	0.00932	11	NA	scDblFinder_doublet_only	42
sample2	2717	1.20.2	8	automatic_10x_rate_dbr_per1k_0.008	126	2.0.6	completed_sensitivity_only	0.25	0.23	59	0.021736	59	NA	scDblFinder_doublet_only	42
sample20	4265	1.20.2	8	automatic_10x_rate_dbr_per1k_0.008	237	2.0.6	completed_sensitivity_only	0.25	0.16	146	0.03412	144	NA	scDblFinder_doublet_only	42
sample21	1848	1.20.2	8	automatic_10x_rate_dbr_per1k_0.008	71	2.0.6	completed_sensitivity_only	0.25	0.18	27	0.014784	26	NA	scDblFinder_doublet_only	42
sample22	396	1.20.2	8	automatic_10x_rate_dbr_per1k_0.008	11	2.0.6	completed_sensitivity_only	0.25	0.07	1	0.003168	1	NA	scDblFinder_doublet_only	42
