sample_id	geo_accession	matrix_path	expected_features	actual_features	expected_cells	actual_cells	matrix_orientation	duplicate_gene_count	duplicate_barcode_count	metadata_match	raw_counts_integer_nonnegative	import_status
sample1	GSM5573466	/root/gc-mlmod-project/data/processed_input/GSE183904/GSM5573466_sample1.csv.gz	26571	26571	2685	2685	gene_by_cell	0	0	TRUE	TRUE	PASS
sample2	GSM5573467	/root/gc-mlmod-project/data/processed_input/GSE183904/GSM5573467_sample2.csv.gz	26571	26571	2769	2769	gene_by_cell	0	0	TRUE	TRUE	PASS
sample3	GSM5573468	/root/gc-mlmod-project/data/processed_input/GSE183904/GSM5573468_sample3.csv.gz	26571	26571	3525	3525	gene_by_cell	0	0	TRUE	TRUE	PASS
sample4	GSM5573469	/root/gc-mlmod-project/data/processed_input/GSE183904/GSM5573469_sample4.csv.gz	26571	26571	2066	2066	gene_by_cell	0	0	TRUE	TRUE	PASS
sample5	GSM5573470	/root/gc-mlmod-project/data/processed_input/GSE183904/GSM5573470_sample5.csv.gz	26571	26571	3693	3693	gene_by_cell	0	0	TRUE	TRUE	PASS
sample6	GSM5573471	/root/gc-mlmod-project/data/processed_input/GSE183904/GSM5573471_sample6.csv.gz	26571	26571	2065	2065	gene_by_cell	0	0	TRUE	TRUE	PASS
sample7	GSM5573472	/root/gc-mlmod-project/data/processed_input/GSE183904/GSM5573472_sample7.csv.gz	26571	26571	2097	2097	gene_by_cell	0	0	TRUE	TRUE	PASS
sample8	GSM5573473	/root/gc-mlmod-project/data/processed_input/GSE183904/GSM5573473_sample8.csv.gz	26571	26571	7177	7177	gene_by_cell	0	0	TRUE	TRUE	PASS
sample9	GSM5573474	/root/gc-mlmod-project/data/processed_input/GSE183904/GSM5573474_sample9.csv.gz	26571	26571	3319	3319	gene_by_cell	0	0	TRUE	TRUE	PASS
sample10	GSM5573475	/root/gc-mlmod-project/data/processed_input/GSE183904/GSM5573475_sample10.csv.gz	26571	26571	2668	2668	gene_by_cell	0	0	TRUE	TRUE	PASS
sample11	GSM5573476	/root/gc-mlmod-project/data/processed_input/GSE183904/GSM5573476_sample11.csv.gz	26571	26571	851	851	gene_by_cell	0	0	TRUE	TRUE	PASS
sample12	GSM5573477	/root/gc-mlmod-project/data/processed_input/GSE183904/GSM5573477_sample12.csv.gz	26571	26571	592	592	gene_by_cell	0	0	TRUE	TRUE	PASS
sample13	GSM5573478	/root/gc-mlmod-project/data/processed_input/GSE183904/GSM5573478_sample13.csv.gz	26571	26571	2339	2339	gene_by_cell	0	0	TRUE	TRUE	PASS
sample14	GSM5573479	/root/gc-mlmod-project/data/processed_input/GSE183904/GSM5573479_sample14.csv.gz	26571	26571	7276	7276	gene_by_cell	0	0	TRUE	TRUE	PASS
sample15	GSM5573480	/root/gc-mlmod-project/data/processed_input/GSE183904/GSM5573480_sample15.csv.gz	26571	26571	13626	13626	gene_by_cell	0	0	TRUE	TRUE	PASS
sample16	GSM5573481	/root/gc-mlmod-project/data/processed_input/GSE183904/GSM5573481_sample16.csv.gz	26571	26571	1689	1689	gene_by_cell	0	0	TRUE	TRUE	PASS
sample17	GSM5573482	/root/gc-mlmod-project/data/processed_input/GSE183904/GSM5573482_sample17.csv.gz	26571	26571	7380	7380	gene_by_cell	0	0	TRUE	TRUE	PASS
sample18	GSM5573483	/root/gc-mlmod-project/data/processed_input/GSE183904/GSM5573483_sample18.csv.gz	26571	26571	6859	6859	gene_by_cell	0	0	TRUE	TRUE	PASS
sample19	GSM5573484	/root/gc-mlmod-project/data/processed_input/GSE183904/GSM5573484_sample19.csv.gz	26571	26571	1215	1215	gene_by_cell	0	0	TRUE	TRUE	PASS
sample20	GSM5573485	/root/gc-mlmod-project/data/processed_input/GSE183904/GSM5573485_sample20.csv.gz	26571	26571	4487	4487	gene_by_cell	0	0	TRUE	TRUE	PASS
sample21	GSM5573486	/root/gc-mlmod-project/data/processed_input/GSE183904/GSM5573486_sample21.csv.gz	26571	26571	1879	1879	gene_by_cell	0	0	TRUE	TRUE	PASS
sample22	GSM5573487	/root/gc-mlmod-project/data/processed_input/GSE183904/GSM5573487_sample22.csv.gz	26571	26571	399	399	gene_by_cell	0	0	TRUE	TRUE	PASS
