sample_id	working_feature_count	globin_panel_present	globin_panel_missing	rule	no_ncount_sensitivity_rule	nCount_RNA_min	nCount_RNA_Q1	nCount_RNA_median	nCount_RNA_Q3	nCount_RNA_max	nFeature_RNA_min	nFeature_RNA_Q1	nFeature_RNA_median	nFeature_RNA_Q3	nFeature_RNA_max	mt_percent_min	mt_percent_Q1	mt_percent_median	mt_percent_Q3	mt_percent_max	HB_percent_min	HB_percent_Q1	HB_percent_median	HB_percent_Q3	HB_percent_max
sample1	19294	HBA1|HBA2|HBB|HBD	HBE1|HBG1|HBG2|HBM|HBQ1|HBZ	nFeature>=500 & nFeature<6000 & nCount>1000 & mt<=20 & HB<5	nFeature>=500 & nFeature<6000 & mt<=20 & HB<5	634	2585	4092	6847	56628	500	1070	1480	2033	5969	0	5.62281409739037	8.270025964035	11.8909623590854	20.0087629618811	0	0	0	0	3.9701930124603
sample10	18229	HBA1|HBA2|HBB|HBD	HBE1|HBG1|HBG2|HBM|HBQ1|HBZ	nFeature>=500 & nFeature<6000 & nCount>1000 & mt<=20 & HB<5	nFeature>=500 & nFeature<6000 & mt<=20 & HB<5	733	2299.75	3520	8605.25	53359	500	985.75	1318.5	1863.75	5975	0.156379357924754	3.93685318634823	5.98743979702999	9.48639204967047	19.9867197875166	0	0	0	0	0.102704553235193
sample11	16734	HBA1|HBA2|HBB	HBD|HBE1|HBG1|HBG2|HBM|HBQ1|HBZ	nFeature>=500 & nFeature<6000 & nCount>1000 & mt<=20 & HB<5	nFeature>=500 & nFeature<6000 & mt<=20 & HB<5	731	2700	4937	10664	50071	500	1128	1721	2872	5982	0	2.59102063796755	3.88785625774473	5.72925847379337	19.5246179966044	0	0	0	0	55.7352468673021
sample12	16147	HBA1|HBA2|HBB	HBD|HBE1|HBG1|HBG2|HBM|HBQ1|HBZ	nFeature>=500 & nFeature<6000 & nCount>1000 & mt<=20 & HB<5	nFeature>=500 & nFeature<6000 & mt<=20 & HB<5	724	2265.75	4585	9080	43192	500	1014.25	1641	2672.75	5937	0	2.99157397215315	4.22803157928467	6.66707526354499	19.9303283014884	0	0	0	0	3.57724523033969
sample13	15954	HBA1|HBA2|HBB	HBD|HBE1|HBG1|HBG2|HBM|HBQ1|HBZ	nFeature>=500 & nFeature<6000 & nCount>1000 & mt<=20 & HB<5	nFeature>=500 & nFeature<6000 & mt<=20 & HB<5	697	1056	1331	1995	15893	498	586	701	934	3344	0.0447227191413238	3.48409607270367	5.03833515881709	8.99218345519062	19.9819168173599	0	0	0	0	1.69902912621359
sample14	20019	HBA1|HBA2|HBB|HBM|HBQ1	HBD|HBE1|HBG1|HBG2|HBZ	nFeature>=500 & nFeature<6000 & nCount>1000 & mt<=20 & HB<5	nFeature>=500 & nFeature<6000 & mt<=20 & HB<5	672	2070.75	3016.5	4324.5	45501	499	894	1179.5	1536	5993	0.0422154677473826	5.3075558965585	7.25607696784435	10.0775987729009	19.9865936766842	0	0	0	0	40.8228980322004
sample15	21534	HBA1|HBA2|HBB|HBD|HBG1|HBM|HBQ1|HBZ	HBE1|HBG2	nFeature>=500 & nFeature<6000 & nCount>1000 & mt<=20 & HB<5	nFeature>=500 & nFeature<6000 & mt<=20 & HB<5	700	2350.25	3620.5	7728.5	60661	499	1016	1411.5	2056	5996	0	3.5220962708942	5.07017980594077	7.69085449383889	19.9867637326274	0	0	0	0	64.1425859523307
sample16	17177	HBA1|HBA2|HBB|HBD|HBM|HBQ1	HBE1|HBG1|HBG2|HBZ	nFeature>=500 & nFeature<6000 & nCount>1000 & mt<=20 & HB<5	nFeature>=500 & nFeature<6000 & mt<=20 & HB<5	633	2998	4862	11002	62913	500	988	1490	2642	5989	0	2.52081406105458	3.83451059535822	6.48959693102805	19.9388067312596	0	0.0166597251145356	0.0331455087835598	0.0647458724506313	88.3940353655318
sample17	20137	HBA1|HBA2|HBB|HBD|HBQ1	HBE1|HBG1|HBG2|HBM|HBZ	nFeature>=500 & nFeature<6000 & nCount>1000 & mt<=20 & HB<5	nFeature>=500 & nFeature<6000 & mt<=20 & HB<5	642	2220	6125.5	11736.75	55499	500	908	1719.5	2612.25	5988	0	0.293330984386519	1.87013037052843	3.53799411579374	19.9369085173502	0	0	0	0	53.1613976705491
sample18	20375	HBA1|HBA2|HBB|HBD|HBG1|HBG2|HBM|HBZ	HBE1|HBQ1	nFeature>=500 & nFeature<6000 & nCount>1000 & mt<=20 & HB<5	nFeature>=500 & nFeature<6000 & mt<=20 & HB<5	705	1775	2658	5424.5	44996	499	739	985	1400	5986	0.107095046854083	3.49877042045092	5.85001963093836	9.75782247214268	19.9830890642616	0	0	0	0	53.337342152736
sample19	17605	HBA1|HBA2|HBB|HBD|HBM	HBE1|HBG1|HBG2|HBQ1|HBZ	nFeature>=500 & nFeature<6000 & nCount>1000 & mt<=20 & HB<5	nFeature>=500 & nFeature<6000 & mt<=20 & HB<5	702	3503.5	7989	19454.5	51764	498	1457	2579	4337	5995	0	2.09140551852199	2.82752120640905	4.19995420915019	19.4866920152091	0	0	0	0.00575848119917856	56.906429026098
sample2	18960	HBA1|HBA2|HBB|HBD	HBE1|HBG1|HBG2|HBM|HBQ1|HBZ	nFeature>=500 & nFeature<6000 & nCount>1000 & mt<=20 & HB<5	nFeature>=500 & nFeature<6000 & mt<=20 & HB<5	723	3145	4852	9245	71273	500	1129	1666	2356	5969	0.00584078032825186	4.16819684171869	5.98726114649682	8.69822485207101	19.9385324625432	0	0	0	0	0.379458639008348
