sample_id	public_cells	fail_nFeature_min	fail_nFeature_max	fail_nCount_min	fail_mt_max	fail_HB_max	fixed_qc_union_excluded	fixed_qc_passed	no_ncount_sensitivity_qc_passed	no_ncount_sensitivity_extra_vs_main	scDblFinder_doublets	final_retained	final_retained_fraction
sample1	2685	0	0	53	1	0	54	2631	2684	53	121	2510	0.934823091247672
sample10	2668	0	0	64	0	0	64	2604	2668	64	118	2486	0.931784107946027
sample11	851	0	0	30	0	2	32	819	849	30	23	796	0.935370152761457
sample12	592	0	0	35	0	0	35	557	592	35	15	542	0.915540540540541
sample13	2339	4	0	442	0	0	442	1897	2335	438	91	1806	0.772124839675075
sample14	7276	1	0	192	0	15	207	7069	7260	191	598	6471	0.889362286970863
sample15	13626	1	0	396	0	59	456	13170	13566	396	1572	11598	0.851166886833994
sample16	1689	0	0	51	0	51	100	1589	1638	49	52	1537	0.910005920663114
sample17	7380	0	0	102	0	25	127	7253	7355	102	524	6729	0.911788617886179
sample18	6859	2	0	233	0	59	293	6566	6798	232	531	6035	0.8798658696603
sample19	1215	1	0	42	0	7	50	1165	1207	42	40	1125	0.925925925925926
sample2	2769	0	0	52	0	0	52	2717	2769	52	126	2591	0.93571686529433
sample20	4487	0	0	220	0	2	222	4265	4485	220	237	4028	0.897704479607756
sample21	1879	2	0	31	0	0	31	1848	1877	29	71	1777	0.945715806279936
sample22	399	0	0	3	0	0	3	396	399	3	11	385	0.964912280701754
sample23	3809	0	0	140	0	1	141	3668	3808	140	183	3485	0.914938304016802
sample24	2597	1	0	109	0	1	110	2487	2595	108	26	2461	0.947631882941856
sample25	4140	1	0	42	0	4	46	4094	4135	41	231	3863	0.933091787439614
sample26	2681	1	0	57	1	26	84	2597	2653	56	115	2482	0.925773964938456
sample27	4600	1	0	450	0	109	559	4041	4490	449	246	3795	0.825
sample28	6173	0	0	52	0	0	52	6121	6173	52	440	5681	0.920298072250121
sample29	3593	1	0	114	0	0	115	3478	3592	114	168	3310	0.921235736153632
sample3	3525	0	0	73	1	0	74	3451	3524	73	172	3279	0.930212765957447
sample30	3798	0	0	67	1	0	68	3730	3797	67	229	3501	0.921800947867299
sample31	1996	0	0	135	0	3	138	1858	1993	135	72	1786	0.894789579158317
sample32	2252	1	0	118	0	2	121	2131	2249	118	82	2049	0.909857904085258
sample33	5823	1	0	203	0	5	208	5615	5817	202	374	5241	0.900051519835137
sample34	12463	0	0	380	0	18	398	12065	12445	380	1431	10634	0.85324560699671
sample35	8388	2	0	0	0	4	6	8382	8382	0	798	7584	0.90414878397711
sample36	3363	1	0	57	0	2	59	3304	3360	56	165	3139	0.933392804044008
sample37	186	1	0	13	0	1	14	172	184	12	4	168	0.903225806451613
sample38	1677	0	0	56	0	4	60	1617	1673	56	53	1564	0.932617769827072
sample39	5369	2	0	240	0	2	241	5128	5365	237	335	4793	0.892717452039486
sample4	2066	0	0	42	0	4	46	2020	2062	42	67	1953	0.945304937076476
sample40	5077	0	0	116	0	1	117	4960	5076	116	294	4666	0.919046681110892
sample5	3693	1	0	47	0	1	49	3644	3691	47	188	3456	0.935824532900081
sample6	2065	0	0	50	1	0	51	2014	2064	50	80	1934	0.936561743341404
sample7	2097	2	0	49	0	0	49	2048	2095	47	86	1962	0.935622317596567
sample8	7177	1	0	287	0	9	296	6881	7167	286	526	6355	0.885467465514839
sample9	3319	0	0	51	0	0	51	3268	3319	51	175	3093	0.931907200964146
