dataset_id	file_name	relative_path_under_data_public_downloads	source_url_or_derivation	file_role	exists	file_size_bytes	sha256	read_status	note
GSE183904	GSE183904_RAW.tar	GSE183904_RAW.tar	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE183904&format=file	supplementary_processed_expression_archive	TRUE	345210880	BA089D1DC186826E84D2199D1EB6942C35EB8FB70E7A5D2B20650B72982B90B3	not_gzip	F0/F1 upload; main scRNA processed count-like archive already downloaded earlier
GSE183904	GSE183904_series_matrix.txt.gz	GEO_metadata/GSE183904_series_matrix.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE183nnn/GSE183904/matrix/GSE183904_series_matrix.txt.gz	geo_series_matrix_metadata	TRUE	3941	CC24A924F6B59A1EC561D1DDC894783E443E9915825B8EBF84F2E184421F55CC	gzip_read_ok	F0 metadata for sample_info construction
GSE235046	GSE235046_series_matrix.txt.gz	GSE235046/GSE235046_series_matrix.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE235nnn/GSE235046/matrix/GSE235046_series_matrix.txt.gz	geo_series_matrix_metadata	TRUE	3001	EDE708EA1EAE4AE27C1EDDA4340BEF2F26357C491139922D57403AB692888A8E	gzip_read_ok	F2.1 sample design metadata
GSE235046	GSE235046_Count_table.txt.gz	GSE235046/GSE235046_Count_table.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE235nnn/GSE235046/suppl/GSE235046_Count_table.txt.gz	bulk_rnaseq_count_table	TRUE	1110939	683EC07B3D81EA8CB6B834B08E071BA9EC2B89F49C61AC303029864B1A110906	gzip_read_ok	F2.1 DESeq2 count table
GENCODE_GRCh38_v44	gencode.v44.basic.annotation.gtf.gz	inferCNV/gencode.v44.basic.annotation.gtf.gz	https://ftp.ebi.ac.uk/pub/databases/gencode/Gencode_human/release_44/gencode.v44.basic.annotation.gtf.gz	infercnv_gene_order_source_gtf	TRUE	29570410	3E52F82C63F8FD860BF632CCDE10441C05751F4C342AD08C0A98E9E2700171A5	gzip_read_ok	Source GTF for derived hg38 gene order
GENCODE_GRCh38_v44	infercnv_gene_order_hg38_gencode_v44_gene_symbols_all_standard_chromosomes.tsv	inferCNV/infercnv_gene_order_hg38_gencode_v44_gene_symbols_all_standard_chromosomes.tsv	derived_from:gencode.v44.basic.annotation.gtf.gz	derived_infercnv_gene_order_all_standard_chromosomes	TRUE	6061529	994A9B9D3AD287FCC817C49A11120C78DBAD767065FAAC84E77166BF35514DD4	not_gzip	Generated locally from GENCODE v44 basic gene features; includes chr1-22, chrX, chrY, chrM
GENCODE_GRCh38_v44	infercnv_gene_order_hg38_gencode_v44_gene_symbols_chr1_22.tsv	inferCNV/infercnv_gene_order_hg38_gencode_v44_gene_symbols_chr1_22.tsv	derived_from:gencode.v44.basic.annotation.gtf.gz	derived_infercnv_gene_order_chr1_22_main	TRUE	5764109	99C7BB8EAB7B46F7A278A3C929B4F892AE1C64590F36D2B67C7D5DF7BD6B9638	not_gzip	Generated locally from GENCODE v44; recommended main inferCNV autosome gene_order candidate
GENCODE_GRCh38_v44	infercnv_gene_order_hg38_gencode_v44_duplicate_gene_symbols.tsv	inferCNV/infercnv_gene_order_hg38_gencode_v44_duplicate_gene_symbols.tsv	derived_from:gencode.v44.basic.annotation.gtf.gz	derived_gene_order_duplicate_symbol_report	TRUE	29294	E87792AF524094A8CA52C17D3563CAA21B89CAB3A716B3727D47F0E392579854	not_gzip	Cross-chromosome duplicated gene symbols excluded from derived gene_order
SCENIC_hg38_v10	allTFs_hg38.txt	SCENIC_resources/tf_lists/allTFs_hg38.txt	https://resources.aertslab.org/cistarget/tf_lists/allTFs_hg38.txt	scenic_human_tf_list	TRUE	11690	3953034F84112C60D3D8EF15B0E0C8AC5FCE0B40D2C7C0824C2945C70CEE2523	not_gzip	F3.3 pySCENIC resource already present
SCENIC_hg38_v10	motifs-v10nr_clust-nr.hgnc-m0.001-o0.0.tbl	SCENIC_resources/motif2tf/motifs-v10nr_clust-nr.hgnc-m0.001-o0.0.tbl	https://resources.aertslab.org/cistarget/motif2tf/motifs-v10nr_clust-nr.hgnc-m0.001-o0.0.tbl	scenic_motif_to_tf_annotation	TRUE	98718421	81EB754118E27E854974301B1400FCF519489F8BE5249239671FB288CB501C31	not_gzip	F3.3 pySCENIC resource already present
