file_name	relative_path_if_available	dataset_id	file_role	data_domain	source_type	source_url_or_local_manifest	file_size_bytes	sha256	compression_format	read_status	availability_status	used_in_F0	planned_F_section_use	audit_status	artifact_class	publication_destination	review_priority	note
GSE183904_RAW.tar	data/public_downloads/GSE183904_RAW.tar	GSE183904	supplementary_author_filtered_raw_count_archive	mixed	researcher_provided_local	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE183904&format=file	345210880	BA089D1DC186826E84D2199D1EB6942C35EB8FB70E7A5D2B20650B72982B90B3	tar	not_checked_in_F0_file_manifest	project_local_available	true	F1-F8	recorded_from_existing_manifest	audit_trail	not_planned	standard	Downloaded via NCBI FTP direct URL with 8 HTTP range parts through proxy 127.0.0.1:7897; GEO states raw files were not submitted; archive contains GSM sample CSV.gz matrices described by GEO as raw gene counts after Cell Ranger feature counting and author Seurat QC/filtering.
allTFs_hg38.txt		SCENIC_hg38_v10	scenic_human_tf_list	mixed	researcher_provided_local	https://resources.aertslab.org/cistarget/tf_lists/allTFs_hg38.txt	11690	3953034F84112C60D3D8EF15B0E0C8AC5FCE0B40D2C7C0824C2945C70CEE2523	txt	not_checked_in_F0_file_manifest	not_found_at_expected_path	inventory_only	F1-F8	recorded_from_existing_manifest	audit_trail	not_planned	standard	Researcher downloaded locally, copied into SCENIC_resources/tf_lists for F3.3 pySCENIC.
motifs-v10nr_clust-nr.hgnc-m0.001-o0.0.tbl		SCENIC_hg38_v10	scenic_motif_to_tf_annotation	mixed	researcher_provided_local	https://resources.aertslab.org/cistarget/motif2tf/motifs-v10nr_clust-nr.hgnc-m0.001-o0.0.tbl	98718421	81EB754118E27E854974301B1400FCF519489F8BE5249239671FB288CB501C31	tbl	not_checked_in_F0_file_manifest	not_found_at_expected_path	inventory_only	F1-F8	recorded_from_existing_manifest	audit_trail	not_planned	standard	Downloaded from Aerts lab cisTarget resources for F3.3 pySCENIC.
hg38_10kbp_up_10kbp_down_full_tx_v10_clust.genes_vs_motifs.rankings.feather		SCENIC_hg38_v10	scenic_motif_ranking_database_10kb	mixed	researcher_provided_local	https://resources.aertslab.org/cistarget/databases/homo_sapiens/hg38/refseq_r80/mc_v10_clust/gene_based/hg38_10kbp_up_10kbp_down_full_tx_v10_clust.genes_vs_motifs.rankings.feather	311298530	9C4026A3A8E25FE07CF96749644E2CA028B787410829B30B9932574DC6E78BDB	feather	not_checked_in_F0_file_manifest	not_found_at_expected_path	inventory_only	F1-F8	recorded_from_existing_manifest	audit_trail	not_planned	standard	Downloaded from Aerts lab cisTarget hg38 refseq_r80 mc_v10_clust gene_based resources using parallel HTTP range chunks.
hg38_500bp_up_100bp_down_full_tx_v10_clust.genes_vs_motifs.rankings.feather		SCENIC_hg38_v10	scenic_motif_ranking_database_500bp	mixed	researcher_provided_local	https://resources.aertslab.org/cistarget/databases/homo_sapiens/hg38/refseq_r80/mc_v10_clust/gene_based/hg38_500bp_up_100bp_down_full_tx_v10_clust.genes_vs_motifs.rankings.feather	312955770	50BD3A2E0DA17BF74AD31B1A2F284EBBACFAD700A07A540A7A1D3DB5E185EAAC	feather	not_checked_in_F0_file_manifest	not_found_at_expected_path	inventory_only	F1-F8	recorded_from_existing_manifest	audit_trail	not_planned	standard	Downloaded from Aerts lab cisTarget hg38 refseq_r80 mc_v10_clust gene_based resources using parallel HTTP range chunks.
GSE183904_series_matrix.txt.gz		GSE183904	geo_series_matrix_metadata	mixed	researcher_provided_local	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE183nnn/GSE183904/matrix/GSE183904_series_matrix.txt.gz	3941	CC24A924F6B59A1EC561D1DDC894783E443E9915825B8EBF84F2E184421F55CC	gz	not_checked_in_F0_file_manifest	not_found_at_expected_path	true	F1-F8	recorded_from_existing_manifest	audit_trail	not_planned	standard	F0 metadata for sample_info construction
GSE235046_series_matrix.txt.gz		GSE235046	geo_series_matrix_metadata	mixed	researcher_provided_local	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE235nnn/GSE235046/matrix/GSE235046_series_matrix.txt.gz	3001	EDE708EA1EAE4AE27C1EDDA4340BEF2F26357C491139922D57403AB692888A8E	gz	not_checked_in_F0_file_manifest	not_found_at_expected_path	inventory_only	F1-F8	recorded_from_existing_manifest	audit_trail	not_planned	standard	F2.1 sample design metadata
GSE235046_Count_table.txt.gz		GSE235046	bulk_rnaseq_rsem_expected_count_like_table	mixed	researcher_provided_local	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE235nnn/GSE235046/suppl/GSE235046_Count_table.txt.gz	1110939	683EC07B3D81EA8CB6B834B08E071BA9EC2B89F49C61AC303029864B1A110906	gz	not_checked_in_F0_file_manifest	not_found_at_expected_path	inventory_only	F1-F8	recorded_from_existing_manifest	audit_trail	not_planned	standard	F2.1 count/expression table; precheck found fractional values, so method audit is required and DESeq2 is not allowed by default without raw/integer or approved tximport-compatible route.
SRP444325_RunInfo.csv		SRP444325	sra_runinfo_metadata_for_GSE235046_raw_route	mixed	researcher_provided_local	https://trace.ncbi.nlm.nih.gov/Traces/sra-db-be/runinfo?acc=SRP444325	8590	F259C40974E1B78F60B601744A62258DF4211FCBC4F408B7FEC8B955438B36B8	csv	not_checked_in_F0_file_manifest	not_found_at_expected_path	inventory_only	F1-F8	recorded_from_existing_manifest	audit_trail	not_planned	standard	Metadata only; FASTQ download remains pending and must use dedicated resumable script.
SRP444325_ENA_read_run.tsv		SRP444325	ena_fastq_url_md5_size_plan_for_GSE235046_raw_route	mixed	researcher_provided_local	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRP444325&result=read_run	5378	AB043658A48945A64351C496CEE64A8E54FEF08E3D8B4B5BA120BA6330B9D7C2	tsv	not_checked_in_F0_file_manifest	not_found_at_expected_path	inventory_only	F1-F8	recorded_from_existing_manifest	audit_trail	not_planned	standard	Metadata only; plan records 30 main paired FASTQ files totaling about 42.25 GB plus one excluded 115-byte ENA extra file.
